JD V-C s1 AIRMASS ALTITUDE
Aperture: 5, Filter: IR-UV, JD: geocentric
2458666.4075926 0.25111 0.00144 1.7745 34.20
2458666.4091088 0.25516 0.00144 1.7608 34.51
2458666.4106019 0.25399 0.00142 1.7477 34.81
2458666.4120602 0.25492 0.00141 1.7351 35.10
2458666.4135069 0.25043 0.00139 1.7230 35.38
2458666.4150347 0.25289 0.00141 1.7106 35.68
2458666.4165278 0.25194 0.00142 1.6987 35.97
2458666.4179861 0.25001 0.00139 1.6875 36.25
2458666.4194792 0.25820 0.00141 1.6762 36.53
2458666.4210069 0.24727 0.00142 1.6650 36.82
2458666.4225000 0.25472 0.00140 1.6543 37.10
2458666.4239931 0.24642 0.00136 1.6439 37.38
2458666.4254745 0.24520 0.00141 1.6339 37.65
2458666.4269676 0.25503 0.00137 1.6240 37.92
2458666.4284606 0.25689 0.00135 1.6144 38.19
2458666.4299537 0.26001 0.00135 1.6050 38.45
2458666.4314468 0.25088 0.00133 1.5959 38.71
2458666.4329745 0.25198 0.00134 1.5868 38.98
2458666.4344560 0.24605 0.00132 1.5783 39.23
2458666.4359491 0.25558 0.00133 1.5698 39.48
2458666.4374421 0.24453 0.00134 1.5616 39.73
2458666.4389699 0.24694 0.00135 1.5535 39.98
2458666.4404745 0.24695 0.00134 1.5457 40.23
2458666.4419676 0.25359 0.00137 1.5381 40.47
2458666.4434838 0.25656 0.00137 1.5306 40.71
2458666.4450000 0.25595 0.00139 1.5234 40.95
2458666.4464931 0.26129 0.00139 1.5164 41.17
2458666.4479398 0.26778 0.00142 1.5099 41.39
2458666.4494329 0.27895 0.00139 1.5033 41.62
2458666.4509144 0.27303 0.00152 1.4970 41.83
2458666.4524074 0.27865 0.00147 1.4908 42.05
2458666.4539005 0.28449 0.00149 1.4848 42.26
2458666.4553472 0.28842 0.00146 1.4791 42.46
2458666.4568750 0.28758 0.00147 1.4733 42.67
2458666.4583565 0.28628 0.00148 1.4678 42.87
2458666.4598148 0.28457 0.00146 1.4626 43.06
2458666.4613079 0.28095 0.00143 1.4574 43.25
2458666.4628241 0.29111 0.00141 1.4523 43.44
2458666.4643171 0.27770 0.00142 1.4474 43.62
2458666.4658102 0.28729 0.00143 1.4427 43.80
2458666.4672917 0.28253 0.00141 1.4382 43.98
2458666.4688079 0.28607 0.00139 1.4337 44.15
2458666.4702662 0.28557 0.00137 1.4296 44.31
2458666.4717477 0.28128 0.00140 1.4255 44.47
2458666.4732407 0.28657 0.00140 1.4215 44.63
2458666.4747338 0.28689 0.00142 1.4177 44.78
2458666.4762269 0.28986 0.00144 1.4140 44.93
2458666.4777199 0.28875 0.00148 1.4105 45.08
2458666.4792130 0.29222 0.00148 1.4071 45.22
2458666.4807292 0.29590 0.00152 1.4038 45.35
2458666.4821875 0.29342 0.00155 1.4007 45.48
2458666.4836690 0.29510 0.00162 1.3977 45.61
2458666.4851273 0.29242 0.00154 1.3949 45.72
2458666.4866435 0.29077 0.00163 1.3921 45.84
2458666.4881366 0.29971 0.00171 1.3895 45.95
2458666.4895949 0.29827 0.00168 1.3871 46.06
2458666.4910880 0.29538 0.00163 1.3848 46.16
2458666.4925694 0.29284 0.00157 1.3826 46.25
2458666.4940856 0.29647 0.00156 1.3804 46.35
2458666.4955787 0.28919 0.00161 1.3785 46.43
2458666.4970949 0.29382 0.00160 1.3766 46.52
2458666.4985764 0.29511 0.00162 1.3749 46.59
2458666.5000694 0.29291 0.00158 1.3733 46.66
2458666.5015625 0.29070 0.00154 1.3718 46.73
2458666.5030093 0.29451 0.00147 1.3705 46.79
2458666.5045023 0.28445 0.00146 1.3692 46.84
2458666.5059954 0.28625 0.00147 1.3681 46.89
2458666.5074884 0.28901 0.00146 1.3671 46.94
2458666.5089468 0.28985 0.00147 1.3662 46.98
2458666.5104630 0.28750 0.00146 1.3655 47.01
2458666.5119097 0.29445 0.00145 1.3648 47.04
