MAGNITUD DIFERENCIAL

F. JULIANA HEL.     VAR-1
-------------  ----------
2456633.52980    -0.01542
2456633.53129    -0.01679
2456633.53279    -0.00852
2456633.53430    -0.00957
2456633.53580    -0.01174
2456633.53731    -0.01195
2456633.53881    -0.00896
2456633.54030    -0.00961
2456633.54181    -0.01267
2456633.54331    -0.01573
2456633.54481    -0.01228
2456633.54631    -0.00831
2456633.54780    -0.01333
2456633.54931    -0.00870
2456633.55080    -0.01157
2456633.55231    -0.01093
2456633.55380    -0.01021
2456633.55529    -0.00922
2456633.55680    -0.01352
2456633.55829    -0.00745
2456633.55980    -0.01156
2456633.56129    -0.00801
2456633.56279    -0.00557
2456633.56429    -0.00591
2456633.56579    -0.00173
2456633.56728    -0.00244
2456633.56879     0.00466
2456633.57029     0.00110
2456633.57178     0.00641
2456633.57329     0.00882
2456633.57478     0.00988
2456633.57629     0.00536
2456633.57778     0.00700
2456633.57928     0.00980
2456633.58078     0.00930
2456633.58228     0.01152
2456633.58377     0.01334
2456633.58528     0.01284
2456633.58677     0.01217
2456633.58827     0.01117
2456633.58977     0.01214
2456633.59126     0.01647
2456633.59277     0.01127
2456633.59426     0.01490
2456633.59577     0.00777
2456633.59726     0.01094
2456633.59876     0.01643
2456633.60026     0.02217
2456633.60176     0.01842
2456633.60325     0.01072
2456633.60475     0.01421
2456633.60625     0.01255
2456633.60774     0.00931
2456633.60925     0.01108
2456633.61074     0.01309
2456633.61225     0.01472
2456633.61674     0.01883
2456633.61823     0.00910
2456633.61974    -0.00356
2456633.62123     0.00740
2456633.62273     0.00651
2456633.62423     0.00845
2456633.62573     0.00743
2456633.62722    -0.00115
2456633.62873    -0.00915
2456633.63171    -0.01451
2456633.63322    -0.00923
2456633.63472    -0.00506
2456633.63622    -0.00678
2456633.63772     0.00768
2456633.63923     0.00209
2456633.64072    -0.00314
2456633.64222    -0.01042
2456633.64373    -0.00454
2456633.64522    -0.00306
2456633.64673    -0.00213
2456633.64823    -0.00682
2456633.64974    -0.00931
2456633.65124    -0.01407
2456633.65273    -0.01094
2456633.65424    -0.00592
2456633.65574    -0.00736
2456633.65725    -0.00449
2456633.65874    -0.00197
2456633.66024    -0.00708
2456633.66176    -0.00458
2456633.66325    -0.00315

FotoDif 3.64
