MAGNITUD DIFERENCIAL

F. JULIANA HEL.   COROT-1    +/-  
-------------  ----------  -------
2455529.48345     -0.0155   0.0082
2455529.48643     -0.0133   0.0081
2455529.48944     -0.0103   0.0081
2455529.49243     -0.0086   0.0081
2455529.49543     -0.0105   0.0080
2455529.49843     -0.0170   0.0080
2455529.50144     -0.0151   0.0080
2455529.50444     -0.0124   0.0080
2455529.50743     -0.0199   0.0079
2455529.51043     -0.0121   0.0079
2455529.51343     -0.0104   0.0079
2455529.51643     -0.0133   0.0079
2455529.51942     -0.0116   0.0079
2455529.52242     -0.0083   0.0079
2455529.52542     -0.0188   0.0079
2455529.52843     -0.0102   0.0079
2455529.53143     -0.0075   0.0079
2455529.53442     -0.0050   0.0079
2455529.53742     -0.0056   0.0079
2455529.54042     -0.0085   0.0079
2455529.54342     -0.0024   0.0079
2455529.54642     -0.0118   0.0078
2455529.54941     -0.0035   0.0078
2455529.55241      0.0013   0.0079
2455529.55541      0.0036   0.0079
2455529.55841      0.0093   0.0079
2455529.56140      0.0113   0.0079
2455529.56440      0.0106   0.0079
2455529.56740      0.0160   0.0079
2455529.57040      0.0137   0.0079
2455529.57339      0.0165   0.0079
2455529.57640      0.0203   0.0079
2455529.57940      0.0171   0.0079
2455529.58240      0.0212   0.0079
2455529.58540      0.0174   0.0079
2455529.58839      0.0214   0.0079
2455529.59139      0.0166   0.0079
2455529.59439      0.0225   0.0080
2455529.59739      0.0228   0.0080
2455529.60039      0.0231   0.0080
2455529.60338      0.0205   0.0080
2455529.60638      0.0173   0.0080
2455529.60938      0.0191   0.0080
2455529.61238      0.0169   0.0080
2455529.61538      0.0222   0.0080
2455529.61838      0.0214   0.0080
2455529.62138      0.0238   0.0080
2455529.62438      0.0169   0.0080
2455529.62739      0.0150   0.0080
2455529.63038      0.0149   0.0080
2455529.63339      0.0138   0.0080
2455529.63639      0.0106   0.0080
2455529.63939      0.0046   0.0080
2455529.64239     -0.0038   0.0080
2455529.64538     -0.0013   0.0080
2455529.64839     -0.0037   0.0080
2455529.65139     -0.0069   0.0080
2455529.65439     -0.0054   0.0080
2455529.65740     -0.0094   0.0080
2455529.66040     -0.0040   0.0080
2455529.66340     -0.0051   0.0080
2455529.66640     -0.0107   0.0080
2455529.66940     -0.0021   0.0080
2455529.67240     -0.0066   0.0080
2455529.67540     -0.0097   0.0080
2455529.67839     -0.0114   0.0081
2455529.68139     -0.0130   0.0081
2455529.68439     -0.0149   0.0081
2455529.68739     -0.0134   0.0081
2455529.69038     -0.0128   0.0081
2455529.69338     -0.0209   0.0081
2455529.69639     -0.0141   0.0081
2455529.69940     -0.0138   0.0081
2455529.70240     -0.0089   0.0082
2455529.70540     -0.0074   0.0082
2455529.70839     -0.0094   0.0082
2455529.71139     -0.0139   0.0082
2455529.71439     -0.0080   0.0093

FotoDif (25/09/2010)
