# JD_UT V-C err
2458396.268947 0.126015 0.003450
2458396.270337 0.123106 0.003121
2458396.271737 0.125443 0.002890
2458396.273137 0.133071 0.002678
2458396.274526 0.124944 0.002453
2458396.275927 0.129238 0.002335
2458396.277327 0.129586 0.002221
2458396.278716 0.129099 0.002031
2458396.280116 0.137044 0.002117
2458396.281517 0.125644 0.002010
2458396.282906 0.127441 0.001948
2458396.284306 0.140176 0.001987
2458396.285707 0.147095 0.002021
2458396.287107 0.149008 0.002018
2458396.288507 0.149455 0.001909
2458396.289897 0.149852 0.001965
2458396.291297 0.155617 0.001895
2458396.292697 0.155087 0.001926
2458396.294087 0.159238 0.001952
2458396.295487 0.159254 0.001979
2458396.296887 0.159345 0.001883
2458396.298276 0.156439 0.001935
2458396.299677 0.165685 0.001879
2458396.301077 0.161379 0.001919
2458396.302466 0.163951 0.001917
2458396.303866 0.164056 0.001830
2458396.305267 0.159900 0.001897
2458396.306656 0.162756 0.001875
2458396.308056 0.160427 0.001860
2458396.309456 0.168480 0.001875
2458396.310846 0.160438 0.001918
2458396.312246 0.163453 0.001892
2458396.313635 0.163910 0.001856
2458396.315035 0.166981 0.001901
2458396.316435 0.162486 0.001847
2458396.317825 0.159432 0.001899
2458396.319225 0.160592 0.001871
2458396.320625 0.163499 0.001845
2458396.322015 0.165503 0.001874
2458396.323415 0.164730 0.001861
2458396.324815 0.165092 0.001800
2458396.326215 0.169554 0.001882
2458396.327605 0.165138 0.001820
2458396.329005 0.168349 0.001919
2458396.330405 0.162619 0.001896
2458396.331795 0.164123 0.001994
2458396.333195 0.164057 0.001966
2458396.334595 0.160376 0.001851
2458396.335985 0.167828 0.001922
2458396.337385 0.172236 0.002005
2458396.338785 0.168865 0.001929
2458396.340185 0.169645 0.001953
2458396.341575 0.163241 0.001930
2458396.342975 0.163252 0.001984
2458396.344375 0.163410 0.001921
2458396.345765 0.155068 0.002024
2458396.347165 0.157150 0.002013
2458396.348565 0.163345 0.002097
2458396.349955 0.161735 0.002096
2458396.351355 0.155826 0.002076
2458396.352755 0.156528 0.002219
2458396.354144 0.151700 0.002194
2458396.355544 0.148886 0.002157
2458396.356945 0.151552 0.002170
2458396.358334 0.155589 0.002258
2458396.359734 0.159783 0.002226
2458396.361134 0.150901 0.002202
2458396.362524 0.146262 0.002150
2458396.363924 0.142934 0.002276
2458396.365324 0.147940 0.002163
2458396.366714 0.131742 0.002200
2458396.368114 0.137728 0.002146
2458396.369514 0.133122 0.002150
2458396.370904 0.133493 0.001981
2458396.372304 0.130294 0.002019
2458396.373704 0.128909 0.001974
2458396.375104 0.122118 0.002047
2458396.376494 0.131375 0.002002
2458396.377894 0.126889 0.001967
2458396.379294 0.128488 0.001950
2458396.380684 0.130202 0.001933
2458396.382084 0.127512 0.001958
2458396.383484 0.121372 0.001959
2458396.384874 0.137337 0.001899
2458396.386274 0.140600 0.001923
2458396.387674 0.132582 0.001994
