FOTOMETRA RELATIVA

COROT 2B
FECHA J HELIO         MAG      +/-    RSR  AIRMS  TRANS
-----------------------------------------  -----  -----
2458680.37003      0.0022   0.0090    120  1.861   0.99
2458680.37160      0.0040   0.0090    120  1.843   1.00
2458680.37315      0.0063   0.0089    121  1.825   1.02
2458680.37471     -0.0104   0.0089    121  1.808   1.00
2458680.37795     -0.0061   0.0087    124  1.774   1.05
2458680.37950     -0.0050   0.0088    124  1.758   1.05
2458680.38105      0.0033   0.0089    122  1.743   1.02
2458680.38260     -0.0164   0.0088    124  1.728   1.04
2458680.38416     -0.0057   0.0090    120  1.713   0.98
2458680.38570     -0.0117   0.0088    124  1.700   1.04
2458680.38725     -0.0131   0.0089    122  1.686   1.02
2458680.38881     -0.0076   0.0088    123  1.673   1.04
2458680.39041     -0.0023   0.0088    123  1.659   1.03
2458680.39196     -0.0055   0.0088    123  1.647   1.04
2458680.39351      0.0048   0.0088    123  1.635   1.05
2458680.39506      0.0017   0.0089    121  1.623   1.01
2458680.39662      0.0042   0.0090    121  1.611   1.00
2458680.39818      0.0024   0.0088    123  1.600   1.04
2458680.39972      0.0165   0.0089    121  1.589   1.02
2458680.40126      0.0204   0.0089    122  1.578   1.04
2458680.40281      0.0261   0.0089    122  1.568   1.04
2458680.40435      0.0321   0.0089    122  1.558   1.05
2458680.40590      0.0239   0.0089    122  1.548   1.03
2458680.40744      0.0155   0.0089    122  1.539   1.04
2458680.41053      0.0301   0.0089    121  1.520   1.04
2458680.41208      0.0360   0.0088    123  1.511   1.07
2458680.41363      0.0212   0.0087    125  1.503   1.08
2458680.41517      0.0302   0.0087    124  1.495   1.09
2458680.41673      0.0259   0.0087    125  1.486   1.09
2458680.41828      0.0240   0.0088    123  1.479   1.06
2458680.41983      0.0325   0.0087    125  1.471   1.09
2458680.42138      0.0365   0.0087    124  1.464   1.09
2458680.42293      0.0314   0.0087    124  1.456   1.08
2458680.42449      0.0299   0.0087    125  1.449   1.09
2458680.42604      0.0314   0.0086    125  1.442   1.10
2458680.42759      0.0302   0.0087    125  1.436   1.08
2458680.42913      0.0356   0.0087    124  1.429   1.09
2458680.43067      0.0430   0.0089    122  1.423   1.06
2458680.43223      0.0343   0.0088    123  1.417   1.06
2458680.43378      0.0353   0.0087    125  1.411   1.09
2458680.43532      0.0288   0.0087    124  1.406   1.08
2458680.43688      0.0391   0.0086    125  1.400   1.10
2458680.43843      0.0321   0.0086    126  1.395   1.10
2458680.43997      0.0436   0.0087    125  1.389   1.10
2458680.44153      0.0356   0.0086    126  1.384   1.11
2458680.44309      0.0358   0.0086    126  1.379   1.11
2458680.44462      0.0370   0.0086    125  1.375   1.10
2458680.44618      0.0354   0.0086    125  1.370   1.09
2458680.44773      0.0351   0.0086    125  1.366   1.10
2458680.45082      0.0226   0.0087    124  1.358   1.07
2458680.45237      0.0256   0.0087    125  1.354   1.08
2458680.45392      0.0243   0.0087    125  1.350   1.07
2458680.45702      0.0247   0.0087    124  1.343   1.06
2458680.45857      0.0260   0.0087    124  1.340   1.06
2458680.46012      0.0218   0.0088    123  1.336   1.04
2458680.46167      0.0146   0.0088    123  1.333   1.03
2458680.46321      0.0243   0.0089    121  1.330   1.01
2458680.46480      0.0157   0.0090    120  1.327   0.98
2458680.46634      0.0127   0.0091    119  1.325   0.97
2458680.46789      0.0237   0.0091    119  1.322   0.97
2458680.46944      0.0176   0.0092    118  1.320   0.95
2458680.47099      0.0108   0.0092    117  1.318   0.93
2458680.47253      0.0039   0.0093    116  1.316   0.91
2458680.47407      0.0055   0.0094    115  1.314   0.89
2458680.47561     -0.0024   0.0095    114  1.312   0.88
2458680.47716     -0.0101   0.0094    115  1.310   0.87
2458680.47870     -0.0004   0.0095    113  1.308   0.86
2458680.48025     -0.0086   0.0096    112  1.307   0.84
2458680.48179     -0.0076   0.0098    111  1.306   0.81
2458680.48333     -0.0223   0.0097    112  1.304   0.82
2458680.48487     -0.0077   0.0097    111  1.303   0.82
2458680.48641     -0.0150   0.0097    111  1.302   0.81
2458680.48796     -0.0139   0.0098    110  1.301   0.80
2458680.48951     -0.0104   0.0099    109  1.301   0.78
2458680.49105     -0.0035   0.0100    108  1.300   0.78
2458680.49260     -0.0189   0.0100    108  1.299   0.76
2458680.49415     -0.0154   0.0102    106  1.299   0.74
2458680.49569     -0.0050   0.0104    104  1.299   0.72
2458680.49724     -0.0019   0.0105    103  1.299   0.70

Observador: Luis Tremosa
FotoDif 3.95
