   Julian_Day	 (V-Ens)	ESigma
2456480.7119203	2.5519	0.0038
2456480.7123730	2.5459	0.0037
2456480.7128296	2.5653	0.0038
2456480.7132826	2.5512	0.0038
2456480.7137396	2.5506	0.0039
2456480.7141922	2.5502	0.0038
2456480.7146454	2.5482	0.0039
2456480.7150979	2.5583	0.0038
2456480.7155507	2.5564	0.0038
2456480.7159996	2.5528	0.0038
2456480.7164528	2.5412	0.0038
2456480.7169053	2.5532	0.0038
2456480.7173542	2.5484	0.0038
2456480.7178071	2.5517	0.0038
2456480.7182597	2.5464	0.0038
2456480.7187127	2.5492	0.0038
2456480.7191545	2.5541	0.0038
2456480.7196181	2.5447	0.0039
2456480.7200591	2.5598	0.0038
2456480.7205212	2.5592	0.0038
2456480.7209690	2.5519	0.0039
2456480.7214232	2.553	0.0038
2456480.7218733	2.5534	0.0039
2456480.7223225	2.5501	0.0038
2456480.7227670	2.5603	0.0038
2456480.7232264	2.5573	0.0038
2456480.7236792	2.5656	0.0038
2456480.7241281	2.5605	0.0038
2456480.7245808	2.5526	0.0038
2456480.7250325	2.5572	0.0038
2456480.7254808	2.5537	0.0038
2456480.7259255	2.5631	0.0038
2456480.7263865	2.5518	0.0038
2456480.7268353	2.5613	0.0038
2456480.7272885	2.5699	0.0038
2456480.7277427	2.5632	0.0038
2456480.7281956	2.57	0.0038
2456480.7286456	2.5703	0.0038
2456480.7290987	2.5724	0.0038
2456480.7295506	2.5731	0.0038
2456480.7300074	2.582	0.0038
2456480.7304601	2.5688	0.0038
2456480.7309128	2.5644	0.0039
2456480.7313657	2.5726	0.0039
2456480.7318184	2.5738	0.0039
2456480.7322712	2.5858	0.0039
2456480.7327241	2.5753	0.0039
2456480.7331808	2.5831	0.0039
2456480.7336336	2.5847	0.0039
2456480.7340866	2.5753	0.0038
2456480.7345367	2.578	0.0038
2456480.7349933	2.5833	0.0038
2456480.7354461	2.5745	0.0038
2456480.7358999	2.5866	0.0038
2456480.7363572	2.5748	0.0038
2456480.7368103	2.5857	0.0038
2456480.7372709	2.5823	0.0038
2456480.7377284	2.5864	0.0038
2456480.7381893	2.5822	0.0038
2456480.7386458	2.5898	0.0038
2456480.7391028	2.5926	0.0038
2456480.7395601	2.5833	0.0038
2456480.7400281	2.5897	0.0039
2456480.7404819	2.5955	0.0039
2456480.7409398	2.5837	0.0039
2456480.7413966	2.5804	0.0038
2456480.7418537	2.5822	0.0039
2456480.7423102	2.5852	0.0039
2456480.7427715	2.585	0.0039
2456480.7432242	2.5834	0.0039
2456480.7436810	2.5898	0.0039
2456480.7441339	2.5911	0.0039
2456480.7445962	2.5935	0.0039
2456480.7450532	2.5839	0.0038
2456480.7455101	2.5804	0.0038
2456480.7459675	2.5955	0.0039
2456480.7464233	2.5926	0.0039
2456480.7468846	2.5872	0.0039
2456480.7473439	2.5947	0.0039
2456480.7477972	2.5925	0.0039
2456480.7482531	2.5877	0.0039
2456480.7487052	2.596	0.0039
2456480.7491580	2.5846	0.0039
2456480.7496108	2.585	0.0038
2456480.7500637	2.5905	0.0038
2456480.7505162	2.5859	0.0039
2456480.7509713	2.5896	0.0039
2456480.7514235	2.5932	0.004
2456480.7518650	2.5991	0.0039
2456480.7523273	2.5933	0.0041
2456480.7527784	2.5814	0.0041
2456480.7532271	2.5863	0.004
2456480.7536801	2.5984	0.0042
2456480.7541299	2.5841	0.004
2456480.7545787	2.5856	0.004
2456480.7550317	2.5888	0.0041
2456480.7554807	2.5906	0.0042
2456480.7559332	2.579	0.004
2456480.7563850	2.5789	0.0041
2456480.7568340	2.5858	0.004
2456480.7572923	2.5747	0.0041
2456480.7577405	2.5802	0.0041
2456480.7581940	2.5785	0.0041
2456480.7586425	2.5869	0.0041
2456480.7590957	2.5862	0.0041
2456480.7595488	2.6025	0.0044
2456480.7600016	2.5874	0.0041
2456480.7604506	2.5906	0.0042
2456480.7609073	2.5964	0.0039
2456480.7613601	2.5806	0.0039
2456480.7618170	2.5793	0.0039
2456480.7622700	2.578	0.004
2456480.7627228	2.5894	0.0038
2456480.7631755	2.5963	0.0039
2456480.7636285	2.5832	0.0039
2456480.7640812	2.5865	0.004
2456480.7645382	2.5996	0.0039
2456480.7649909	2.584	0.004
2456480.7654439	2.5842	0.0042
2456480.7659009	2.5736	0.0043
2456480.7663536	2.5832	0.0046
2456480.7668103	2.5787	0.0044
2456480.7672632	2.579	0.0044
2456480.7677163	2.6038	0.0045
2456480.7681692	2.5917	0.0047
2456480.7686259	2.5811	0.0046
2456480.7690786	2.5957	0.0044
2456480.7695314	2.5811	0.0044
2456480.7699843	2.5835	0.0046
2456480.7704410	2.5792	0.0046
2456480.7708897	2.5815	0.0044
2456480.7713426	2.5917	0.0046
2456480.7717954	2.5882	0.0044
2456480.7722521	2.5899	0.0044
2456480.7727008	2.571	0.0044
2456480.7731576	2.5841	0.0042
2456480.7736103	2.5899	0.0041
2456480.7740632	2.5822	0.0041
2456480.7745161	2.5831	0.004
2456480.7749689	2.5893	0.004
2456480.7754257	2.5861	0.0042
2456480.7758785	2.5899	0.0041
2456480.7763352	2.5768	0.0042
2456480.7767881	2.5892	0.0042
2456480.7772407	2.6129	0.0041
2456480.7776976	2.5995	0.004
2456480.7781505	2.5747	0.004
2456480.7786034	2.5809	0.004
2456480.7790559	2.5798	0.0042
2456480.7795130	2.5816	0.0041
2456480.7799656	2.5826	0.0041
2456480.7804186	2.5896	0.0041
2456480.7808755	2.602	0.0045
2456480.7813285	2.5944	0.0042
2456480.7817811	2.6066	0.0052
2456480.7822379	2.6002	0.0059
2456480.7826909	2.5841	0.0045
2456480.7831436	2.594	0.0041
2456480.7836005	2.5873	0.0043
2456480.7840535	2.6174	0.0066
2456480.7845063	2.5665	0.006
2456480.7849630	2.5939	0.0087
2456480.7854159	2.5852	0.0083
2456480.7858689	2.5769	0.006
2456480.7863216	2.5822	0.0051
2456480.7867745	2.5976	0.0046
2456480.7872272	2.5721	0.0045
2456480.7876802	2.583	0.0053
2456480.7881331	2.5761	0.0097
2456480.7885859	2.5966	0.0056
2456480.7890426	2.584	0.0043
2456480.7894956	2.5887	0.0044
2456480.7899485	2.592	0.0045
2456480.7904052	2.5752	0.0044
2456480.7908581	2.5924	0.0046
2456480.7913148	2.5709	0.0044
2456480.7917718	2.5783	0.0046
2456480.7922246	2.5952	0.0045
2456480.7926774	2.5952	0.005
2456480.7931343	2.5841	0.0044
2456480.7935870	2.572	0.0045
2456480.7940399	2.5838	0.0044
2456480.7944929	2.5602	0.0055
2456480.7949452	2.5708	0.0049
2456480.7953976	2.5982	0.005
2456480.7963034	2.5723	0.0056
2456480.7967561	2.564	0.006
2456480.7972040	2.5812	0.0051
2456480.7976602	2.5738	0.0063
2456480.7981082	2.58	0.0059
2456480.7985655	2.5766	0.0049
2456480.7990150	2.5894	0.0048
2456480.7994676	2.5714	0.0053
2456480.7999164	2.5843	0.0054
2456480.8003693	2.584	0.0047
2456480.8008140	2.5743	0.0046
2456480.8012655	2.5727	0.0046
2456480.8017170	2.587	0.0047
2456480.8021744	2.5678	0.0051
2456480.8026288	2.563	0.0056
2456480.8030814	2.5922	0.0055
2456480.8035347	2.5788	0.0046
2456480.8039830	2.5722	0.0045
2456480.8044285	2.5589	0.0047
2456480.8048885	2.573	0.0044
2456480.8053380	2.5603	0.0058
2456480.8062471	2.5715	0.0054
2456480.8067001	2.5673	0.0051
2456480.8071568	2.5658	0.0048
2456480.8076100	2.5576	0.0049
2456480.8080626	2.5708	0.0054
2456480.8085155	2.5728	0.0052
2456480.8089723	2.5606	0.0055
2456480.8094252	2.5539	0.0057
2456480.8098821	2.5756	0.0059
2456480.8103389	2.5395	0.0055
2456480.8107919	2.56	0.0052
2456480.8112446	2.5572	0.0051
2456480.8117013	2.543	0.0052
2456480.8121539	2.5706	0.0046
2456480.8126071	2.5557	0.0045
2456480.8130596	2.5514	0.0048
2456480.8135162	2.5431	0.0045
2456480.8139651	2.5508	0.0044
2456480.8144218	2.5598	0.0044
2456480.8148747	2.5412	0.0048
2456480.8153274	2.554	0.005
2456480.8162409	2.5498	0.0099
2456480.8166939	2.5556	0.0079
2456480.8171465	2.5432	0.0073
2456480.8176035	2.5651	0.006
2456480.8180603	2.551	0.0045
2456480.8185131	2.5449	0.0046
2456480.8189660	2.5579	0.0049
2456480.8194187	2.5416	0.0048
2456480.8198714	2.5569	0.0048
2456480.8203242	2.5392	0.0049
2456480.8207816	2.5448	0.0048
2456480.8212338	2.5609	0.0049
2456480.8216867	2.5388	0.0047
2456480.8221395	2.5585	0.0052
2456480.8225963	2.55	0.0062
2456480.8230493	2.5511	0.0056
2456480.8235020	2.543	0.0047
2456480.8239589	2.5399	0.0048
2456480.8244117	2.5526	0.0046
2456480.8248648	2.5541	0.0048
2456480.8253120	2.5628	0.0052
2456480.8257639	2.568	0.0054
2456480.8262256	2.5457	0.0055
2456480.8266780	2.5736	0.0054
2456480.8271190	2.5491	0.0056
2456480.8275809	2.5511	0.0056
2456480.8280340	2.5521	0.0055
2456480.8284821	2.5281	0.0056
2456480.8289354	2.5545	0.0055
2456480.8293890	2.5463	0.0056
2456480.8298409	2.5377	0.0053
2456480.8302939	2.5371	0.0052
