Helio JD	T-aveC
2456846.700214	-4.696
2456846.700924	-4.705
2456846.701631	-4.697
2456846.702340	-4.700
2456846.703048	-4.696
2456846.703757	-4.713
2456846.704465	-4.699
2456846.705174	-4.717
2456846.705882	-4.695
2456846.706591	-4.696
2456846.707299	-4.717
2456846.708008	-4.684
2456846.708716	-4.714
2456846.709424	-4.712
2456846.710132	-4.709
2456846.710840	-4.707
2456846.711549	-4.706
2456846.712256	-4.708
2456846.712965	-4.709
2456846.713673	-4.713
2456846.714382	-4.714
2456846.715090	-4.710
2456846.715798	-4.704
2456846.716507	-4.709
2456846.717215	-4.713
2456846.717924	-4.698
2456846.718632	-4.710
2456846.719340	-4.709
2456846.720049	-4.705
2456846.720759	-4.714
2456846.721469	-4.707
2456846.722180	-4.709
2456846.722890	-4.714
2456846.723599	-4.719
2456846.724308	-4.712
2456846.725016	-4.707
2456846.725725	-4.705
2456846.726433	-4.714
2456846.727141	-4.704
2456846.727850	-4.705
2456846.728558	-4.708
2456846.729267	-4.705
2456846.729975	-4.715
2456846.730683	-4.717
2456846.731392	-4.709
2456846.732100	-4.712
2456846.732809	-4.706
2456846.733517	-4.706
2456846.734225	-4.717
2456846.734933	-4.719
2456846.735642	-4.724
2456846.736351	-4.709
2456846.737060	-4.713
2456846.737769	-4.714
2456846.738477	-4.715
2456846.739186	-4.710
2456846.739894	-4.712
2456846.740602	-4.723
2456846.741311	-4.717
2456846.742020	-4.714
2456846.742728	-4.724
2456846.743437	-4.721
2456846.744145	-4.720
2456846.744853	-4.708
2456846.745562	-4.719
2456846.746270	-4.710
2456846.746979	-4.711
2456846.747687	-4.715
2456846.748397	-4.721
2456846.749108	-4.711
2456846.749817	-4.713
2456846.750527	-4.712
2456846.751235	-4.725
2456846.751943	-4.716
2456846.752652	-4.723
2456846.753360	-4.718
2456846.754069	-4.720
2456846.754777	-4.719
2456846.755485	-4.717
2456846.756193	-4.714
2456846.756902	-4.715
2456846.757610	-4.719
2456846.758318	-4.716
2456846.759027	-4.707
2456846.759735	-4.713
2456846.760444	-4.710
2456846.761152	-4.712
2456846.761860	-4.701
2456846.762569	-4.693
2456846.763277	-4.702
2456846.763986	-4.703
2456846.764694	-4.713
2456846.765403	-4.694
2456846.766111	-4.694
2456846.766820	-4.688
2456846.767528	-4.694
2456846.768237	-4.698
2456846.768945	-4.692
2456846.769654	-4.683
2456846.770362	-4.695
2456846.771071	-4.692
2456846.771779	-4.694
2456846.772488	-4.686
2456846.773196	-4.690
2456846.773905	-4.692
2456846.774613	-4.682
2456846.775322	-4.688
2456846.776032	-4.683
2456846.776742	-4.690
2456846.777452	-4.689
2456846.778161	-4.683
2456846.778869	-4.681
2456846.779577	-4.693
2456846.780285	-4.694
2456846.780994	-4.694
2456846.781702	-4.697
2456846.782410	-4.687
2456846.783118	-4.684
2456846.783827	-4.689
2456846.784535	-4.687
2456846.785244	-4.688
2456846.785952	-4.692
2456846.786661	-4.682
2456846.787369	-4.683
2456846.788077	-4.693
2456846.788785	-4.695
2456846.789494	-4.688
2456846.790202	-4.689
2456846.790911	-4.684
2456846.791619	-4.678
2456846.792328	-4.681
2456846.793036	-4.687
2456846.793744	-4.682
2456846.794452	-4.681
2456846.795161	-4.679
2456846.795869	-4.685
2456846.796578	-4.686
2456846.797286	-4.683
2456846.797994	-4.684
2456846.798703	-4.695
2456846.799411	-4.686
2456846.800120	-4.691
2456846.800828	-4.686
2456846.801536	-4.693
2456846.802244	-4.688
2456846.802952	-4.677
2456846.803663	-4.688
2456846.804373	-4.688
2456846.805083	-4.684
2456846.805792	-4.683
2456846.806501	-4.690
2456846.807209	-4.683
2456846.807917	-4.682
2456846.808626	-4.682
2456846.809334	-4.686
2456846.810043	-4.685
2456846.810751	-4.687
2456846.811460	-4.687
2456846.812168	-4.687
2456846.812876	-4.688
2456846.813584	-4.696
2456846.814293	-4.691
2456846.815001	-4.695
2456846.815710	-4.689
2456846.816418	-4.686
2456846.817126	-4.693
2456846.817835	-4.686
2456846.818543	-4.685
2456846.819252	-4.691
2456846.819960	-4.682
2456846.820669	-4.683
2456846.821378	-4.690
2456846.822086	-4.690
2456846.822795	-4.686
2456846.823504	-4.683
2456846.824212	-4.691
2456846.824921	-4.680
2456846.825629	-4.696
2456846.826337	-4.690
2456846.827045	-4.690
2456846.827754	-4.689
2456846.828462	-4.689
2456846.829171	-4.692
2456846.829879	-4.697
2456846.830588	-4.690
2456846.831300	-4.698
2456846.832010	-4.698
2456846.832719	-4.692
2456846.833428	-4.696
2456846.834137	-4.688
2456846.834845	-4.702
2456846.835553	-4.700
2456846.836262	-4.697
2456846.836971	-4.692
2456846.837679	-4.695
2456846.838387	-4.699
2456846.839096	-4.704
2456846.839804	-4.702
2456846.840512	-4.708
2456846.841221	-4.709
2456846.841929	-4.715
2456846.842637	-4.711
2456846.843345	-4.722
2456846.844054	-4.714
2456846.844762	-4.719
2456846.845475	-4.725
2456846.846184	-4.723
2456846.846892	-4.712
2456846.847602	-4.721
2456846.848310	-4.723
2456846.849019	-4.716
2456846.849727	-4.723
2456846.850436	-4.717
2456846.851144	-4.716
2456846.851853	-4.722
2456846.852562	-4.719
2456846.853271	-4.708
2456846.853979	-4.720
2456846.854688	-4.717
2456846.855397	-4.718
2456846.856105	-4.717
2456846.856814	-4.722
2456846.857522	-4.720
2456846.858231	-4.718
2456846.858942	-4.717
2456846.859651	-4.716
2456846.860362	-4.717
2456846.861072	-4.720
2456846.861781	-4.717
2456846.862489	-4.726
2456846.863198	-4.725
2456846.863906	-4.729
2456846.864615	-4.721
2456846.865324	-4.721
2456846.866032	-4.716
2456846.866740	-4.727
2456846.867449	-4.722
2456846.868157	-4.719
2456846.868866	-4.722
2456846.869574	-4.716
2456846.870283	-4.720
2456846.870991	-4.722
2456846.871699	-4.725
2456846.872408	-4.722
2456846.873116	-4.724
2456846.873825	-4.720
2456846.874533	-4.728
2456846.875242	-4.722
2456846.875950	-4.722
2456846.876659	-4.729
2456846.877368	-4.726
2456846.878076	-4.716
2456846.878785	-4.722
2456846.879494	-4.724
2456846.880203	-4.722
2456846.880911	-4.711
2456846.881620	-4.715
2456846.882329	-4.724
2456846.883037	-4.717
2456846.883746	-4.719
2456846.884454	-4.722
2456846.885162	-4.721
2456846.885871	-4.719
2456846.886583	-4.717
2456846.887295	-4.725
2456846.888004	-4.721
2456846.888715	-4.722
2456846.889424	-4.728
2456846.890132	-4.723
2456846.890841	-4.719
2456846.891549	-4.730
2456846.892258	-4.720
2456846.892967	-4.720
2456846.893675	-4.721
2456846.894384	-4.717
2456846.895092	-4.722
2456846.895801	-4.722
2456846.896510	-4.721
2456846.897218	-4.720
2456846.897927	-4.707
2456846.898635	-4.720
2456846.899344	-4.723
2456846.900053	-4.725
