JD V-C s1
Aperture: 3, JD: geocentric
2457995.3759876 0.18845 0.00908
2457995.3774305 0.18355 0.00897
2457995.3788744 0.18421 0.00877
2457995.3803175 0.18312 0.00849
2457995.3817612 0.18364 0.00828
2457995.3832041 0.18160 0.00806
2457995.3846479 0.18242 0.00786
2457995.3860898 0.18354 0.00780
2457995.3875347 0.18242 0.00772
2457995.3889770 0.18549 0.00769
2457995.3904215 0.18745 0.00747
2457995.3918634 0.19073 0.00738
2457995.3933082 0.19224 0.00721
2457995.3947501 0.19475 0.00711
2457995.3961940 0.20125 0.00701
2457995.3976373 0.20207 0.00692
2457995.3990808 0.20685 0.00684
2457995.4005237 0.21141 0.00677
2457995.4019676 0.21016 0.00668
2457995.4034105 0.21307 0.00667
2457995.4048543 0.21521 0.00661
2457995.4062975 0.21437 0.00652
2457995.4077411 0.21352 0.00654
2457995.4091840 0.21517 0.00649
2457995.4106269 0.21788 0.00645
2457995.4120708 0.21571 0.00652
2457995.4135137 0.21571 0.00638
2457995.4149588 0.21893 0.00628
2457995.4164004 0.21873 0.00635
2457995.4178453 0.21628 0.00625
2457995.4192904 0.21801 0.00629
2457995.4207388 0.21812 0.00623
2457995.4221826 0.21249 0.00625
2457995.4236275 0.21857 0.00627
2457995.4250713 0.21683 0.00640
2457995.4265162 0.21652 0.00642
2457995.4279602 0.22016 0.00649
2457995.4294103 0.21853 0.00644
2457995.4308613 0.21899 0.00652
2457995.4323041 0.22009 0.00655
2457995.4337490 0.21799 0.00653
2457995.4351928 0.22023 0.00655
2457995.4366367 0.22259 0.00668
2457995.4380816 0.22420 0.00664
2457995.4395303 0.22241 0.00667
2457995.4409741 0.22486 0.00664
2457995.4424189 0.22861 0.00670
2457995.4438618 0.22205 0.00671
2457995.4453057 0.22379 0.00670
2457995.4467479 0.22329 0.00672
2457995.4481925 0.22138 0.00675
2457995.4496354 0.22397 0.00686
2457995.4510783 0.22369 0.00684
2457995.4525221 0.22362 0.00689
2457995.4539650 0.22351 0.00687
2457995.4554091 0.21881 0.00716
2457995.4568518 0.22571 0.00719
2457995.4582966 0.22356 0.00723
2457995.4597386 0.21758 0.00720
2457995.4611824 0.21988 0.00729
2457995.4626254 0.22310 0.00736
2457995.4640695 0.22092 0.00739
2457995.4655121 0.22695 0.00742
2457995.4669560 0.22118 0.00749
2457995.4683989 0.22433 0.00746
2457995.4698428 0.22450 0.00747
2457995.4712847 0.21624 0.00744
2457995.4727298 0.21416 0.00754
2457995.4741724 0.20972 0.00766
2457995.4756153 0.21263 0.00766
2457995.4770592 0.20851 0.00774
2457995.4785021 0.21024 0.00780
2457995.4799450 0.20886 0.00789
2457995.4813890 0.20708 0.00785
2457995.4828337 0.21006 0.00810
2457995.4842756 0.21084 0.00821
2457995.4857195 0.21361 0.00824
2457995.4871624 0.21219 0.00850
2457995.4886063 0.21435 0.00873
2457995.4900485 0.21575 0.00874
2457995.4914930 0.21763 0.00869
2457995.4929359 0.22071 0.00873
2457995.4943798 0.21497 0.00874
2457995.4958217 0.21826 0.00894
2457995.4972666 0.21779 0.00901
2457995.4987088 0.22556 0.00910
2457995.5001523 0.22026 0.00929
2457995.5015962 0.21958 0.00941
2457995.5030391 0.22547 0.00951
2457995.5044820 0.23331 0.00963
2457995.5059259 0.23140 0.00973
2457995.5073686 0.23017 0.00989
2457995.5088127 0.22915 0.01000
2457995.5102546 0.23149 0.01020
2457995.5116994 0.23360 0.01041
2457995.5131414 0.24395 0.01054
2457995.5145852 0.23895 0.01064
2457995.5160284 0.24462 0.01075
2457995.5174720 0.24800 0.01102
2457995.5186747 0.24229 0.01122
