JDHEL V-C s1
Aperture: 7, Filter: IR-UV, JD: heliocentric
2458307.3869708 0.13677 0.00179
2458307.3884639 0.14640 0.00175
2458307.3899569 0.14054 0.00172
2458307.3914384 0.15064 0.00173
2458307.3928968 0.14759 0.00174
2458307.3943551 0.15736 0.00173
2458307.3958714 0.16468 0.00178
2458307.3973181 0.16917 0.00172
2458307.3987765 0.17393 0.00174
2458307.4002696 0.17047 0.00173
2458307.4017511 0.17069 0.00169
2458307.4032094 0.16913 0.00172
2458307.4047025 0.17096 0.00170
2458307.4061956 0.16971 0.00172
2458307.4076423 0.17007 0.00174
2458307.4091007 0.16759 0.00166
2458307.4105822 0.17124 0.00170
2458307.4120405 0.17199 0.00167
2458307.4135336 0.17396 0.00168
2458307.4150267 0.17758 0.00169
2458307.4164735 0.17508 0.00165
2458307.4179665 0.17271 0.00164
2458307.4194249 0.17619 0.00164
2458307.4209180 0.17618 0.00162
2458307.4223995 0.17324 0.00165
2458307.4238925 0.17020 0.00162
2458307.4253856 0.17664 0.00160
2458307.4268440 0.17635 0.00161
2458307.4282907 0.17105 0.00158
2458307.4297838 0.17092 0.00158
2458307.4312769 0.17140 0.00161
2458307.4327352 0.16767 0.00160
2458307.4342167 0.17650 0.00165
2458307.4357098 0.17413 0.00157
2458307.4371913 0.17470 0.00158
2458307.4386844 0.17430 0.00160
2458307.4401775 0.18027 0.00159
2458307.4416705 0.17912 0.00157
2458307.4431173 0.17651 0.00159
2458307.4446104 0.17733 0.00157
2458307.4460687 0.17019 0.00156
2458307.4475618 0.17076 0.00155
2458307.4490086 0.17113 0.00156
2458307.4505017 0.16747 0.00157
2458307.4519600 0.17190 0.00157
2458307.4534415 0.17000 0.00155
2458307.4548999 0.17075 0.00153
2458307.4563929 0.17572 0.00159
2458307.4578397 0.16893 0.00152
2458307.4593328 0.17055 0.00160
2458307.4608259 0.17030 0.00155
2458307.4623074 0.16830 0.00157
2458307.4638004 0.16932 0.00155
2458307.4652935 0.16814 0.00158
2458307.4667403 0.16120 0.00156
2458307.4681986 0.16345 0.00153
2458307.4696917 0.16134 0.00157
2458307.4711385 0.15712 0.00154
2458307.4725969 0.15376 0.00152
2458307.4740899 0.14710 0.00154
2458307.4755367 0.14456 0.00152
2458307.4769951 0.13979 0.00151
2458307.4784418 0.13682 0.00151
2458307.4799349 0.13940 0.00150
2458307.4814280 0.13701 0.00153
2458307.4828748 0.13634 0.00152
2458307.4843331 0.14260 0.00157
2458307.4858262 0.13559 0.00149
2458307.4872961 0.13404 0.00152
2458307.4887545 0.13657 0.00153
2458307.4902475 0.14045 0.00150
2458307.4916943 0.13838 0.00150
2458307.4931527 0.13627 0.00151
2458307.4946457 0.13606 0.00151
2458307.4961388 0.13995 0.00153
2458307.4976203 0.13577 0.00148
2458307.4991134 0.13724 0.00154
2458307.5005717 0.13604 0.00147
2458307.5020185 0.14182 0.00152
2458307.5035116 0.13523 0.00149
2458307.5049699 0.14110 0.00149
2458307.5064167 0.13497 0.00147
