HelioJD    	T-aveC
2457965.692395	0.472
2457965.693103	0.478
2457965.69381	0.469
2457965.694518	0.465
2457965.695225	0.485
2457965.695933	0.470
2457965.69664	0.476
2457965.697347	0.469
2457965.698055	0.469
2457965.698762	0.473
2457965.69947	0.476
2457965.700177	0.469
2457965.700884	0.477
2457965.701592	0.477
2457965.702299	0.458
2457965.703007	0.469
2457965.703714	0.470
2457965.704421	0.477
2457965.705129	0.469
2457965.705836	0.474
2457965.706544	0.476
2457965.707252	0.467
2457965.707959	0.483
2457965.708666	0.467
2457965.709374	0.471
2457965.710081	0.472
2457965.710789	0.482
2457965.711496	0.455
2457965.712204	0.467
2457965.712911	0.474
2457965.713618	0.478
2457965.714326	0.469
2457965.715033	0.455
2457965.715741	0.469
2457965.716448	0.468
2457965.717155	0.469
2457965.717863	0.476
2457965.71857	0.478
2457965.719278	0.469
2457965.719985	0.467
2457965.720693	0.464
2457965.7214	0.461
2457965.722107	0.468
2457965.722815	0.467
2457965.723522	0.473
2457965.724229	0.476
2457965.724937	0.475
2457965.725644	0.475
2457965.726352	0.474
2457965.727059	0.463
2457965.727767	0.478
2457965.728474	0.466
2457965.729181	0.466
2457965.729889	0.464
2457965.730596	0.469
2457965.731304	0.470
2457965.732011	0.463
2457965.732718	0.457
2457965.733426	0.471
2457965.734133	0.471
2457965.734841	0.470
2457965.735548	0.467
2457965.736255	0.470
2457965.736963	0.468
2457965.73767	0.479
2457965.738378	0.463
2457965.739085	0.481
2457965.739792	0.457
2457965.7405	0.460
2457965.741207	0.461
2457965.741915	0.463
2457965.742622	0.471
2457965.74333	0.469
2457965.744037	0.472
2457965.744745	0.471
2457965.745452	0.463
2457965.746159	0.464
2457965.746867	0.466
2457965.747574	0.461
2457965.748282	0.472
2457965.748989	0.467
2457965.749696	0.458
2457965.750404	0.466
2457965.751111	0.463
2457965.751819	0.467
2457965.752526	0.467
2457965.753233	0.465
2457965.753941	0.453
2457965.754648	0.457
2457965.755356	0.459
2457965.756063	0.467
2457965.756771	0.458
2457965.757478	0.473
2457965.758185	0.465
2457965.758893	0.458
2457965.7596	0.468
2457965.760307	0.457
2457965.761015	0.467
2457965.761722	0.467
2457965.76243	0.460
2457965.763137	0.464
2457965.763844	0.468
2457965.764552	0.467
2457965.765259	0.469
2457965.765967	0.475
2457965.766674	0.479
