JD V-C s1 
Aperture: 4, Filter: Clear, JD: geocentric
2457608.40650 0.1909 0.0036 
2457608.40692 0.1939 0.0036 
2457608.40735 0.1958 0.0034 
2457608.40777 0.1904 0.0034 
2457608.40819 0.1952 0.0034 
2457608.40862 0.2004 0.0034 
2457608.40904 0.1874 0.0033 
2457608.40947 0.1951 0.0034 
2457608.40988 0.1926 0.0034 
2457608.41031 0.1966 0.0034 
2457608.41074 0.1962 0.0033 
2457608.41118 0.1867 0.0033 
2457608.41161 0.2013 0.0034 
2457608.41204 0.1829 0.0034 
2457608.41248 0.1965 0.0034 
2457608.41291 0.2081 0.0034 
2457608.41334 0.2023 0.0034 
2457608.41377 0.2000 0.0034 
2457608.41421 0.1952 0.0034 
2457608.41464 0.1920 0.0033 
2457608.41507 0.1876 0.0034 
2457608.41551 0.1927 0.0034 
2457608.41594 0.1916 0.0034 
2457608.41637 0.1916 0.0034 
2457608.41681 0.1953 0.0034 
2457608.41726 0.1965 0.0034 
2457608.41769 0.1856 0.0034 
2457608.41811 0.2020 0.0034 
2457608.41855 0.2027 0.0034 
2457608.41898 0.1858 0.0034 
2457608.41942 0.1923 0.0034 
2457608.41985 0.1972 0.0035 
2457608.42028 0.1897 0.0034 
2457608.42072 0.1842 0.0034 
2457608.42115 0.1918 0.0033 
2457608.42159 0.1893 0.0034 
2457608.42201 0.1951 0.0034 
2457608.42244 0.1937 0.0034 
2457608.42288 0.1915 0.0034 
2457608.42331 0.1906 0.0036 
2457608.42375 0.1867 0.0036 
2457608.42418 0.1988 0.0035 
2457608.42462 0.1966 0.0034 
2457608.42506 0.1930 0.0034 
2457608.42551 0.1990 0.0034 
2457608.42594 0.1900 0.0033 
2457608.42639 0.1948 0.0033 
2457608.42683 0.1893 0.0034 
2457608.42727 0.1956 0.0034 
2457608.42771 0.1826 0.0035 
2457608.42816 0.2034 0.0034 
2457608.42860 0.1854 0.0033 
2457608.42904 0.1892 0.0034 
2457608.42947 0.1953 0.0034 
2457608.42992 0.1938 0.0034 
2457608.43036 0.1913 0.0034 
2457608.43080 0.1935 0.0033 
2457608.43124 0.1951 0.0034 
2457608.43170 0.1935 0.0035 
2457608.43214 0.1888 0.0033 
2457608.43257 0.1866 0.0034 
2457608.43306 0.1881 0.0034 
2457608.43348 0.1956 0.0035 
2457608.43391 0.1837 0.0036 
2457608.43435 0.1843 0.0035 
2457608.43478 0.1946 0.0035 
2457608.43522 0.1985 0.0036 
2457608.43564 0.1896 0.0034 
2457608.43608 0.1998 0.0035 
2457608.43651 0.2019 0.0034 
2457608.43694 0.1941 0.0034 
2457608.43737 0.1915 0.0034 
2457608.43780 0.1934 0.0033 
2457608.43824 0.1943 0.0034 
2457608.43867 0.1937 0.0035 
2457608.43911 0.1995 0.0034 
2457608.43954 0.2052 0.0035 
2457608.43999 0.1971 0.0036 
2457608.44041 0.2032 0.0037 
2457608.44085 0.1982 0.0036 
2457608.44127 0.2029 0.0036 
2457608.44171 0.1966 0.0036 
2457608.44214 0.1995 0.0037 
2457608.44257 0.1956 0.0037 
2457608.44301 0.2080 0.0038 
2457608.44344 0.1957 0.0041 
2457608.44388 0.1950 0.0040 
2457608.44431 0.2072 0.0041 
2457608.44476 0.2039 0.0041 
2457608.44521 0.2020 0.0040 
2457608.44564 0.2078 0.0040 
2457608.44609 0.2071 0.0040 
2457608.44652 0.2060 0.0041 
2457608.44697 0.2102 0.0040 
2457608.44741 0.2138 0.0039 
2457608.44784 0.2135 0.0043 
2457608.44827 0.2202 0.0046 
2457608.44870 0.2132 0.0045 
2457608.44916 0.2288 0.0042 
2457608.44958 0.2187 0.0041 
2457608.45002 0.2216 0.0038 
2457608.45045 0.2226 0.0036 
2457608.45089 0.2202 0.0035 
2457608.45132 0.2205 0.0036 
2457608.45176 0.2188 0.0034 
2457608.45219 0.2158 0.0034 
2457608.45262 0.2271 0.0035 
2457608.45306 0.2341 0.0036 
2457608.45348 0.2238 0.0035 
2457608.45392 0.2315 0.0035 
2457608.45435 0.2316 0.0035 
2457608.45480 0.2410 0.0036 
2457608.45523 0.2359 0.0036 
2457608.45567 0.2439 0.0036 
2457608.45610 0.2290 0.0036 
2457608.45654 0.2351 0.0036 
2457608.45697 0.2345 0.0036 
2457608.45741 0.2406 0.0035 
2457608.45784 0.2291 0.0036 
2457608.45826 0.2299 0.0037 
2457608.45870 0.2368 0.0036 
2457608.45913 0.2384 0.0039 
2457608.45957 0.2335 0.0037 
2457608.46000 0.2356 0.0038 
2457608.46045 0.2313 0.0039 
2457608.46088 0.2411 0.0039 
2457608.46131 0.2328 0.0040 
2457608.46176 0.2325 0.0041 
2457608.46220 0.2263 0.0042 
2457608.46265 0.2348 0.0039 
2457608.46309 0.2213 0.0041 
2457608.46353 0.2420 0.0041 
2457608.46397 0.2258 0.0041 
2457608.46441 0.2484 0.0042 
2457608.46487 0.2332 0.0037 
2457608.46531 0.2487 0.0036 
2457608.46576 0.2252 0.0036 
2457608.46619 0.2368 0.0035 
2457608.46664 0.2345 0.0035 
2457608.46708 0.2430 0.0036 
2457608.46752 0.2263 0.0036 
2457608.46797 0.2448 0.0036 
2457608.46843 0.2368 0.0036 
2457608.46932 0.2405 0.0037 
2457608.46974 0.2309 0.0036 
2457608.47021 0.2520 0.0037 
2457608.47064 0.2341 0.0035 
2457608.47108 0.2361 0.0036 
2457608.47150 0.2305 0.0035 
2457608.47196 0.2405 0.0036 
2457608.47238 0.2414 0.0037 
2457608.47282 0.2467 0.0036 
2457608.47369 0.2460 0.0037 
2457608.47412 0.2374 0.0036 
2457608.47456 0.2289 0.0036 
2457608.47504 0.2385 0.0036 
2457608.47548 0.2361 0.0036 
2457608.47633 0.2470 0.0036 
2457608.47677 0.2364 0.0036 
2457608.47720 0.2304 0.0036 
2457608.47764 0.2349 0.0036 
2457608.47807 0.2450 0.0036 
2457608.47849 0.2321 0.0036 
2457608.47894 0.2487 0.0037 
2457608.47936 0.2389 0.0039 
2457608.47980 0.2421 0.0040 
2457608.48023 0.2224 0.0040 
2457608.48068 0.2455 0.0038 
2457608.48111 0.2397 0.0037 
2457608.48155 0.2399 0.0040 
2457608.48198 0.2428 0.0042 
2457608.48241 0.2491 0.0046 
2457608.48285 0.2265 0.0052 
2457608.48328 0.2299 0.0044 
2457608.48372 0.2322 0.0040 
2457608.48414 0.2313 0.0046 
2457608.48458 0.2454 0.0052 
2457608.48501 0.2187 0.0052 
2457608.48544 0.2234 0.0056 
2457608.48588 0.2592 0.0064 
2457608.48631 0.2563 0.0065 
2457608.48675 0.2172 0.0071 
2457608.48718 0.2228 0.0067 
2457608.48760 0.2282 0.0060 
2457608.48804 0.2467 0.0055 
2457608.48847 0.2438 0.0053 
2457608.48896 0.2614 0.0051 
2457608.48943 0.2386 0.0042 
2457608.48986 0.2471 0.0040 
2457608.49030 0.2476 0.0041 
2457608.49073 0.2561 0.0041 
2457608.49116 0.2483 0.0039 
2457608.49162 0.2474 0.0038 
2457608.49206 0.2421 0.0037 
2457608.49250 0.2485 0.0039 
2457608.49293 0.2408 0.0037 
2457608.49336 0.2323 0.0037 
2457608.49380 0.2443 0.0038 
2457608.49423 0.2480 0.0041 
2457608.49465 0.2467 0.0041 
2457608.49509 0.2405 0.0038 
2457608.49552 0.2468 0.0039 
2457608.49595 0.2573 0.0043 
2457608.49639 0.2503 0.0044 
2457608.49682 0.2454 0.0044 
2457608.49725 0.2494 0.0045 
2457608.49768 0.2479 0.0046 
2457608.49811 0.2523 0.0046 
2457608.49854 0.2512 0.0042 
2457608.49899 0.2516 0.0039 
2457608.49944 0.2523 0.0038 
2457608.49990 0.2540 0.0040 
2457608.50032 0.2536 0.0040 
2457608.50075 0.2594 0.0043 
2457608.50119 0.2594 0.0042 
2457608.50162 0.2673 0.0044 
2457608.50205 0.2612 0.0040 
2457608.50292 0.2597 0.0039 
2457608.50335 0.2616 0.0040 
2457608.50379 0.2613 0.0041 
2457608.50421 0.2641 0.0043 
2457608.50464 0.2571 0.0043 
2457608.50508 0.2536 0.0047 
2457608.50551 0.2642 0.0048 
2457608.50594 0.2584 0.0045 
2457608.50638 0.2444 0.0042 
2457608.50681 0.2591 0.0040 
2457608.50723 0.2444 0.0042 
2457608.50765 0.2556 0.0042 
2457608.50808 0.2444 0.0042 
2457608.50850 0.2668 0.0045 
2457608.50893 0.2569 0.0047 
2457608.50936 0.2473 0.0050 
2457608.50978 0.2570 0.0049 
2457608.51021 0.2413 0.0047 
2457608.51063 0.2459 0.0050 
2457608.51105 0.2557 0.0056 
2457608.51148 0.2599 0.0064 
2457608.51190 0.2456 0.0066 
2457608.51233 0.2364 0.0067 
2457608.51274 0.2552 0.0071 
2457608.51359 0.2511 0.0092 
2457608.51446 0.2318 0.0067 
2457608.51487 0.2362 0.0076 
2457608.51572 0.2297 0.0049 
2457608.51615 0.2323 0.0053 
2457608.51657 0.2595 0.0069 
2457608.51700 0.2321 0.0095 
2457608.51785 0.2489 0.0183 
2457608.51913 0.2313 0.0057 
2457608.51956 0.2519 0.0055 
2457608.51999 0.2316 0.0058 
2457608.52043 0.2490 0.0060 
2457608.52127 0.2549 0.0059 
2457608.52170 0.2338 0.0059 
2457608.52212 0.2622 0.0059 
2457608.52255 0.2312 0.0045 
2457608.52296 0.2497 0.0045 
2457608.52339 0.2355 0.0046 
2457608.52381 0.2387 0.0048 
2457608.52425 0.2263 0.0049 
2457608.52468 0.2535 0.0051 
2457608.52509 0.2403 0.0053 
2457608.52552 0.2375 0.0055 
2457608.52594 0.2439 0.0058 
2457608.52637 0.2434 0.0044 
2457608.52679 0.2416 0.0044 
2457608.52722 0.2456 0.0046 
2457608.52765 0.2344 0.0046 
2457608.52807 0.2055 0.0047 
2457608.52850 0.2321 0.0051 
2457608.52891 0.2230 0.0053 
2457608.52935 0.2400 0.0056 
2457608.52978 0.2305 0.0060 
2457608.53020 0.2130 0.0060 
2457608.53063 0.2283 0.0053 
2457608.53104 0.2341 0.0045 
2457608.53147 0.2219 0.0047 
2457608.53189 0.2075 0.0049 
2457608.53232 0.2210 0.0050 
2457608.53274 0.2251 0.0054 
2457608.53316 0.2295 0.0056 
2457608.53359 0.2142 0.0058 
2457608.53400 0.2106 0.0060 
2457608.53444 0.2247 0.0061 
2457608.53487 0.2176 0.0059 
2457608.53532 0.2149 0.0051 
2457608.53578 0.2321 0.0066 
2457608.53620 0.2092 0.0087 
2457608.53663 0.2415 0.0081 
2457608.53748 0.2314 0.0098 
2457608.53832 0.2091 0.0080 
2457608.53875 0.2162 0.0053 
2457608.53917 0.2327 0.0051 
2457608.53960 0.2258 0.0053 
2457608.54004 0.2045 0.0054 
2457608.54046 0.2314 0.0057 
2457608.54088 0.2335 0.0062 
2457608.54131 0.2139 0.0065 
2457608.54172 0.2167 0.0070 
2457608.54215 0.2317 0.0075 
2457608.54257 0.2340 0.0072 
2457608.54300 0.2133 0.0060 
2457608.54343 0.2284 0.0066 
2457608.54384 0.2291 0.0074 
2457608.54427 0.2190 0.0075 
2457608.54469 0.2318 0.0079 
2457608.54513 0.2150 0.0077 
2457608.54556 0.2226 0.0083 
2457608.54598 0.2242 0.0087 
2457608.54641 0.2301 0.0085 
2457608.54684 0.2168 0.0061 
2457608.54727 0.2302 0.0064 
2457608.54769 0.2259 0.0065 
2457608.54811 0.2255 0.0068 
2457608.54853 0.2294 0.0073 
2457608.54896 0.2351 0.0073 
2457608.54937 0.2255 0.0073 
2457608.54982 0.2359 0.0077 
2457608.55024 0.2528 0.0083 
2457608.55066 0.2482 0.0081 
2457608.55109 0.2163 0.0059 
2457608.55150 0.2254 0.0061 
2457608.55193 0.2402 0.0065 
2457608.55236 0.2218 0.0069 
2457608.55279 0.2207 0.0070 
2457608.55321 0.1990 0.0074 
2457608.55363 0.2276 0.0082 
2457608.55405 0.2033 0.0087 
2457608.55448 0.2472 0.0088 
2457608.55492 0.2352 0.0064 
2457608.55534 0.2253 0.0064 
2457608.55576 0.2375 0.0068 
2457608.55618 0.2282 0.0072 
2457608.55661 0.2151 0.0075 
2457608.55703 0.2620 0.0088 
2457608.55745 0.2385 0.0105 
2457608.55787 0.2290 0.0107 
2457608.55830 0.2346 0.0122 
2457608.55873 0.2462 0.0115 
2457608.55915 0.2290 0.0078 
2457608.55958 0.2266 0.0081 
2457608.56002 0.2196 0.0091 
2457608.56128 0.2557 0.0140 
2457608.56171 0.2521 0.0187 
2457608.56214 0.2124 0.0153 
2457608.56257 0.2152 0.0132 
2457608.56300 0.2482 0.0100 
2457608.56341 0.2502 0.0074 
2457608.56384 0.2413 0.0075 
2457608.56426 0.2297 0.0077 
2457608.56469 0.2396 0.0085 
2457608.56513 0.2166 0.0088 
2457608.56554 0.2676 0.0108 
2457608.56597 0.2180 0.0095 
2457608.56641 0.2166 0.0101 
2457608.56683 0.2465 0.0109 
2457608.56726 0.2671 0.0126 
2457608.56767 0.2764 0.0118 
2457608.56810 0.2636 0.0078 
2457608.56852 0.2382 0.0081 
2457608.56895 0.2470 0.0090 
2457608.56938 0.2222 0.0090 
2457608.56979 0.2362 0.0101 
2457608.57023 0.2221 0.0109 
2457608.57065 0.2218 0.0122 
2457608.57108 0.2443 0.0150 
2457608.57150 0.2817 0.0175 
2457608.57193 0.2452 0.0095 
2457608.57236 0.2616 0.0084 
2457608.57279 0.2416 0.0082 
2457608.57321 0.2258 0.0086 
2457608.57363 0.2548 0.0094 
2457608.57405 0.2518 0.0102 
2457608.57448 0.2425 0.0107 
2457608.57490 0.2239 0.0119 
