FOTOMETRÍA RELATIVA

COROT-2 B 
FECHA J HELIO         MAG      +/-
----------------------------------
2456869.41958      -0.018    0.005
2456869.42030      -0.021    0.005
2456869.42100      -0.011    0.005
2456869.42172      -0.008    0.005
2456869.42243      -0.012    0.005
2456869.42313      -0.008    0.005
2456869.42385      -0.006    0.005
2456869.42456       0.003    0.005
2456869.42527      -0.010    0.005
2456869.42598       0.012    0.005
2456869.42670       0.017    0.005
2456869.42740       0.004    0.005
2456869.42815       0.014    0.005
2456869.42886      -0.010    0.005
2456869.42957       0.007    0.005
2456869.43029       0.011    0.005
2456869.43099       0.017    0.005
2456869.43171       0.017    0.005
2456869.43243       0.010    0.005
2456869.43313       0.008    0.005
2456869.43385       0.017    0.005
2456869.43456       0.004    0.005
2456869.43527       0.005    0.005
2456869.43598       0.006    0.005
2456869.43670       0.013    0.005
2456869.43740       0.009    0.005
2456869.43812      -0.002    0.005
2456869.43883      -0.016    0.005
2456869.43955       0.005    0.005
2456869.44026      -0.008    0.005
2456869.44097       0.022    0.005
2456869.44169       0.013    0.005
2456869.44239       0.014    0.005
2456869.44311       0.009    0.005
2456869.44382       0.012    0.005
2456869.44453       0.012    0.005
2456869.44524       0.018    0.005
2456869.44595      -0.002    0.005
2456869.44666       0.015    0.005
2456869.44737       0.014    0.005
2456869.44809       0.022    0.005
2456869.44880       0.014    0.005
2456869.44952       0.007    0.005
2456869.45023       0.009    0.005
2456869.45095       0.020    0.005
2456869.45165       0.019    0.005
2456869.45238       0.028    0.005
2456869.45309       0.020    0.005
2456869.45605       0.027    0.005
2456869.45677       0.013    0.005
2456869.45749       0.011    0.005
2456869.45820       0.024    0.005
2456869.45891       0.017    0.005
2456869.45962       0.018    0.005
2456869.46033       0.038    0.005
2456869.46104       0.017    0.005
2456869.46176       0.020    0.005
2456869.46247       0.015    0.005
2456869.46319       0.012    0.005
2456869.46391       0.014    0.005
2456869.46461       0.028    0.005
2456869.46532       0.007    0.005
2456869.46604       0.026    0.005
2456869.46676       0.018    0.005
2456869.46746      -0.005    0.005
2456869.46959       0.011    0.005
2456869.47031       0.018    0.005
2456869.47103       0.010    0.005
2456869.47173       0.015    0.005
2456869.47245       0.033    0.005
2456869.47316       0.028    0.005
2456869.47386       0.028    0.005
2456869.47458       0.011    0.005
2456869.47529       0.007    0.005
2456869.47600       0.010    0.005
2456869.47671       0.008    0.005
2456869.47743       0.011    0.005
2456869.47815       0.018    0.005
2456869.47885       0.005    0.005
2456869.47957      -0.006    0.005
2456869.48027       0.003    0.005
2456869.48099      -0.004    0.005
2456869.48170      -0.006    0.005
2456869.48242       0.007    0.005
2456869.48316       0.014    0.005
2456869.48392       0.013    0.005
2456869.48464       0.000    0.005
2456869.48534      -0.016    0.005
2456869.48606       0.000    0.005
2456869.48677       0.018    0.005
2456869.48747       0.014    0.005
2456869.48819       0.009    0.005
2456869.48890      -0.010    0.005
2456869.48962      -0.009    0.005
2456869.49032      -0.009    0.005
2456869.49103       0.001    0.005
2456869.49174       0.015    0.005
2456869.49245      -0.003    0.005
2456869.49317      -0.003    0.005
2456869.49387      -0.002    0.005
2456869.49459      -0.010    0.005
2456869.49530       0.007    0.005
2456869.49603       0.005    0.005
2456869.49680      -0.008    0.005
2456869.49751      -0.004    0.005
2456869.49823       0.000    0.005
2456869.49893      -0.002    0.005
2456869.49964      -0.009    0.005
2456869.50036      -0.015    0.005
2456869.50107      -0.002    0.005
2456869.50186      -0.004    0.005
2456869.50287      -0.014    0.005
2456869.50367      -0.023    0.005
2456869.50437      -0.026    0.005
2456869.50509      -0.019    0.005
2456869.50580      -0.019    0.005
2456869.50650      -0.021    0.005
2456869.50722      -0.028    0.005
2456869.50793      -0.014    0.005
2456869.50864      -0.027    0.005
2456869.50935      -0.026    0.005
2456869.51005      -0.033    0.005
2456869.51077      -0.038    0.005
2456869.51148      -0.040    0.005
2456869.51218      -0.032    0.005
2456869.51289      -0.046    0.005
2456869.51361      -0.040    0.005
2456869.51431      -0.042    0.005
2456869.51503      -0.044    0.005
2456869.51574      -0.049    0.005
2456869.51646      -0.031    0.005
2456869.51717      -0.047    0.005
2456869.51788      -0.039    0.005
2456869.51860      -0.036    0.005
2456869.51930      -0.033    0.005
2456869.52002      -0.041    0.005

Observador: Francisco José Fernández Gómez
FotoDif 3.93
