JD V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 C1-K1 s5 C1-K2 s6 C1-K3 s7 C2-K1 s8 C2-K2 s9 C2-K3 s10 C3-K1 s11 C3-K2 s12 C3-K3 s13 C4-K1 s14 C4-K2 s15 C4-K3 s16 C5-K1 s17 C5-K2 s18 C5-K3 s19 C6-K1 s20 C6-K2 s21 C6-K3 s22 C7-K1 s23 C7-K2 s24 C7-K3 s25 C8-K1 s26 C8-K2 s27 C8-K3 s28 C9-K1 s29 C9-K2 s30 C9-K3 s31 C10-K1 s32 C10-K2 s33 C10-K3 s34 C11-K1 s35 C11-K2 s36 C11-K3 s37 C12-K1 s38 C12-K2 s39 C12-K3 s40 K1-K2 s41 K1-K3 s42 K2-K3 s43
Aperture: 7, Filter: LNIR, JD: geocentric
2457588.47579 -0.21016 0.00141 -0.13881 0.00194 -0.83176 0.00303 -0.13140 0.00190 0.51662 0.00253 -0.17632 0.00343 0.52404 0.00250 -0.62373 0.00168 -1.31668 0.00287 -0.61631 0.00164 -0.14137 0.00191 -0.83432 0.00301 -0.13395 0.00187 0.26915 0.00232 -0.42380 0.00328 0.27657 0.00229 0.17312 0.00225 -0.51983 0.00323 0.18054 0.00222 0.16457 0.00230 -0.52838 0.00327 0.17198 0.00227 0.12919 0.00215 -0.56375 0.00316 0.13661 0.00212 0.66511 0.00313 -0.02784 0.00390 0.67252 0.00311 1.16570 0.00418 0.47276 0.00478 1.17312 0.00416 -0.11953 0.00199 -0.81247 0.00306 -0.11211 0.00196 0.12583 0.00214 -0.56712 0.00316 0.13325 0.00211 -0.38781 0.00181 -1.08075 0.00294 -0.38039 0.00177 -0.69295 0.00308 0.00742 0.00199 0.70036 0.00306
2457588.47504 -0.21069 0.00136 -0.13772 0.00189 -0.82413 0.00294 -0.13597 0.00187 0.51486 0.00244 -0.17155 0.00332 0.51661 0.00243 -0.62212 0.00166 -1.30853 0.00279 -0.62037 0.00164 -0.13637 0.00188 -0.82277 0.00293 -0.13461 0.00187 0.26876 0.00228 -0.41764 0.00320 0.27052 0.00226 0.17335 0.00223 -0.51305 0.00317 0.17511 0.00222 0.16659 0.00229 -0.51981 0.00320 0.16835 0.00227 0.13063 0.00209 -0.55578 0.00307 0.13238 0.00208 0.67267 0.00309 -0.01373 0.00382 0.67443 0.00308 1.16019 0.00425 0.47378 0.00480 1.16195 0.00424 -0.12206 0.00192 -0.80847 0.00296 -0.12031 0.00190 0.13030 0.00213 -0.55610 0.00310 0.13206 0.00211 -0.38466 0.00178 -1.07107 0.00287 -0.38291 0.00176 -0.68640 0.00301 0.00176 0.00199 0.68816 0.00300
2457588.47429 -0.21221 0.00138 -0.10940 0.00216 -0.83760 0.00302 -0.13185 0.00186 0.54347 0.00268 -0.18473 0.00341 0.52103 0.00244 -0.58965 0.00206 -1.31785 0.00295 -0.61209 0.00175 -0.10725 0.00213 -0.83545 0.00300 -0.12969 0.00183 0.29741 0.00247 -0.43079 0.00325 0.27496 0.00222 0.20307 0.00240 -0.52513 0.00320 0.18063 0.00214 0.19386 0.00248 -0.53434 0.00326 0.17142 0.00223 0.16215 0.00234 -0.56605 0.00315 0.13971 0.00207 0.69873 0.00325 -0.02947 0.00387 0.67629 0.00306 1.20129 0.00435 0.47309 0.00484 1.17884 0.00421 -0.08842 0.00217 -0.81662 0.00303 -0.11087 0.00188 0.15845 0.00234 -0.56975 0.00315 0.13601 0.00207 -0.35895 0.00204 -1.08715 0.00294 -0.38139 0.00172 -0.72820 0.00324 -0.02244 0.00220 0.70576 0.00305
2457588.47353 -0.21148 0.00136 -0.13827 0.00188 -0.83694 0.00291 -0.13345 0.00185 0.51434 0.00251 -0.18433 0.00335 0.51916 0.00249 -0.62157 0.00165 -1.32024 0.00277 -0.61675 0.00162 -0.13626 0.00190 -0.83493 0.00292 -0.13144 0.00187 0.26623 0.00225 -0.43243 0.00316 0.27106 0.00223 0.17172 0.00218 -0.52695 0.00311 0.17654 0.00216 0.16787 0.00226 -0.53079 0.00317 0.17270 0.00224 0.13081 0.00209 -0.56786 0.00305 0.13563 0.00206 0.66787 0.00316 -0.03079 0.00386 0.67270 0.00315 1.17420 0.00432 0.47554 0.00485 1.17903 0.00430 -0.11852 0.00193 -0.81719 0.00294 -0.11370 0.00190 0.12830 0.00209 -0.57037 0.00305 0.13312 0.00207 -0.38490 0.00177 -1.08357 0.00283 -0.38008 0.00173 -0.69867 0.00298 0.00482 0.00196 0.70349 0.00296
2457588.47278 -0.21246 0.00136 -0.13954 0.00189 -0.83959 0.00293 -0.13614 0.00188 0.51464 0.00250 -0.18541 0.00336 0.51803 0.00249 -0.62588 0.00165 -1.32594 0.00279 -0.62249 0.00163 -0.13529 0.00187 -0.83534 0.00293 -0.13189 0.00186 0.27117 0.00222 -0.42889 0.00316 0.27456 0.00221 0.17350 0.00222 -0.52655 0.00316 0.17690 0.00221 0.16636 0.00228 -0.53369 0.00320 0.16976 0.00227 0.13274 0.00211 -0.56731 0.00308 0.13614 0.00210 0.67077 0.00304 -0.02929 0.00378 0.67416 0.00304 1.17016 0.00404 0.47010 0.00463 1.17355 0.00404 -0.11891 0.00192 -0.81897 0.00295 -0.11552 0.00191 0.12819 0.00214 -0.57187 0.00310 0.13158 0.00213 -0.38648 0.00177 -1.08654 0.00286 -0.38309 0.00176 -0.70006 0.00300 0.00339 0.00197 0.70345 0.00299
2457588.47203 -0.21401 0.00135 -0.14068 0.00188 -0.84133 0.00290 -0.13622 0.00188 0.51676 0.00249 -0.18389 0.00333 0.52122 0.00249 -0.62120 0.00165 -1.32185 0.00276 -0.61674 0.00165 -0.13417 0.00188 -0.83482 0.00290 -0.12971 0.00188 0.26895 0.00224 -0.43170 0.00314 0.27342 0.00224 0.17367 0.00219 -0.52698 0.00311 0.17813 0.00220 0.16873 0.00226 -0.53192 0.00316 0.17320 0.00226 0.13302 0.00214 -0.56763 0.00307 0.13748 0.00214 0.66919 0.00309 -0.03146 0.00380 0.67365 0.00309 1.16287 0.00421 0.46223 0.00475 1.16734 0.00421 -0.12159 0.00192 -0.82224 0.00292 -0.11712 0.00192 0.12908 0.00214 -0.57157 0.00307 0.13355 0.00214 -0.38750 0.00177 -1.08814 0.00283 -0.38303 0.00177 -0.70065 0.00297 0.00446 0.00199 0.70511 0.00297
2457588.47127 -0.21214 0.00139 -0.13626 0.00193 -0.83198 0.00297 -0.13170 0.00190 0.52272 0.00257 -0.17300 0.00342 0.52728 0.00254 -0.62200 0.00168 -1.31772 0.00282 -0.61744 0.00164 -0.13273 0.00191 -0.82845 0.00296 -0.12816 0.00187 0.27083 0.00226 -0.42489 0.00320 0.27540 0.00223 0.17393 0.00222 -0.52179 0.00317 0.17850 0.00219 0.16752 0.00225 -0.52820 0.00319 0.17208 0.00222 0.13698 0.00211 -0.55874 0.00309 0.14154 0.00208 0.67417 0.00321 -0.02156 0.00392 0.67873 0.00318 1.17147 0.00429 0.47575 0.00485 1.17603 0.00427 -0.11985 0.00197 -0.81557 0.00300 -0.11529 0.00193 0.13331 0.00216 -0.56241 0.00312 0.13787 0.00212 -0.38103 0.00180 -1.07675 0.00289 -0.37647 0.00176 -0.69572 0.00304 0.00456 0.00200 0.70029 0.00302
2457588.47052 -0.21061 0.00139 -0.13545 0.00191 -0.83584 0.00296 -0.13314 0.00188 0.52034 0.00252 -0.18005 0.00339 0.52265 0.00250 -0.61939 0.00165 -1.31978 0.00280 -0.61708 0.00162 -0.13719 0.00188 -0.83759 0.00294 -0.13488 0.00185 0.27220 0.00223 -0.42819 0.00318 0.27451 0.00220 0.17366 0.00221 -0.52674 0.00317 0.17597 0.00219 0.17011 0.00229 -0.53029 0.00322 0.17242 0.00227 0.13256 0.00210 -0.56784 0.00309 0.13487 0.00208 0.67360 0.00316 -0.02679 0.00389 0.67591 0.00314 1.17108 0.00428 0.47069 0.00484 1.17339 0.00427 -0.11592 0.00193 -0.81632 0.00298 -0.11361 0.00191 0.12885 0.00211 -0.57155 0.00310 0.13116 0.00209 -0.38474 0.00177 -1.08513 0.00287 -0.38243 0.00174 -0.70040 0.00302 0.00231 0.00197 0.70271 0.00300
2457588.46902 -0.21064 0.00134 -0.13852 0.00188 -0.83057 0.00281 -0.13208 0.00184 0.51167 0.00246 -0.18038 0.00323 0.51811 0.00243 -0.62543 0.00165 -1.31748 0.00267 -0.61900 0.00161 -0.13761 0.00188 -0.82966 0.00281 -0.13117 0.00184 0.27178 0.00222 -0.42027 0.00305 0.27822 0.00219 0.16952 0.00223 -0.52253 0.00306 0.17596 0.00219 0.16558 0.00226 -0.52647 0.00308 0.17202 0.00223 0.13135 0.00212 -0.56070 0.00298 0.13779 0.00208 0.66467 0.00312 -0.02738 0.00376 0.67111 0.00309 1.16634 0.00427 0.47429 0.00475 1.17278 0.00425 -0.11839 0.00192 -0.81044 0.00284 -0.11195 0.00189 0.12768 0.00209 -0.56438 0.00296 0.13411 0.00205 -0.38365 0.00180 -1.07570 0.00276 -0.37721 0.00176 -0.69205 0.00290 0.00644 0.00196 0.69849 0.00287
