JD V-C s1
Aperture: 6, Filter: Clear, JD: geocentric
2457565.4786921 0.09684 0.00146
2457565.4770255 0.09658 0.00145
2457565.4754167 0.09485 0.00145
2457565.4737616 0.09672 0.00146
2457565.4721296 0.09995 0.00140
2457565.4704167 0.09812 0.00144
2457565.4686574 0.09578 0.00146
2457565.4654398 0.10108 0.00146
2457565.4639005 0.09644 0.00141
2457565.4623495 0.09903 0.00141
2457565.4608102 0.09250 0.00138
2457565.4592593 0.09530 0.00138
2457565.4577083 0.09961 0.00138
2457565.4561690 0.08999 0.00134
2457565.4546181 0.09891 0.00136
2457565.4530671 0.09358 0.00134
2457565.4515278 0.09311 0.00134
2457565.4499769 0.09122 0.00139
2457565.4484259 0.09096 0.00129
2457565.4468866 0.08493 0.00126
2457565.4453356 0.08500 0.00125
2457565.4437847 0.08708 0.00124
2457565.4422454 0.08373 0.00124
2457565.4406944 0.08188 0.00125
2457565.4391551 0.08613 0.00124
2457565.4376042 0.08521 0.00143
2457565.4360532 0.08483 0.00129
2457565.4329630 0.08846 0.00122
2457565.4314236 0.08565 0.00122
2457565.4298843 0.08733 0.00148
2457565.4283333 0.08645 0.00124
2457565.4267940 0.08329 0.00122
2457565.4252431 0.08491 0.00122
2457565.4221528 0.08608 0.00123
2457565.4206019 0.08259 0.00122
2457565.4190625 0.08785 0.00125
2457565.4175116 0.08417 0.00126
2457565.4159606 0.08650 0.00132
2457565.4144213 0.08907 0.00135
2457565.4128588 0.08456 0.00174
2457565.4095370 0.08383 0.00145
2457565.4078704 0.08543 0.00133
2457565.4061921 0.08639 0.00136
2457565.4820602 0.09924 0.00147
2457565.4854861 0.10019 0.00152
2457565.4871759 0.10037 0.00151
2457565.4888889 0.10017 0.00154
2457565.4905903 0.10350 0.00150
2457565.4922685 0.10261 0.00150
2457565.4939583 0.10159 0.00156
2457565.4957292 0.10257 0.00153
2457565.4974421 0.09920 0.00150
2457565.4991319 0.09953 0.00152
2457565.5008218 0.09838 0.00149
2457565.5025000 0.09860 0.00151
2457565.5042130 0.10239 0.00151
2457565.5059028 0.09565 0.00147
2457565.5075926 0.09734 0.00151
2457565.5109838 0.09936 0.00157
2457565.5126620 0.09691 0.00157
2457565.5160301 0.09360 0.00155
2457565.5176968 0.09524 0.00156
2457565.5193981 0.09746 0.00160
2457565.5210764 0.09400 0.00186
2457565.5227662 0.09396 0.00163
2457565.5244444 0.09228 0.00163
2457565.5261343 0.08947 0.00155
2457565.5278588 0.08463 0.00178
2457565.5295486 0.08785 0.00170
2457565.5313079 0.08264 0.00182
2457565.5330093 0.08408 0.00168
2457565.5346644 0.08257 0.00171
2457565.5363426 0.08339 0.00170
2457565.5380093 0.08311 0.00171
2457565.5396759 0.08661 0.00168
2457565.5413542 0.08182 0.00172
2457565.5430440 0.08232 0.00169
2457565.5447801 0.08100 0.00159
2457565.5464699 0.08495 0.00163
2457565.5481481 0.08169 0.00161
2457565.5498380 0.07957 0.00159
2457565.5515162 0.08030 0.00164
2457565.5532060 0.08265 0.00168
2457565.5548958 0.08330 0.00163
2457565.5566088 0.08335 0.00165
