JD V-C s1 V-K1 s2 C1-K1 s3 C2-K1 s4 C3-K1 s5
Aperture: 10, JD: geocentric
2457918.3904522 -0.54466 0.00462 -0.86292 0.00750 -0.19744 0.00891 -0.50561 0.00812 -0.22414 0.00888
2457918.3912178 -0.54191 0.00410 -0.85783 0.00705 -0.18861 0.00829 -0.50754 0.00762 -0.22261 0.00821
2457918.3919834 -0.54160 0.00322 -0.87469 0.00527 -0.20555 0.00628 -0.53217 0.00560 -0.23019 0.00615
2457918.3927489 -0.54688 0.00318 -0.85981 0.00523 -0.18664 0.00608 -0.51211 0.00558 -0.20865 0.00609
2457918.3935215 -0.54672 0.00300 -0.87251 0.00512 -0.20616 0.00595 -0.52469 0.00543 -0.21536 0.00594
2457918.3942873 -0.54690 0.00342 -0.86912 0.00563 -0.19354 0.00665 -0.52076 0.00602 -0.22116 0.00656
2457918.3950528 -0.54043 0.00355 -0.87345 0.00612 -0.21369 0.00705 -0.53106 0.00648 -0.22343 0.00702
2457918.3958185 -0.54119 0.00314 -0.86698 0.00529 -0.20226 0.00614 -0.51391 0.00568 -0.23333 0.00609
2457918.3965841 -0.54498 0.00344 -0.86493 0.00569 -0.19474 0.00671 -0.51498 0.00608 -0.22010 0.00665
2457918.3973495 -0.53688 0.00345 -0.85684 0.00574 -0.19144 0.00670 -0.52635 0.00614 -0.20830 0.00671
2457918.3981185 -0.54315 0.00374 -0.85491 0.00612 -0.19097 0.00712 -0.50392 0.00655 -0.21136 0.00705
2457918.3988867 -0.53419 0.00326 -0.84415 0.00535 -0.18626 0.00628 -0.50704 0.00571 -0.20598 0.00621
2457918.3996523 -0.53359 0.00333 -0.83988 0.00545 -0.18469 0.00639 -0.50479 0.00583 -0.19834 0.00630
2457918.4004178 -0.52920 0.00330 -0.85422 0.00545 -0.20490 0.00633 -0.52803 0.00581 -0.20958 0.00635
2457918.4011833 -0.53183 0.00362 -0.85593 0.00604 -0.20041 0.00699 -0.52360 0.00644 -0.21686 0.00698
2457918.4019485 -0.52762 0.00352 -0.84207 0.00567 -0.18872 0.00665 -0.50730 0.00603 -0.21795 0.00658
