FOTOMETRÍA RELATIVA

HAT-P-23B 
FECHA J HELIO         MAG      +/-    RSR  AIRMS  TRANS  FWHM"   FONDO   NUM
-----------------------------------------  -----  -----  -----  ------  --
2457947.49201    -0.00326  0.00685    158  1.167   1.02   4.69    0.05  0001
2457947.49425    -0.00225  0.00682    159  1.162   1.03   4.47    0.08  0002
2457947.49650     0.00171  0.00683    158  1.157   1.03   4.52    0.08  0003
2457947.49874    -0.00006  0.00684    158  1.152   1.02   4.83    0.08  0004
2457947.50096    -0.00002  0.00683    158  1.147   1.03   4.91    0.08  0005
2457947.50319     0.00073  0.00681    159  1.143   1.03   4.98    0.10  0006
2457947.50544     0.00468  0.00680    159  1.138   1.04   4.77    0.11  0007
2457947.50767     0.00189  0.00682    159  1.134   1.03   4.55    0.10  0008
2457947.50991     0.00591  0.00684    158  1.130   1.03   4.36    0.09  0009
2457947.51212     0.00390  0.00685    158  1.127   1.02   4.42    0.07  0010
2457947.51437     0.01257  0.00692    156  1.123   1.01   5.13    0.05  0011
2457947.51663     0.01181  0.00692    156  1.120   1.01   4.80    0.04  0012
2457947.51886     0.00844  0.00692    156  1.117   1.01   4.56    0.03  0013
2457947.52110     0.01340  0.00693    156  1.114   1.01   4.29    0.03  0014
2457947.52334     0.01085  0.00695    156  1.111   1.00   4.37    0.01  0015
2457947.52559     0.00996  0.00693    156  1.109   1.01   4.59    0.02  0016
2457947.52782     0.01580  0.00694    156  1.107   1.01   4.25    0.03  0017
2457947.53007     0.01703  0.00695    156  1.104   1.01   4.78    0.02  0018
2457947.53451     0.01392  0.00694    156  1.101   1.01   4.28    0.02  0019
2457947.53676     0.01448  0.00695    156  1.099   1.00   4.31    0.02  0020
2457947.53900     0.01784  0.00695    156  1.098   1.01   4.56    0.02  0021
2457947.54125     0.01252  0.00694    156  1.096   1.00   4.33    0.01  0022
2457947.54342     0.01642  0.00695    156  1.095   1.01   4.39    0.02  0023
2457947.54567     0.01253  0.00695    156  1.094   1.00   4.77    0.01  0024
2457947.54790     0.01807  0.00698    155  1.094   1.00   4.26    0.00  0025
2457947.55014     0.01395  0.00694    156  1.093   1.01   3.93    0.02  0026
2457947.55235     0.01479  0.00693    156  1.093   1.01   4.05    0.03  0027
2457947.55458     0.01592  0.00694    156  1.093   1.01   4.29    0.02  0028
2457947.55684     0.01231  0.00697    155  1.093   1.00   4.28   -0.01  0029
2457947.55907     0.01870  0.00701    154  1.093   0.99   4.60   -0.02  0030
2457947.56132     0.01637  0.00701    154  1.093   0.99   4.11   -0.03  0031
2457947.56354     0.01593  0.00702    154  1.093   0.99   4.10   -0.04  0032
2457947.56576     0.01443  0.00703    154  1.094   0.98   4.09   -0.06  0033
2457947.56801     0.01874  0.00704    154  1.095   0.98   4.13   -0.07  0034
2457947.57024     0.02028  0.00705    154  1.096   0.98   4.63   -0.07  0035
2457947.57246     0.01392  0.00703    154  1.097   0.98   4.53   -0.07  0036
2457947.57468     0.01470  0.00703    154  1.098   0.98   4.40   -0.07  0037
2457947.57693     0.01594  0.00704    154  1.100   0.98   4.40   -0.07  0038
2457947.57916     0.01697  0.00703    154  1.102   0.98   4.44   -0.07  0039
2457947.58140     0.01253  0.00702    154  1.103   0.98   4.59   -0.05  0040
2457947.58362     0.01364  0.00701    154  1.105   0.99   4.98   -0.04  0041
2457947.58585     0.01665  0.00703    154  1.108   0.99   5.14   -0.04  0042
2457947.58809     0.00900  0.00700    155  1.110   0.99   5.05   -0.03  0043
2457947.59032     0.01029  0.00705    153  1.113   0.97   5.28   -0.04  0044
2457947.59478     0.00509  0.00698    155  1.118   0.99   4.62   -0.03  0045
2457947.59701     0.00274  0.00698    155  1.122   0.98   5.01   -0.04  0046
2457947.59926    -0.00035  0.00698    155  1.125   0.98   5.13   -0.04  0047
2457947.60152     0.00382  0.00699    155  1.129   0.98   4.85   -0.04  0048
2457947.60375    -0.00317  0.00695    156  1.132   0.99   4.96   -0.04  0049
2457947.60596    -0.00067  0.00697    155  1.136   0.99   5.08   -0.05  0050
2457947.60819    -0.00116  0.00696    155  1.140   0.99   4.89   -0.05  0051
2457947.61043     0.00153  0.00697    155  1.145   0.99   5.00   -0.05  0052
2457947.61269     0.00124  0.00700    155  1.150   0.98   5.60   -0.07  0053

Observador: David Molina (Observatorio Anunaki)
FotoDif 3.93
