JD V-C s1 AIRMASS ALTITUDE
Aperture: 5, Filter: Green, JD: geocentric
2458710.3744560 0.59941 0.00213 1.2027 56.19
2458710.3759722 0.60145 0.00210 1.1990 56.45
2458710.3774306 0.59960 0.00208 1.1956 56.71
2458710.3788773 0.59687 0.00210 1.1922 56.95
2458710.3803704 0.60310 0.00211 1.1889 57.20
2458710.3818519 0.60304 0.00211 1.1857 57.44
2458710.3833449 0.60365 0.00208 1.1825 57.68
2458710.3848032 0.59933 0.00207 1.1795 57.91
2458710.3862500 0.60002 0.00210 1.1767 58.14
2458710.3877431 0.60393 0.00210 1.1738 58.36
2458710.3892361 0.60228 0.00210 1.1710 58.59
2458710.3907292 0.60106 0.00213 1.1684 58.80
2458710.3921875 0.59646 0.00209 1.1658 59.01
2458710.3936806 0.60390 0.00209 1.1633 59.22
2458710.3951273 0.60621 0.00207 1.1610 59.41
2458710.3966204 0.60476 0.00207 1.1586 59.61
2458710.3980787 0.60179 0.00211 1.1564 59.79
2458710.3995255 0.60378 0.00208 1.1544 59.97
2458710.4009838 0.60160 0.00213 1.1523 60.15
2458710.4025000 0.60151 0.00207 1.1503 60.33
2458710.4039583 0.60199 0.00207 1.1484 60.49
2458710.4054051 0.60800 0.00209 1.1467 60.65
2458710.4068981 0.60418 0.00211 1.1449 60.80
2458710.4083912 0.60675 0.00212 1.1433 60.95
2458710.4098843 0.60293 0.00213 1.1417 61.10
2458710.4113773 0.60916 0.00205 1.1402 61.23
2458710.4128704 0.60868 0.00213 1.1388 61.36
2458710.4143634 0.60950 0.00211 1.1374 61.49
2458710.4158102 0.61243 0.00210 1.1362 61.60
2458710.4173032 0.61708 0.00208 1.1350 61.71
2458710.4187616 0.61442 0.00208 1.1340 61.81
2458710.4202431 0.62224 0.00211 1.1330 61.91
2458710.4217361 0.61456 0.00209 1.1320 62.00
2458710.4232176 0.61568 0.00208 1.1312 62.08
2458710.4247106 0.61932 0.00215 1.1304 62.16
2458710.4262037 0.61953 0.00210 1.1297 62.22
2458710.4276968 0.61984 0.00210 1.1290 62.29
2458710.4291551 0.61657 0.00216 1.1285 62.34
2458710.4306134 0.62172 0.00216 1.1280 62.38
2458710.4320602 0.61707 0.00214 1.1276 62.42
2458710.4335185 0.62203 0.00210 1.1273 62.45
2458710.4350116 0.62305 0.00216 1.1271 62.48
2458710.4365046 0.61860 0.00218 1.1269 62.49
2458710.4379514 0.61384 0.00228 1.1268 62.50
2458710.4394097 0.62609 0.00241 1.1268 62.51
2458710.4408565 0.61185 0.00228 1.1268 62.50
2458710.4423148 0.62343 0.00242 1.1270 62.49
2458710.4438310 0.61583 0.00239 1.1272 62.47
2458710.4453241 0.62279 0.00237 1.1274 62.44
2458710.4467824 0.62203 0.00223 1.1278 62.41
2458710.4482407 0.61979 0.00229 1.1282 62.37
2458710.4496875 0.61790 0.00226 1.1287 62.32
2458710.4511806 0.61602 0.00227 1.1293 62.26
2458710.4526736 0.62004 0.00223 1.1300 62.20
2458710.4541667 0.61470 0.00249 1.1307 62.13
2458710.4556250 0.61428 0.00351 1.1315 62.05
2458710.4570718 0.61429 0.00479 1.1324 61.97
2458710.4585301 0.61837 0.00548 1.1333 61.88
2458710.4600231 0.61329 0.00513 1.1343 61.78
2458710.4615162 0.61685 0.00461 1.1355 61.67
2458710.4718056 0.61729 0.00408 1.1454 60.76
2458710.4747801 0.61533 0.00627 1.1490 60.44
2458710.4762269 0.61325 0.00328 1.1509 60.27
2458710.4777199 0.62048 0.00271 1.1529 60.10
2458710.4791782 0.61575 0.00250 1.1550 59.92
2458710.4806713 0.61821 0.00312 1.1572 59.73
2458710.4821296 0.61374 0.00287 1.1594 59.55
2458710.4836111 0.61614 0.00324 1.1617 59.35
2458710.4850694 0.61814 0.00311 1.1641 59.15
2458710.4865278 0.62140 0.00306 1.1666 58.95
2458710.4880208 0.61941 0.00314 1.1692 58.73
2458710.4894676 0.61747 0.00307 1.1718 58.52
2458710.4909838 0.61624 0.00326 1.1747 58.30
2458710.4924421 0.61095 0.00314 1.1775 58.07
2458710.4939005 0.61441 0.00325 1.1804 57.85
2458710.4953935 0.60971 0.00315 1.1835 57.61
2458710.4968403 0.60415 0.00301 1.1866 57.37
2458710.4983333 0.60103 0.00294 1.1899 57.13
2458710.4997917 0.61071 0.00292 1.1932 56.88
2458710.5012384 0.60842 0.00279 1.1965 56.64
2458710.5026968 0.60918 0.00242 1.2000 56.38
2458710.5041435 0.60733 0.00235 1.2035 56.13
2458710.5056019 0.60620 0.00229 1.2072 55.87
2458710.5070602 0.60824 0.00228 1.2110 55.61
2458710.5085532 0.60142 0.00238 1.2150 55.33
2458710.5100463 0.60160 0.00231 1.2190 55.06
2458710.5114931 0.60307 0.00234 1.2231 54.78
2458710.5129861 0.60619 0.00227 1.2274 54.50
2458710.5144444 0.60983 0.00245 1.2317 54.22
2458710.5158912 0.60765 0.00253 1.2361 53.94
2458710.5173843 0.60775 0.00240 1.2407 53.64
2458710.5188426 0.59923 0.00248 1.2453 53.35
