JD V-C s1 
Aperture: 6, Filter: Luminance, JD: geocentric
2458334.38453 -0.5988 0.0160 
2458334.38728 -0.6027 0.0059 
2458334.38797 -0.5963 0.0056 
2458334.38866 -0.6119 0.0065 
2458334.39073 -0.5987 0.0059 
2458334.39142 -0.5885 0.0055 
2458334.39211 -0.5952 0.0056 
2458334.39280 -0.6031 0.0056 
2458334.39348 -0.6003 0.0055 
2458334.39418 -0.5992 0.0054 
2458334.39556 -0.6042 0.0054 
2458334.39624 -0.5931 0.0078 
2458334.40314 -0.5832 0.0062 
2458334.40727 99.9999 9.9999 
2458334.40796 99.9999 9.9999 
2458334.40934 -0.6159 0.0078 
2458334.41072 -0.6066 0.0056 
2458334.41140 -0.5893 0.0053 
2458334.41210 -0.5878 0.0054 
2458334.41278 -0.5948 0.0053 
2458334.41485 -0.5977 0.0053 
2458334.41623 -0.5901 0.0054 
2458334.41691 -0.5852 0.0052 
2458334.41760 -0.5796 0.0053 
2458334.41829 -0.5766 0.0053 
2458334.41898 -0.5767 0.0054 
2458334.41966 -0.5809 0.0054 
2458334.42036 -0.5792 0.0055 
2458334.42104 -0.5877 0.0055 
2458334.42174 -0.5804 0.0054 
2458334.42242 -0.5629 0.0055 
2458334.42311 -0.5794 0.0056 
2458334.42380 -0.5849 0.0057 
2458334.42449 -0.5752 0.0060 
2458334.42517 -0.5801 0.0055 
2458334.42587 99.9999 9.9999 
2458334.42655 -0.5617 0.0056 
2458334.42724 -0.5873 0.0056 
2458334.42794 -0.5742 0.0055 
2458334.42862 -0.5819 0.0055 
2458334.42932 -0.5669 0.0055 
2458334.43000 -0.5804 0.0055 
2458334.43069 -0.5646 0.0055 
2458334.43138 -0.5745 0.0055 
2458334.43207 -0.5775 0.0055 
2458334.43276 -0.5758 0.0058 
2458334.43345 -0.5696 0.0063 
2458334.43413 -0.5708 0.0061 
2458334.43483 -0.5656 0.0060 
2458334.43551 -0.5737 0.0058 
2458334.43620 -0.5660 0.0058 
2458334.43689 -0.5809 0.0057 
2458334.43758 -0.5752 0.0056 
2458334.43826 99.9999 9.9999 
2458334.43896 -0.5634 0.0062 
2458334.43964 99.9999 9.9999 
2458334.44034 -0.5715 0.0059 
2458334.44102 -0.5634 0.0058 
2458334.44171 -0.5632 0.0056 
2458334.44240 -0.5676 0.0056 
2458334.44309 -0.5653 0.0060 
2458334.44377 -0.5660 0.0060 
2458334.44447 -0.5547 0.0057 
2458334.44515 -0.5692 0.0056 
2458334.44585 -0.5699 0.0058 
2458334.44653 -0.5568 0.0063 
2458334.44722 -0.5683 0.0060 
2458334.44790 99.9999 9.9999 
2458334.44860 -0.5670 0.0057 
2458334.44928 -0.5662 0.0058 
2458334.44998 -0.5552 0.0064 
2458334.45067 -0.5665 0.0062 
2458334.45135 -0.5515 0.0060 
2458334.45205 99.9999 9.9999 
2458334.45273 -0.5692 0.0057 
2458334.45343 -0.5761 0.0062 
2458334.45411 -0.5741 0.0063 
2458334.45479 -0.5717 0.0060 
2458334.45549 -0.5720 0.0058 
2458334.45618 -0.5676 0.0061 
2458334.45686 -0.5640 0.0064 
2458334.45756 -0.5680 0.0063 
2458334.45824 -0.5604 0.0061 
2458334.45892 -0.5651 0.0059 
2458334.45962 -0.5763 0.0060 
2458334.46030 -0.5588 0.0061 
2458334.46099 -0.5781 0.0060 
2458334.46168 99.9999 9.9999 
2458334.46237 -0.5619 0.0061 
2458334.46307 -0.5655 0.0061 
2458334.46375 -0.5648 0.0060 
2458334.46444 -0.5642 0.0059 
2458334.46513 -0.5752 0.0063 
2458334.46582 -0.5759 0.0061 
2458334.46650 -0.5715 0.0059 
2458334.46720 -0.5628 0.0062 
2458334.46788 -0.5799 0.0063 
2458334.46858 -0.5645 0.0061 
2458334.46926 -0.5883 0.0063 
2458334.46995 -0.5674 0.0063 
2458334.47064 -0.5662 0.0062 
2458334.47133 -0.5719 0.0061 
2458334.47201 -0.5632 0.0063 
2458334.47271 -0.5632 0.0061 
2458334.47340 -0.5703 0.0060 
2458334.47409 -0.5591 0.0064 
2458334.47478 -0.5645 0.0062 
2458334.47546 -0.5743 0.0059 
2458334.47616 -0.5695 0.0066 
2458334.47684 -0.5708 0.0062 
2458334.47754 -0.5648 0.0061 
2458334.47822 -0.5800 0.0063 
2458334.47891 -0.5596 0.0065 
2458334.47959 -0.5677 0.0064 
2458334.48029 -0.5642 0.0062 
2458334.48097 -0.5621 0.0063 
2458334.48167 -0.5637 0.0066 
2458334.48235 -0.5701 0.0064 
2458334.48304 -0.5689 0.0061 
2458334.48373 -0.5644 0.0063 
2458334.48442 99.9999 9.9999 
2458334.48510 -0.5763 0.0065 
2458334.48580 -0.5758 0.0065 
2458334.48648 -0.5621 0.0066 
2458334.48718 -0.5740 0.0066 
2458334.48855 -0.5726 0.0063 
2458334.48924 -0.5776 0.0064 
2458334.48993 -0.5741 0.0062 
2458334.49131 -0.5666 0.0064 
2458334.49268 -0.5745 0.0063 
2458334.49337 99.9999 9.9999 
2458334.49406 -0.5693 0.0063 
2458334.49474 -0.5781 0.0061 
2458334.49544 -0.5734 0.0065 
2458334.49750 -0.5792 0.0063 
2458334.49819 -0.5720 0.0067 
2458334.49888 -0.5752 0.0065 
2458334.49957 -0.5814 0.0064 
2458334.50025 -0.5772 0.0062 
2458334.50095 99.9999 9.9999 
2458334.50163 -0.5787 0.0064 
2458334.50233 -0.5764 0.0063 
2458334.50301 -0.5869 0.0062 
2458334.50370 -0.5801 0.0060 
2458334.50439 -0.5871 0.0061 
2458334.50508 -0.5920 0.0063 
2458334.50578 -0.5849 0.0061 
2458334.50715 -0.6039 0.0063 
2458334.50784 -0.5872 0.0063 
2458334.50853 -0.5950 0.0062 
2458334.50921 99.9999 9.9999 
2458334.50991 -0.5906 0.0064 
2458334.51059 99.9999 9.9999 
2458334.51129 -0.5985 0.0062 
2458334.51197 -0.5945 0.0063 
2458334.51266 -0.5912 0.0065 
2458334.51334 -0.5892 0.0064 
2458334.51404 -0.5861 0.0063 
2458334.51472 -0.6025 0.0064 
2458334.51542 99.9999 9.9999 
2458334.51610 -0.5918 0.0065 
2458334.51679 99.9999 9.9999 
2458334.51748 -0.5905 0.0064 
2458334.51817 99.9999 9.9999 
2458334.51885 -0.5833 0.0066 
2458334.51955 -0.5877 0.0066 
2458334.52023 -0.5956 0.0065 
2458334.52093 -0.5999 0.0066 
2458334.52230 -0.5911 0.0065 
2458334.52368 -0.5902 0.0064 
2458334.52438 -0.5902 0.0064 
2458334.52506 -0.5957 0.0065 
2458334.52575 99.9999 9.9999 
2458334.52643 -0.6079 0.0072 
2458334.52713 -0.5895 0.0068 
