FOTOMETRÍA RELATIVA

HAT 23 B 
FECHA J HELIO         MAG      +/-    RSR  AIRMS  TRANS  FWHM"   FONDO
-----------------------------------------  -----  -----  -----  ------
2458077.25848      -0.012    0.009    124  1.208   1.10   7.31    0.43
2458077.26100      -0.012    0.009    124  1.216   1.10   7.19    0.42
2458077.26224      -0.008    0.009    123  1.220   1.10   6.87    0.42
2458077.26351      -0.014    0.009    123  1.225   1.09   7.00    0.41
2458077.26478      -0.010    0.009    123  1.230   1.09   7.05    0.40
2458077.26605      -0.006    0.009    123  1.234   1.09   7.04    0.39
2458077.26730      -0.002    0.009    119  1.239   1.02   7.50    0.33
2458077.26850      -0.009    0.009    123  1.244   1.09   7.21    0.40
2458077.26975      -0.012    0.009    123  1.248   1.09   6.87    0.38
2458077.27101      -0.005    0.009    123  1.254   1.09   6.83    0.39
2458077.27226      -0.005    0.009    123  1.259   1.09   6.81    0.39
2458077.27351      -0.010    0.009    123  1.264   1.09   7.06    0.40
2458077.27477       0.012    0.009    117  1.269   1.01   7.05    0.32
2458077.27602      -0.011    0.009    123  1.275   1.09   6.55    0.39
2458077.27727      -0.005    0.009    123  1.280   1.09   7.02    0.37
2458077.27853      -0.010    0.009    123  1.286   1.09   7.06    0.37
2458077.27980      -0.010    0.009    123  1.292   1.09   6.90    0.35
2458077.28105      -0.008    0.009    123  1.298   1.09   6.94    0.35
2458077.28230      -0.011    0.009    123  1.304   1.08   6.91    0.35
2458077.28355      -0.011    0.009    122  1.310   1.07   6.65    0.34
2458077.28480      -0.012    0.009    122  1.316   1.07   6.62    0.34
2458077.28605       0.000    0.009    116  1.322   0.98   7.72    0.23
2458077.28731      -0.006    0.009    121  1.329   1.07   6.76    0.31
2458077.28856      -0.003    0.009    121  1.335   1.07   6.83    0.31
2458077.28982      -0.006    0.009    121  1.342   1.06   6.84    0.29
2458077.29108       0.002    0.009    121  1.349   1.07   6.88    0.28
2458077.29233       0.004    0.009    121  1.356   1.07   6.65    0.28
2458077.29358       0.001    0.009    121  1.363   1.07   6.66    0.28
2458077.29483       0.003    0.009    121  1.370   1.07   6.66    0.26
2458077.29609       0.012    0.009    120  1.378   1.06   6.70    0.24
2458077.29734       0.024    0.010    112  1.385   0.92   7.13    0.08
2458077.29859       0.003    0.009    121  1.393   1.06   6.60    0.24
2458077.29987       0.007    0.009    120  1.401   1.06   6.65    0.23
2458077.30112       0.029    0.010    109  1.409   0.88   8.17    0.01
2458077.30239       0.005    0.009    120  1.417   1.05   7.10    0.19
2458077.30365       0.025    0.010    111  1.426   0.91   7.20    0.02
2458077.30492       0.004    0.009    120  1.434   1.05   6.64    0.18
2458077.30617       0.004    0.009    119  1.443   1.04   6.65    0.16
2458077.30744       0.004    0.009    119  1.452   1.04   6.63    0.16
2458077.30869       0.006    0.009    119  1.461   1.04   6.61    0.15
2458077.30995       0.004    0.009    120  1.470   1.05   6.56    0.15
2458077.31120       0.004    0.009    119  1.480   1.04   6.61    0.15
2458077.31245       0.005    0.009    119  1.489   1.04   6.63    0.15
2458077.31371       0.002    0.009    119  1.499   1.04   6.37    0.14
2458077.31496       0.006    0.009    119  1.509   1.04   6.49    0.13
2458077.31621       0.013    0.009    119  1.519   1.04   6.45    0.13
2458077.31747       0.005    0.009    119  1.530   1.03   6.51    0.13
2458077.31872       0.005    0.009    119  1.540   1.03   6.59    0.12
2458077.31998       0.013    0.009    118  1.551   1.03   6.69    0.10
2458077.32123       0.011    0.009    118  1.562   1.02   6.50    0.07
2458077.32249       0.009    0.009    117  1.573   1.01   6.39    0.05
2458077.32374       0.008    0.009    118  1.585   1.01   6.76    0.06
