FOTOMETRÍA RELATIVA

HAT-P-23B 
FECHA J HELIO         MAG      +/-    RSR  AIRMS  TRANS
-----------------------------------------  -----  -----
2458676.41760     -0.0046   0.0085    128  1.461   1.10
2458676.41914      0.0007   0.0085    127  1.450   1.10
2458676.42071      0.0000   0.0085    128  1.439   1.10
2458676.42225     -0.0043   0.0085    127  1.429   1.10
2458676.42380      0.0001   0.0085    128  1.419   1.10
2458676.42535      0.0002   0.0085    128  1.409   1.10
2458676.42692     -0.0024   0.0084    128  1.399   1.12
2458676.42847     -0.0017   0.0084    128  1.390   1.12
2458676.43001     -0.0081   0.0084    129  1.381   1.11
2458676.43156     -0.0011   0.0084    128  1.372   1.11
2458676.43312      0.0002   0.0084    129  1.363   1.12
2458676.43467     -0.0045   0.0084    129  1.355   1.12
2458676.43621     -0.0015   0.0084    129  1.347   1.12
2458676.43776      0.0053   0.0084    128  1.338   1.11
2458676.43931      0.0021   0.0084    128  1.331   1.12
2458676.44085     -0.0019   0.0084    129  1.323   1.12
2458676.44243     -0.0020   0.0084    129  1.315   1.12
2458676.44398      0.0013   0.0084    129  1.308   1.12
2458676.44555     -0.0013   0.0084    129  1.300   1.12
2458676.44709      0.0047   0.0084    129  1.294   1.13
2458676.44864     -0.0003   0.0084    129  1.287   1.13
2458676.45019     -0.0006   0.0083    130  1.280   1.13
2458676.45173      0.0010   0.0084    129  1.273   1.12
2458676.45327      0.0037   0.0084    129  1.267   1.13
2458676.45483      0.0106   0.0084    129  1.261   1.13
2458676.45638      0.0102   0.0084    129  1.255   1.13
2458676.45793      0.0133   0.0084    129  1.249   1.13
2458676.45950      0.0165   0.0084    128  1.243   1.13
2458676.46104      0.0084   0.0084    129  1.237   1.13
2458676.46258      0.0175   0.0084    128  1.232   1.13
2458676.46412      0.0205   0.0084    128  1.227   1.14
2458676.46567      0.0183   0.0084    128  1.221   1.13
2458676.46721      0.0184   0.0084    129  1.216   1.13
2458676.46875      0.0250   0.0084    128  1.211   1.13
2458676.47030      0.0187   0.0084    129  1.207   1.13
2458676.47184      0.0178   0.0084    128  1.202   1.13
2458676.47337      0.0209   0.0084    128  1.197   1.13
2458676.47491      0.0249   0.0085    128  1.193   1.13
2458676.47646      0.0186   0.0084    128  1.189   1.13
2458676.47800      0.0205   0.0084    128  1.184   1.13
2458676.47954      0.0239   0.0084    128  1.180   1.13
2458676.48109      0.0229   0.0084    128  1.176   1.13
2458676.48263      0.0236   0.0084    128  1.173   1.13
2458676.48418      0.0251   0.0084    128  1.169   1.13
2458676.48573      0.0196   0.0084    129  1.165   1.13
2458676.48729      0.0253   0.0084    128  1.162   1.14
2458676.48885      0.0219   0.0084    128  1.158   1.13
2458676.49040      0.0233   0.0084    128  1.155   1.13
2458676.49195      0.0221   0.0084    128  1.152   1.13
2458676.49349      0.0214   0.0084    128  1.148   1.13
2458676.49503      0.0219   0.0084    128  1.145   1.13
2458676.49658      0.0226   0.0084    128  1.143   1.13
2458676.49813      0.0162   0.0084    128  1.140   1.13
2458676.49967      0.0093   0.0084    128  1.137   1.12
2458676.50122      0.0147   0.0085    128  1.134   1.11
2458676.50276      0.0099   0.0085    127  1.132   1.10
2458676.50432      0.0044   0.0085    127  1.129   1.08
2458676.50587     -0.0007   0.0086    126  1.127   1.07
2458676.50744      0.0015   0.0087    125  1.125   1.04
2458676.50897      0.0067   0.0088    123  1.123   1.02
2458676.51053      0.0032   0.0089    122  1.121   1.00
2458676.51208      0.0002   0.0089    121  1.119   0.98
2458676.51362      0.0043   0.0091    119  1.117   0.95
2458676.51519     -0.0040   0.0092    118  1.115   0.93
2458676.51674     -0.0022   0.0093    117  1.113   0.91
2458676.51828      0.0016   0.0095    114  1.112   0.88
2458676.51983     -0.0049   0.0096    113  1.110   0.85
2458676.52138      0.0000   0.0097    111  1.109   0.83
2458676.52292      0.0018   0.0098    110  1.107   0.81
2458676.52450     -0.0064   0.0099    109  1.106   0.79
2458676.52605     -0.0077   0.0101    107  1.105   0.77
2458676.52759     -0.0050   0.0102    106  1.104   0.75
2458676.52916     -0.0056   0.0102    106  1.103   0.75

Observador: Luis Tremosa
FotoDif 3.95
