JD V-C s1
Aperture: 9, Filter: LNIR, JD: geocentric
2457548.41516 0.47343 0.00219
2457548.41441 0.47476 0.00229
2457548.41290 0.47198 0.00195
2457548.41215 0.47498 0.00197
2457548.41139 0.47557 0.00199
2457548.41064 0.47693 0.00196
2457548.40989 0.47449 0.00203
2457548.40838 0.47716 0.00205
2457548.40762 0.47351 0.00199
2457548.40606 0.47905 0.00208
2457548.40520 0.47764 0.00213
2457548.40357 0.47521 0.00222
2457548.40282 0.47938 0.00213
2457548.41591 0.46685 0.00267
2457548.42043 99.99999 9.99999
2457548.42119 99.99999 9.99999
2457548.42269 0.46682 0.00251
2457548.42345 0.47397 0.00254
2457548.42420 0.46397 0.00263
2457548.42571 0.47571 0.00193
2457548.42646 0.46334 0.00180
2457548.42872 0.46185 0.00185
2457548.42947 0.46965 0.00175
2457548.43023 0.47046 0.00178
2457548.43098 0.47022 0.00204
2457548.43249 0.47043 0.00173
2457548.43399 0.46358 0.00180
2457548.43550 0.47070 0.00170
2457548.43625 0.46770 0.00170
2457548.43701 0.45883 0.00201
2457548.43776 0.45964 0.00343
2457548.43927 0.46586 0.00172
2457548.44002 0.46589 0.00170
2457548.44153 0.45881 0.00166
2457548.44228 0.45486 0.00179
2457548.44303 0.45901 0.00168
2457548.44379 0.45964 0.00175
2457548.44529 0.46392 0.00167
2457548.44605 0.46399 0.00165
2457548.44680 0.46087 0.00226
2457548.44906 0.45264 0.00177
2457548.44981 0.45379 0.00181
2457548.45132 0.45783 0.00167
2457548.45207 0.46042 0.00215
2457548.45358 0.46135 0.00165
2457548.45584 0.45448 0.00460
2457548.45735 0.46357 0.00219
2457548.45810 0.46386 0.00199
2457548.45885 0.45885 0.00203
2457548.45961 0.45187 0.00193
2457548.46036 0.45019 0.00191
2457548.46112 0.46138 0.00200
2457548.46187 0.46124 0.00162
2457548.46262 0.45757 0.00165
2457548.46338 0.46534 0.00162
2457548.46413 0.45652 0.00240
2457548.46488 0.46473 0.00176
2457548.46563 0.46887 0.00192
2457548.46639 0.45878 0.00167
2457548.46714 0.45829 0.00160
2457548.46789 0.46321 0.00160
2457548.46864 0.46666 0.00157
2457548.46940 0.46191 0.00167
2457548.47015 0.46546 0.00237
2457548.47090 0.46936 0.00172
2457548.47166 0.47347 0.00162
2457548.47241 0.47173 0.00161
2457548.47316 0.47481 0.00159
2457548.47392 0.46738 0.00153
2457548.47467 0.46591 0.00151
2457548.47542 0.47527 0.00161
2457548.47618 0.46577 0.00165
2457548.47768 0.47509 0.00157
2457548.47844 0.47379 0.00153
2457548.47919 0.47003 0.00156
2457548.47994 0.47311 0.00151
2457548.48070 0.47529 0.00153
2457548.48145 0.47933 0.00158
2457548.48220 0.47536 0.00152
2457548.48296 0.47917 0.00157
2457548.48371 0.47227 0.00155
2457548.48447 0.47130 0.00156
2457548.48522 0.47364 0.00147
2457548.48597 0.47503 0.00150
2457548.48673 0.47902 0.00151
2457548.48748 0.47258 0.00152
2457548.48823 0.47845 0.00151
2457548.48899 0.47633 0.00150
2457548.48974 0.47769 0.00149
2457548.49050 0.47502 0.00149
2457548.49125 0.47303 0.00149
2457548.49200 0.47838 0.00144
2457548.49276 0.47734 0.00146
2457548.49351 0.47947 0.00147
2457548.49426 0.47593 0.00146
2457548.49502 0.47931 0.00147
2457548.49577 0.47283 0.00179
2457548.49728 0.47604 0.00144
2457548.49804 0.47355 0.00149
2457548.49879 0.47323 0.00147
2457548.49955 0.47340 0.00149
2457548.50030 0.47868 0.00147
2457548.50105 0.46892 0.00144
2457548.50181 0.47293 0.00146
2457548.50256 0.47306 0.00145
2457548.50331 0.47694 0.00143
2457548.50407 0.47060 0.00145
2457548.50482 0.47087 0.00147
2457548.50557 0.47414 0.00144
2457548.50633 0.47451 0.00142
2457548.50708 0.47476 0.00143
2457548.50784 0.47370 0.00140
2457548.50859 99.99999 9.99999
2457548.50934 0.47495 0.00143
2457548.51010 0.47659 0.00143
2457548.51085 0.47359 0.00144
2457548.51160 0.47726 0.00140
2457548.51236 0.47329 0.00140
2457548.51311 0.47479 0.00140
2457548.51386 0.47527 0.00142
2457548.51462 0.47427 0.00140
2457548.51537 0.47593 0.00136
2457548.51612 0.47183 0.00136
2457548.51688 0.47391 0.00140
2457548.51763 0.47323 0.00142
2457548.51839 0.47540 0.00143
2457548.51914 0.47164 0.00140
2457548.51989 0.47638 0.00139
2457548.52065 0.46993 0.00140
2457548.52140 0.47180 0.00140
2457548.52215 0.47369 0.00142
2457548.52291 0.47487 0.00138
2457548.52366 0.47232 0.00142
2457548.52441 0.47649 0.00139
2457548.52517 0.47654 0.00140
2457548.52592 0.47271 0.00140
2457548.52668 0.47291 0.00138
2457548.52743 0.47121 0.00136
2457548.52818 0.47422 0.00137
2457548.52894 0.47420 0.00139
2457548.52969 0.47251 0.00140
2457548.53044 0.47212 0.00140
2457548.53120 0.47328 0.00135
2457548.53195 0.47126 0.00136
2457548.53270 0.47251 0.00137
2457548.53346 0.47177 0.00137
2457548.53421 0.47467 0.00137
2457548.53496 0.47477 0.00137
2457548.53572 0.47154 0.00140
2457548.53647 0.46905 0.00138
2457548.53723 0.47024 0.00137
2457548.53798 0.47127 0.00136
2457548.53873 0.47284 0.00135
2457548.53949 0.47431 0.00136
2457548.54024 0.47053 0.00138
2457548.54099 0.46876 0.00136
2457548.54175 0.46878 0.00138
2457548.54326 0.46705 0.00134
2457548.54401 0.46911 0.00135
2457548.54476 0.46713 0.00140
2457548.54552 0.46831 0.00130
2457548.54627 0.46660 0.00137
2457548.54702 0.46437 0.00138
2457548.54778 0.46234 0.00137
2457548.54853 0.46287 0.00142
2457548.55004 0.46172 0.00140
2457548.55079 0.45948 0.00142
2457548.55155 0.46349 0.00148
2457548.55230 0.45839 0.00138
2457548.55305 0.45864 0.00143
2457548.55381 0.45396 0.00135
2457548.55456 0.45659 0.00138
2457548.55532 0.45792 0.00140
2457548.55607 0.45165 0.00133
2457548.55682 0.45789 0.00135
2457548.55758 0.45552 0.00137
2457548.55833 0.45913 0.00139
2457548.55908 0.45539 0.00139
2457548.55984 0.45219 0.00137
2457548.56059 0.45264 0.00139
2457548.56134 0.45963 0.00137
2457548.56210 0.45465 0.00137
2457548.56285 0.45620 0.00136
2457548.56360 0.45436 0.00140
2457548.56436 0.45723 0.00137
2457548.56511 0.45288 0.00135
2457548.56587 0.45423 0.00138
2457548.56662 0.45662 0.00139
2457548.56737 0.45987 0.00137
2457548.56813 0.45806 0.00133
2457548.56888 0.45636 0.00135
2457548.56964 0.45549 0.00135
2457548.57040 0.45784 0.00137
2457548.57115 0.45895 0.00136
2457548.57190 0.45582 0.00138
2457548.57266 0.45564 0.00135
2457548.57341 0.45568 0.00136
2457548.57416 0.45949 0.00136
2457548.57492 0.45782 0.00137
2457548.57567 0.45737 0.00135
2457548.57642 0.45649 0.00134
2457548.57718 0.45852 0.00135
2457548.57793 0.46132 0.00134
2457548.57869 0.45666 0.00136
2457548.57944 0.46085 0.00135
2457548.58020 0.45476 0.00135
2457548.58095 0.46031 0.00137
2457548.58170 0.45637 0.00137
2457548.58246 0.45794 0.00138
2457548.58321 0.45958 0.00135
2457548.58396 0.45893 0.00136
2457548.58472 0.45612 0.00136
2457548.58547 0.46106 0.00140
2457548.58622 0.45705 0.00134
2457548.58698 0.45889 0.00136
2457548.58773 0.45769 0.00135
2457548.58849 0.45939 0.00140
2457548.58924 0.45862 0.00144
2457548.58999 0.45982 0.00138
2457548.59075 0.45828 0.00135
2457548.59150 0.45753 0.00143
2457548.59225 0.45621 0.00141
