JDHEL V-C s1
Aperture: 6, Filter: IR-UV, JD: heliocentric
2458323.4838775 0.43861 0.00146
2458323.4853243 0.43493 0.00142
2458323.4868174 0.43546 0.00143
2458323.4883105 0.43727 0.00144
2458323.4898036 0.43561 0.00145
2458323.4912504 0.44303 0.00144
2458323.4927087 0.44054 0.00146
2458323.4941555 0.44004 0.00148
2458323.4956486 0.43957 0.00147
2458323.4971069 0.44174 0.00146
2458323.4986000 0.44036 0.00147
2458323.5000468 0.44228 0.00148
2458323.5015052 0.44676 0.00148
2458323.5029982 0.45086 0.00148
2458323.5044450 99.99999 9.99999
2458323.5059381 0.44492 0.00147
2458323.5074312 0.45022 0.00146
2458323.5089243 0.45096 0.00146
2458323.5104058 0.45150 0.00148
2458323.5118989 0.45836 0.00148
2458323.5133919 0.45767 0.00147
2458323.5148850 0.45967 0.00143
2458323.5163781 0.45308 0.00147
2458323.5178249 0.45530 0.00146
2458323.5192832 0.45339 0.00147
2458323.5207763 0.45490 0.00144
2458323.5222694 0.45688 0.00144
2458323.5237162 0.45551 0.00146
2458323.5251745 0.45574 0.00142
2458323.5281491 0.45339 0.00137
2458323.5296075 0.45910 0.00135
2458323.5310543 0.45771 0.00136
2458323.5325473 0.46072 0.00136
2458323.5340404 0.45578 0.00135
2458323.5355567 0.45737 0.00134
2458323.5370150 0.45719 0.00133
2458323.5385081 0.45413 0.00133
2458323.5399549 0.45635 0.00135
2458323.5414480 0.45616 0.00133
2458323.5429063 0.45438 0.00129
2458323.5443878 0.45858 0.00131
2458323.5458462 0.45671 0.00131
2458323.5473393 0.45380 0.00128
2458323.5488323 0.45938 0.00130
2458323.5502791 0.46018 0.00129
2458323.5517722 0.45776 0.00129
2458323.5532306 0.45687 0.00127
2458323.5547121 0.45496 0.00129
2458323.5561704 0.45709 0.00125
2458323.5576519 0.45812 0.00125
2458323.5591103 0.45684 0.00125
2458323.5606034 0.45168 0.00126
2458323.5620502 0.45631 0.00121
2458323.5635085 0.45831 0.00125
2458323.5649900 0.45462 0.00123
2458323.5664484 0.45646 0.00123
2458323.5679415 0.45133 0.00120
2458323.5693882 0.45135 0.00120
2458323.5708466 0.45642 0.00123
2458323.5722934 0.45490 0.00120
2458323.5737865 0.45431 0.00123
2458323.5752448 0.45244 0.00121
2458323.5766916 0.45541 0.00123
2458323.5781847 0.45567 0.00120
2458323.5796430 0.45322 0.00120
2458323.5810898 0.45123 0.00119
2458323.5825829 0.44936 0.00119
2458323.5840297 0.44543 0.00118
2458323.5854881 0.44826 0.00118
2458323.5869811 0.44572 0.00117
2458323.5884742 0.44291 0.00118
2458323.5899210 0.44092 0.00118
2458323.5914141 0.44090 0.00118
2458323.5928609 0.43715 0.00116
2458323.5943192 0.44039 0.00116
2458323.5958123 99.99999 9.99999
2458323.5972591 0.43993 0.00117
2458323.5987174 0.44269 0.00118
2458323.6001642 0.43619 0.00118
2458323.6016226 0.44446 0.00121
2458323.6030694 0.44123 0.00117
2458323.6045277 0.43946 0.00121
2458323.6059745 0.44368 0.00120
2458323.6074329 0.43891 0.00121
2458323.6089259 0.44285 0.00119
2458323.6103727 0.43990 0.00119
2458323.6118658 0.43808 0.00121
2458323.6133242 0.43995 0.00122
2458323.6148172 0.43960 0.00122
2458323.6162640 0.44092 0.00121
2458323.6192039 0.44179 0.00125
2458323.6206622 0.44149 0.00128
2458323.6221553 0.43668 0.00128
2458323.6236021 0.43936 0.00136
2458323.6250605 0.44168 0.00137
2458323.6265073 0.44264 0.00145
2458323.6279656 0.43810 0.00146
