FOTOMETRÍA RELATIVA

HAT-P-23B 
FECHA J HELIO         MAG      +/-    RSR  AIRMS  TRANS  FWHM"   FONDO   N   NUM
-----------------------------------------  -----  -----  -----  ------  --  ----
2458323.45784    -0.00844  0.00682    159  1.180   1.00   5.05   -0.28  01  0001
2458323.46007    -0.00847  0.00682    159  1.175   1.00   4.94   -0.27  01  0002
2458323.46231    -0.00773  0.00683    159  1.169   1.00   5.36   -0.25  01  0003
2458323.46455    -0.00884  0.00679    159  1.163   1.01   5.15   -0.23  01  0004
2458323.46680    -0.00792  0.00678    160  1.158   1.01   5.11   -0.21  01  0005
2458323.46898    -0.00798  0.00677    160  1.153   1.02   5.17   -0.19  01  0006
2458323.47123    -0.00740  0.00679    159  1.149   1.01   5.56   -0.17  01  0007
2458323.47346    -0.00936  0.00687    157  1.144   0.99   6.05   -0.18  01  0008
2458323.47570    -0.00617  0.00677    160  1.140   1.02   5.17   -0.13  01  0009
2458323.47794    -0.00365  0.00680    159  1.136   1.01   5.79   -0.14  01  0010
2458323.48015    -0.00740  0.00678    160  1.132   1.02   4.92   -0.14  01  0011
2458323.48239    -0.00671  0.00676    160  1.128   1.02   4.69   -0.14  01  0012
2458323.48463    -0.00901  0.00675    160  1.124   1.02   4.72   -0.13  01  0013
2458323.48687    -0.00633  0.00677    160  1.121   1.02   4.93   -0.12  01  0014
2458323.48910    -0.00974  0.00677    160  1.118   1.02   4.97   -0.13  01  0015
2458323.49135    -0.00822  0.00681    159  1.115   1.00   5.78   -0.13  01  0016
2458323.49357    -0.00924  0.00676    160  1.112   1.02   4.51   -0.11  01  0017
2458323.49579    -0.00672  0.00676    160  1.110   1.02   4.87   -0.11  01  0018
2458323.49801    -0.00769  0.00679    159  1.107   1.01   5.29   -0.11  01  0019
2458323.50022    -0.00705  0.00677    160  1.105   1.02   4.90   -0.10  01  0020
2458323.50244    -0.00651  0.00678    160  1.103   1.02   5.10   -0.10  01  0021
2458323.50468    -0.00204  0.00681    159  1.101   1.01   5.45   -0.10  01  0022
2458323.50692    -0.00129  0.00678    160  1.100   1.02   5.00   -0.08  01  0023
2458323.50919    -0.00057  0.00679    159  1.098   1.02   5.09   -0.07  01  0024
2458323.51138     0.00218  0.00680    159  1.097   1.02   5.05   -0.07  01  0025
2458323.51361     0.00643  0.00683    159  1.096   1.01   5.31   -0.07  01  0026
2458323.51586     0.00930  0.00691    157  1.095   0.99   6.12   -0.08  01  0027
2458323.51812     0.00781  0.00684    158  1.094   1.01   6.16   -0.05  01  0028
2458323.52036     0.00427  0.00690    157  1.093   0.99   6.33   -0.08  01  0029
2458323.52260     0.00617  0.00689    157  1.093   1.00   6.33   -0.07  01  0030
2458323.52485     0.00634  0.00690    157  1.093   0.99   5.87   -0.08  01  0031
2458323.52709     0.00653  0.00688    157  1.093   1.00   5.62   -0.07  01  0032
2458323.52933     0.00875  0.00694    156  1.093   0.98   6.39   -0.08  01  0033
2458323.53154     0.00902  0.00693    156  1.093   0.99   6.37   -0.06  01  0034
2458323.53379     0.01074  0.00698    155  1.093   0.98   6.42   -0.07  01  0035
2458323.53830     0.00716  0.00689    157  1.095   1.00   6.33   -0.03  01  0036
2458323.54056     0.00511  0.00691    157  1.096   0.99   6.72   -0.04  01  0037
2458323.54279     0.01009  0.00689    157  1.097   1.00   6.03   -0.01  01  0038
2458323.54501     0.00543  0.00692    156  1.098   0.99   5.77   -0.03  01  0039
2458323.54726     0.00738  0.00689    157  1.100   1.00   5.68   -0.01  01  0040
2458323.54950     0.00979  0.00691    157  1.101   0.99   6.31   -0.01  01  0041
2458323.55175     0.00835  0.00697    155  1.103   0.97   6.06   -0.03  01  0042
2458323.55397     0.00632  0.00690    157  1.105   0.99   5.99    0.00  01  0043
2458323.55619     0.01255  0.00684    158  1.107   1.02   5.10    0.04  01  0044
2458323.55843     0.00579  0.00689    157  1.110   0.99   5.63    0.02  01  0045
2458323.56066     0.00380  0.00684    158  1.112   1.01   5.23    0.04  01  0046
2458323.56286     0.00938  0.00683    159  1.115   1.02   5.09    0.06  01  0047
2458323.56508     0.00753  0.00680    159  1.118   1.02   4.77    0.07  01  0048
2458323.56733     0.00297  0.00680    159  1.121   1.02   4.56    0.07  01  0049
2458323.56957     0.00774  0.00690    157  1.124   0.99   5.45    0.06  01  0050
2458323.57183     0.00519  0.00701    154  1.128   0.96   6.92    0.03  01  0051
2458323.57403     0.00589  0.00696    156  1.132   0.98   6.29    0.06  01  0052
2458323.58073     0.00329  0.00686    158  1.144   1.00   5.02    0.14  01  0053
2458323.58298     0.00406  0.00688    157  1.148   1.00   5.59    0.16  01  0054
2458323.58520    -0.00418  0.00688    157  1.153   0.99   5.75    0.16  01  0055
2458323.58743    -0.00589  0.00683    158  1.158   1.00   5.05    0.20  01  0056
2458323.59190    -0.00503  0.00686    158  1.169   0.99   5.60    0.23  01  0057
2458323.59635    -0.00523  0.00693    156  1.180   0.97   6.15    0.25  01  0058
2458323.59858    -0.00493  0.00698    155  1.186   0.96   6.78    0.26  01  0059
2458323.60306    -0.00420  0.00685    158  1.199   1.00   5.04    0.32  01  0060
2458323.60527    -0.00170  0.00694    156  1.206   0.97   6.44    0.31  01  0061
2458323.60751    -0.00410  0.00686    158  1.214   1.00   5.17    0.36  01  0062
2458323.60975    -0.00198  0.00684    158  1.221   1.00   4.96    0.36  01  0063
2458323.61198    -0.00487  0.00681    159  1.229   1.01   4.64    0.37  01  0064

Observador: David Molina | Obs. Anunaki | MPC Z51
FotoDif 3.93
