FOTOMETRA RELATIVA

VAR-1
FECHA J HELIO         MAG      +/-
----------------------------------
2458009.31579    -0.01133  0.01151
2458009.31728    -0.00875  0.00922
2458009.31876    -0.01089  0.00800
2458009.32024    -0.00657  0.00804
2458009.32172    -0.00988  0.00795
2458009.32320    -0.00917  0.00807
2458009.32468    -0.00974  0.00777
2458009.32616    -0.01017  0.00801
2458009.32765    -0.00762  0.00771
2458009.32913    -0.00991  0.00777
2458009.33061    -0.00992  0.00781
2458009.33209    -0.01017  0.00767
2458009.33357    -0.00640  0.00781
2458009.33505    -0.00513  0.00782
2458009.33654    -0.00442  0.00781
2458009.33802    -0.00184  0.00774
2458009.33950    -0.00411  0.00779
2458009.34098    -0.00789  0.00777
2458009.34246    -0.00615  0.00771
2458009.34393    -0.00499  0.00773
2458009.34541    -0.00597  0.00770
2458009.34689    -0.00596  0.00771
2458009.34838    -0.00280  0.00772
2458009.34986    -0.00604  0.00776
2458009.35134    -0.00582  0.00781
2458009.35282    -0.00554  0.00799
2458009.35430    -0.00366  0.00788
2458009.35578    -0.00381  0.00766
2458009.35726    -0.00610  0.00772
2458009.35875    -0.00373  0.00772
2458009.36023    -0.00693  0.00761
2458009.36171    -0.00539  0.00769
2458009.36319    -0.00552  0.00771
2458009.36467    -0.00324  0.00761
2458009.36614    -0.00102  0.00770
2458009.36762     0.00473  0.00765
2458009.36910     0.00261  0.00775
2458009.37059     0.00297  0.00773
2458009.37207     0.00647  0.00774
2458009.37355     0.00784  0.00803
2458009.37503     0.00795  0.01270
2458009.37762     0.00975  0.00771
2458009.37910     0.00843  0.00772
2458009.38059     0.00787  0.00772
2458009.38207     0.00826  0.00783
2458009.38355     0.00581  0.00774
2458009.38503     0.00238  0.00775
2458009.38651     0.00612  0.00780
2458009.38799     0.00480  0.00779
2458009.38948     0.01008  0.00798
2458009.39096     0.00954  0.00794
2458009.39244     0.00439  0.00779
2458009.39392     0.00978  0.00774
2458009.39540     0.00466  0.00773
2458009.39688     0.00828  0.00774
2458009.39836     0.00608  0.00773
2458009.39985     0.00761  0.00776
2458009.40133     0.01016  0.00778
2458009.40281     0.00761  0.00775
2458009.40429     0.01002  0.00776
2458009.40577     0.01091  0.00777
2458009.40725     0.01084  0.00779
2458009.40873     0.00969  0.00782
2458009.41022     0.01135  0.00781
2458009.41170     0.01322  0.00781
2458009.41318     0.00800  0.00783
2458009.41466     0.01151  0.00779
2458009.41614     0.00791  0.00786
2458009.41762     0.00764  0.00781
2458009.41910     0.01053  0.00790
2458009.42057     0.00861  0.00787
2458009.42206     0.00983  0.00787
2458009.42354     0.01256  0.00788
2458009.42502     0.01581  0.00791
2458009.42650     0.01134  0.00789
2458009.42798     0.00700  0.00783
2458009.42946     0.00713  0.00788
2458009.43094     0.00962  0.00795
2458009.43243     0.01041  0.00792
2458009.43391     0.01031  0.00784
2458009.43539     0.01013  0.00786
2458009.43687     0.00675  0.00791
2458009.43835     0.01044  0.00799
2458009.43983     0.00748  0.00792
2458009.44132     0.00559  0.00804
2458009.44279     0.00692  0.00797
2458009.44427     0.00470  0.00801
2458009.44575     0.00524  0.00799
2458009.44723     0.00326  0.00797
2458009.44870    -0.00251  0.00787
2458009.45018    -0.00186  0.00796
2458009.45166    -0.00394  0.00789
2458009.45315    -0.00630  0.00796
2458009.45463    -0.00746  0.00798
2458009.45611    -0.00928  0.00801
2458009.45759    -0.00369  0.00825
2458009.45907    -0.00050  0.00821
2458009.46055    -0.00881  0.00820
2458009.46203    -0.00646  0.00839
2458009.46352    -0.00491  0.00855
2458009.46499    -0.00537  0.00857
2458009.46647     0.00340  0.00830
2458009.46795     0.00009  0.00824
2458009.46943    -0.00621  0.00823
2458009.47091    -0.00504  0.00831
2458009.47239    -0.00869  0.00864
2458009.47387    -0.00944  0.00866
2458009.47536    -0.00516  0.00896
2458009.47684    -0.00215  0.00963
2458009.47832     0.00197  0.01076
2458009.47980     0.00241  0.00990
2458009.48128    -0.00180  0.00938
2458009.48276    -0.00317  0.00956
2458009.48423    -0.00874  0.00926
2458009.48571    -0.00509  0.00924
2458009.48720    -0.00589  0.00947
2458009.48868    -0.01001  0.00984
2458009.49016    -0.00817  0.01257
2458009.49164    -0.00818  0.01131
2458009.49460    -0.01074  0.01042
2458009.49609    -0.00787  0.01049
2458009.49757    -0.00930  0.01181
2458009.49905    -0.00650  0.01200
2458009.50053    -0.00896  0.01069
2458009.50201    -0.01065  0.01112

Observador: 
FotoDif 3.95
