FOTOMETRÍA RELATIVA

VAR-1 
FECHA J HELIO         MAG      +/-
----------------------------------
2458385.28209     0.00210  0.00757
2458385.28357    -0.00302  0.00758
2458385.28505    -0.00149  0.00762
2458385.28848    -0.00037  0.00843
2458385.28973     0.00045  0.00842
2458385.29098    -0.00254  0.00841
2458385.29223    -0.00286  0.00847
2458385.29348    -0.00198  0.00846
2458385.29473     0.00274  0.00857
2458385.29598    -0.00090  0.00858
2458385.29723    -0.00870  0.00858
2458385.29848     0.00631  0.00873
2458385.29972    -0.00186  0.00859
2458385.30097     0.00034  0.00869
2458385.30222     0.00201  0.00874
2458385.30347     0.00080  0.00872
2458385.30472    -0.00021  0.00879
2458385.30597    -0.00564  0.00875
2458385.30722     0.00045  0.00867
2458385.30846     0.00135  0.00898
2458385.30971     0.00099  0.00862
2458385.31096    -0.00061  0.00872
2458385.31221    -0.00278  0.00869
2458385.31346    -0.00836  0.00850
2458385.31471    -0.00614  0.00860
2458385.31596     0.00233  0.00854
2458385.31719    -0.00629  0.00857
2458385.31844    -0.00096  0.00856
2458385.31968    -0.00207  0.00866
2458385.32093    -0.00534  0.00865
2458385.32218    -0.00277  0.00858
2458385.32343    -0.00646  0.00873
2458385.32468    -0.00575  0.00858
2458385.32593    -0.00076  0.00866
2458385.32718    -0.00070  0.00866
2458385.32842    -0.00095  0.00855
2458385.32967    -0.00194  0.00869
2458385.33092    -0.00494  0.00854
2458385.33217    -0.00300  0.00867
2458385.33342     0.00370  0.00859
2458385.33467    -0.00108  0.00873
2458385.33592    -0.00150  0.00858
2458385.33716    -0.00454  0.00867
2458385.33841     0.01036  0.00852
2458385.33966    -0.00589  0.00858
2458385.34091     0.00004  0.00844
2458385.34216    -0.00107  0.00856
2458385.34341     0.00033  0.00844
2458385.34466     0.00053  0.00877
2458385.34678    -0.00518  0.00836
2458385.34803    -0.00313  0.00835
2458385.34927    -0.00497  0.00839
2458385.35052    -0.00314  0.00836
2458385.35177    -0.00825  0.00832
2458385.35302    -0.00116  0.00838
2458385.35427    -0.00709  0.00829
2458385.35552    -0.00872  0.00837
2458385.35677    -0.00927  0.00834
2458385.35802    -0.00918  0.00829
2458385.35927    -0.00591  0.00831
2458385.36052    -0.00148  0.00841
2458385.36177    -0.00683  0.00843
2458385.36301    -0.00001  0.00835
2458385.36426     0.00003  0.00839
2458385.36551     0.00195  0.00841
2458385.36676     0.00378  0.00837
2458385.36801     0.00775  0.00837
2458385.36926     0.00668  0.00846
2458385.37051     0.01314  0.00841
2458385.37176     0.01078  0.00836
2458385.37299     0.00977  0.00844
2458385.37424     0.01038  0.00847
2458385.37549     0.00768  0.00840
2458385.37674     0.01051  0.00845
2458385.37799     0.00896  0.00844
2458385.37924     0.01197  0.00843
2458385.38049     0.01135  0.00845
2458385.38174     0.00773  0.00850
2458385.38299     0.01223  0.00844
2458385.38424     0.00832  0.00843
2458385.38549     0.01172  0.00846
2458385.38674     0.00609  0.00839
2458385.38798     0.01844  0.00843
2458385.38923     0.01683  0.00842
2458385.39048     0.01474  0.00843
2458385.39173     0.01305  0.00849
2458385.39298     0.01348  0.00843
2458385.39423     0.01748  0.00842
2458385.39548     0.01675  0.00848
2458385.39673     0.01430  0.00840
2458385.39797     0.01335  0.00845
2458385.39922     0.01844  0.00841
2458385.40047     0.00994  0.00851
2458385.40172     0.00963  0.00845
2458385.40297     0.01535  0.00840
2458385.40422     0.01108  0.00849
2458385.40547     0.01429  0.00849
2458385.40672     0.01396  0.00837
2458385.40797     0.01035  0.00850
2458385.40922     0.00775  0.00838
2458385.41047     0.01482  0.00841
2458385.41171     0.01289  0.00854
2458385.41296     0.01261  0.00842
2458385.41421     0.00594  0.00849
2458385.41546     0.01010  0.00842
2458385.41671     0.00869  0.00847
2458385.41796     0.00595  0.00839
2458385.41921     0.00920  0.00850
2458385.42046     0.00637  0.00848
2458385.42171     0.00446  0.00838
2458385.42296     0.00602  0.00849
2458385.42421     0.01084  0.00839
2458385.42546     0.00549  0.00845
2458385.42671     0.00762  0.00841
2458385.42796    -0.00014  0.00847
2458385.42921     0.01466  0.00842
2458385.43045     0.01004  0.00854
2458385.43171     0.00787  0.00843
2458385.43295     0.00747  0.00843
2458385.43420     0.01427  0.00846
2458385.43545     0.00952  0.00858
2458385.43670     0.00779  0.00845
2458385.43795     0.00757  0.00852
2458385.43920     0.00021  0.00848
2458385.44045    -0.00193  0.00843
2458385.44170    -0.00020  0.00854
2458385.44294    -0.00653  0.00841
2458385.44419     0.00220  0.00852
2458385.44544    -0.00327  0.00843
2458385.44669    -0.00359  0.00840
2458385.44794    -0.00001  0.00851
2458385.44919    -0.00221  0.00843
2458385.45044    -0.00823  0.00846
2458385.45169    -0.00789  0.00840
2458385.45294    -0.00508  0.00854
2458385.45419    -0.01132  0.00841
2458385.45542    -0.01113  0.00856
2458385.45669    -0.00818  0.00842
2458385.45792    -0.00883  0.00861
2458385.45917    -0.00521  0.00847
2458385.46042    -0.00681  0.00859
2458385.46167    -0.01506  0.00848
2458385.46292    -0.00645  0.00848
2458385.46417    -0.00417  0.00861
2458385.46541    -0.01136  0.00858
2458385.46666    -0.00763  0.00849
2458385.46791    -0.01375  0.00851
2458385.46916    -0.01674  0.00862
2458385.47041    -0.00884  0.00850
2458385.47166    -0.01800  0.00859
2458385.47291    -0.00313  0.00855
2458385.47415    -0.01477  0.00862
2458385.47540    -0.01612  0.00855
2458385.47665    -0.00332  0.00870
2458385.47790    -0.00014  0.00860
2458385.47915    -0.01244  0.00869
2458385.48040    -0.01146  0.00858
2458385.48165    -0.00473  0.00860
2458385.48290    -0.01683  0.00869
2458385.48415    -0.01490  0.00855
2458385.48538    -0.01578  0.00853
2458385.48663    -0.01259  0.00873
2458385.48788    -0.01504  0.00858
2458385.48913    -0.01266  0.00861
2458385.49038    -0.00651  0.00863
2458385.49163    -0.00556  0.00862
2458385.49288    -0.00535  0.00876
2458385.49413    -0.01394  0.00861
2458385.49538    -0.01016  0.00862
2458385.49663    -0.01491  0.00869
2458385.49788    -0.01090  0.00862
2458385.49912    -0.01217  0.00862
2458385.50037    -0.02039  0.00871
2458385.50162    -0.01109  0.00867
2458385.50287    -0.00180  0.00870
2458385.50412    -0.01112  0.00868

Observador: 
FotoDif 3.95
