JD V-C s1 V-K1 s2 C1-K1 s3 C2-K1 s4 C3-K1 s5 C4-K1 s6 C5-K1 s7 C6-K1 s8
Aperture: 7, Filter: Aucun, JD: geocentric
2457660.3378053 -1.41710 0.00216 -1.67780 0.00519 -0.18070 0.00626 -0.57739 0.00577 -0.28035 0.00609 0.13732 0.00684 0.02105 0.00684 -0.50259 0.00585
2457660.3398019 -1.41715 0.00247 -1.68433 0.00604 -0.19005 0.00725 -0.59176 0.00672 -0.27747 0.00710 0.13997 0.00806 0.02448 0.00803 -0.51714 0.00681
2457660.3416251 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999
2457660.3433679 -1.41792 0.00198 -1.67156 0.00458 -0.17290 0.00555 -0.57228 0.00512 -0.26243 0.00541 0.14168 0.00607 0.03360 0.00615 -0.50462 0.00518
2457660.3450300 -1.41518 0.00199 -1.67960 0.00462 -0.19187 0.00557 -0.58267 0.00517 -0.27561 0.00548 0.13755 0.00614 0.01948 0.00612 -0.50948 0.00521
2457660.3470394 -1.41379 0.00217 -1.68851 0.00521 -0.19545 0.00627 -0.59556 0.00579 -0.28088 0.00614 0.11960 0.00686 0.00479 0.00691 -0.51907 0.00585
2457660.3487713 -1.41409 0.00251 -1.69018 0.00604 -0.18972 0.00734 -0.58842 0.00671 -0.29047 0.00716 0.10776 0.00806 -0.00226 0.00805 -0.51883 0.00678
2457660.3505390 -1.41719 0.00262 -1.66370 0.00610 -0.17948 0.00744 -0.57512 0.00686 -0.24494 0.00736 0.15799 0.00831 0.03902 0.00824 -0.48889 0.00691
2457660.3522663 -1.41879 0.00275 -1.67752 0.00646 -0.18761 0.00791 -0.57030 0.00729 -0.26857 0.00784 0.12397 0.00870 0.00858 0.00863 -0.48983 0.00742
2457660.3540603 -1.42226 0.00262 -1.67586 0.00624 -0.18106 0.00759 -0.57827 0.00698 -0.25994 0.00740 0.16157 0.00839 0.02943 0.00847 -0.50233 0.00708
2457660.3557878 -1.41799 0.00259 -1.68250 0.00612 -0.19178 0.00747 -0.57718 0.00687 -0.28103 0.00727 0.13938 0.00836 0.02236 0.00830 -0.51419 0.00696
2457660.3575844 -1.41175 0.00291 -1.68465 0.00698 -0.19289 0.00849 -0.58834 0.00785 -0.28900 0.00828 0.12280 0.00945 0.00104 0.00939 -0.51290 0.00791
2457660.3593745 -1.41301 0.00311 -1.66171 0.00736 -0.17227 0.00899 -0.56740 0.00828 -0.24759 0.00885 0.14402 0.01001 0.03776 0.01028 -0.50243 0.00838
2457660.3612839 -1.41554 0.00289 -1.67287 0.00674 -0.18272 0.00824 -0.57441 0.00763 -0.27139 0.00813 0.13855 0.00911 0.02592 0.00930 -0.49904 0.00769
2457660.3630796 -1.41089 0.00347 -1.65961 0.00822 -0.16408 0.01010 -0.58128 0.00917 -0.25570 0.00997 0.15392 0.01133 0.03026 0.01147 -0.48804 0.00941
2457660.3650921 -1.41530 0.00296 -1.68227 0.00707 -0.19585 0.00865 -0.58752 0.00794 -0.27799 0.00839 0.13946 0.00965 0.02173 0.00964 -0.51401 0.00796
2457660.3667572 -1.41182 0.00276 -1.67459 0.00666 -0.18732 0.00805 -0.58974 0.00745 -0.27330 0.00785 0.14668 0.00888 0.02125 0.00897 -0.50529 0.00752
2457660.3684972 -1.41512 0.00292 -1.68732 0.00684 -0.19445 0.00840 -0.59319 0.00770 -0.28074 0.00822 0.13195 0.00927 0.00721 0.00936 -0.51875 0.00776
2457660.3703115 -1.41329 0.00292 -1.67617 0.00704 -0.18372 0.00857 -0.58060 0.00786 -0.27702 0.00837 0.13569 0.00960 0.01138 0.00942 -0.50320 0.00797
2457660.3722751 -1.42290 0.00236 -1.68667 0.00554 -0.18418 0.00675 -0.58873 0.00619 -0.26963 0.00657 0.13859 0.00740 0.02624 0.00742 -0.51509 0.00625
2457660.3740969 -1.41729 0.00235 -1.67807 0.00541 -0.18439 0.00658 -0.57429 0.00609 -0.27425 0.00645 0.12874 0.00729 0.01991 0.00732 -0.50304 0.00612
2457660.3758763 -1.41714 0.00233 -1.67674 0.00548 -0.18223 0.00662 -0.57656 0.00611 -0.27436 0.00649 0.14154 0.00733 0.02118 0.00730 -0.50438 0.00620
2457660.3776029 -1.42150 0.00218 -1.67701 0.00496 -0.17866 0.00606 -0.57550 0.00557 -0.26681 0.00591 0.14816 0.00669 0.02215 0.00672 -0.49887 0.00565
2457660.3794311 -1.42249 0.00220 -1.68948 0.00516 -0.19283 0.00623 -0.58853 0.00578 -0.27861 0.00609 0.13606 0.00681 0.01315 0.00687 -0.50760 0.00583
2457660.3812866 -1.41561 0.00214 -1.68586 0.00508 -0.19276 0.00613 -0.59310 0.00563 -0.28154 0.00596 0.13173 0.00663 0.01311 0.00675 -0.51365 0.00570
