JD V-C s1 AIRMASS ALTITUDE
Aperture: 7, Filter: Green, JD: geocentric
2458735.4312616 -0.05537 0.00101 1.3682 46.89
2458735.4327199 -0.05513 0.00101 1.3607 47.23
2458735.4342130 -0.05788 0.00100 1.3532 47.58
2458735.4357060 -0.05648 0.00099 1.3458 47.92
2458735.4371991 -0.05602 0.00100 1.3385 48.27
2458735.4386921 -0.05648 0.00099 1.3313 48.62
2458735.4401852 -0.05606 0.00098 1.3243 48.97
2458735.4416667 -0.05322 0.00100 1.3174 49.31
2458735.4431597 -0.05556 0.00098 1.3106 49.66
2458735.4446528 -0.05544 0.00098 1.3038 50.01
2458735.4461458 -0.05399 0.00098 1.2972 50.37
2458735.4476389 -0.05660 0.00098 1.2907 50.72
2458735.4491319 -0.05375 0.00098 1.2843 51.07
2458735.4505903 -0.05255 0.00098 1.2782 51.41
2458735.4520370 -0.04961 0.00098 1.2721 51.76
2458735.4534954 -0.05085 0.00098 1.2662 52.10
2458735.4549884 -0.05019 0.00097 1.2602 52.45
2458735.4564815 -0.04500 0.00098 1.2542 52.81
2458735.4579282 -0.03971 0.00098 1.2486 53.15
2458735.4594213 -0.03608 0.00098 1.2429 53.51
2458735.4608796 -0.03795 0.00098 1.2374 53.86
2458735.4623727 -0.03128 0.00097 1.2318 54.21
2458735.4638194 -0.03454 0.00097 1.2265 54.56
2458735.4653125 -0.03206 0.00097 1.2211 54.91
2458735.4667708 -0.03181 0.00096 1.2160 55.26
2458735.4682639 -0.03180 0.00097 1.2108 55.62
2458735.4697106 -0.03054 0.00097 1.2058 55.97
2458735.4712037 -0.03338 0.00096 1.2008 56.33
2458735.4726620 -0.02957 0.00097 1.1959 56.68
2458735.4741551 -0.02865 0.00096 1.1911 57.04
2458735.4756019 -0.02745 0.00096 1.1864 57.39
2458735.4770949 -0.02486 0.00097 1.1817 57.75
2458735.4785532 -0.02287 0.00096 1.1772 58.10
2458735.4800463 -0.02634 0.00095 1.1726 58.46
2458735.4814931 -0.02545 0.00095 1.1683 58.81
2458735.4829514 -0.02432 0.00095 1.1640 59.16
2458735.4843981 -0.02399 0.00094 1.1598 59.51
2458735.4858565 -0.02415 0.00095 1.1556 59.87
2458735.4873495 -0.02411 0.00094 1.1514 60.23
2458735.4888426 -0.02056 0.00093 1.1473 60.59
2458735.4903356 -0.02213 0.00093 1.1432 60.96
2458735.4917824 -0.02224 0.00092 1.1394 61.31
2458735.4932407 -0.02370 0.00092 1.1355 61.67
2458735.4947338 -0.02334 0.00092 1.1317 62.03
2458735.4962500 -0.02071 0.00092 1.1279 62.40
2458735.4976968 -0.02386 0.00092 1.1243 62.75
2458735.4991898 -0.02047 0.00091 1.1206 63.12
2458735.5006481 -0.02100 0.00092 1.1171 63.48
2458735.5021065 -0.02282 0.00091 1.1137 63.83
2458735.5050926 -0.02349 0.00090 1.1069 64.57
2458735.5065741 -0.01998 0.00090 1.1036 64.93
2458735.5080324 -0.01877 0.00090 1.1004 65.29
2458735.5094907 -0.01836 0.00091 1.0972 65.65
2458735.5109722 -0.02001 0.00090 1.0941 66.01
2458735.5124306 -0.02069 0.00090 1.0911 66.37
2458735.5139236 -0.02128 0.00090 1.0881 66.74
2458735.5153704 -0.02006 0.00090 1.0852 67.09
2458735.5168634 -0.02301 0.00089 1.0823 67.46
2458735.5183218 -0.01844 0.00090 1.0795 67.82
2458735.5198148 -0.02116 0.00090 1.0767 68.19
2458735.5213079 -0.02085 0.00090 1.0740 68.56
2458735.5227894 -0.02204 0.00090 1.0713 68.92
