FOTOMETRA RELATIVA

HAT-P-32B
FECHA J HELIO         MAG      +/-
----------------------------------
2458088.26233     -0.0120   0.0043
2458088.26360     -0.0168   0.0043
2458088.26487     -0.0125   0.0043
2458088.26614     -0.0130   0.0042
2458088.26741     -0.0131   0.0042
2458088.26868     -0.0138   0.0043
2458088.27847     -0.0172   0.0043
2458088.27975     -0.0154   0.0042
2458088.28101     -0.0119   0.0043
2458088.28227     -0.0146   0.0043
2458088.28355     -0.0143   0.0042
2458088.28483     -0.0112   0.0043
2458088.28610     -0.0108   0.0043
2458088.28737     -0.0130   0.0042
2458088.28866     -0.0198   0.0042
2458088.28993     -0.0164   0.0042
2458088.29120     -0.0147   0.0042
2458088.29248     -0.0156   0.0042
2458088.29374     -0.0151   0.0043
2458088.29500     -0.0123   0.0043
2458088.29627     -0.0136   0.0043
2458088.29756     -0.0130   0.0043
2458088.29883     -0.0123   0.0042
2458088.30010     -0.0107   0.0042
2458088.30138     -0.0072   0.0042
2458088.30265     -0.0064   0.0042
2458088.30392     -0.0095   0.0042
2458088.30520      0.0015   0.0042
2458088.30647     -0.0052   0.0042
2458088.30774      0.0032   0.0042
2458088.30902      0.0030   0.0042
2458088.31029      0.0097   0.0042
2458088.31156      0.0090   0.0042
2458088.31285      0.0105   0.0042
2458088.31412      0.0088   0.0042
2458088.31539      0.0077   0.0042
2458088.31667      0.0089   0.0042
2458088.31794      0.0144   0.0042
2458088.31923      0.0072   0.0042
2458088.32050      0.0121   0.0042
2458088.32177      0.0069   0.0042
2458088.32304      0.0123   0.0043
2458088.32432      0.0176   0.0043
2458088.32559      0.0120   0.0043
2458088.32688      0.0095   0.0043
2458088.32815      0.0145   0.0043
2458088.32941      0.0150   0.0043
2458088.33068      0.0099   0.0043
2458088.33196      0.0112   0.0043
2458088.33322      0.0116   0.0043
2458088.33449      0.0124   0.0043
2458088.33576      0.0171   0.0043
2458088.33704      0.0126   0.0043
2458088.33831      0.0127   0.0043
2458088.33958      0.0119   0.0043
2458088.34085      0.0133   0.0044
2458088.34212      0.0146   0.0044
2458088.34339      0.0168   0.0043
2458088.34467      0.0174   0.0043
2458088.34595      0.0180   0.0043
2458088.34721      0.0157   0.0043
2458088.34850      0.0161   0.0042
2458088.34977      0.0145   0.0042
2458088.35104      0.0168   0.0042
2458088.35232      0.0162   0.0043
2458088.35362      0.0176   0.0043
2458088.35490      0.0175   0.0043
2458088.35617      0.0156   0.0043
2458088.35744      0.0132   0.0042
2458088.35872      0.0151   0.0042
2458088.35999      0.0110   0.0042
2458088.36127      0.0143   0.0043
2458088.36255      0.0153   0.0044
2458088.36383      0.0120   0.0044
2458088.36511      0.0127   0.0043
2458088.36638      0.0163   0.0043
2458088.36765      0.0173   0.0043
2458088.36892      0.0130   0.0043
2458088.37020      0.0158   0.0043
2458088.37147      0.0137   0.0042
2458088.37276      0.0139   0.0042
2458088.37403      0.0126   0.0042
2458088.37530      0.0147   0.0042
2458088.37656      0.0167   0.0043
2458088.37785      0.0143   0.0043
2458088.37912      0.0120   0.0044
2458088.38039      0.0158   0.0043
2458088.38167      0.0159   0.0044
2458088.38294      0.0174   0.0043
2458088.38423      0.0164   0.0043
2458088.38550      0.0088   0.0043
2458088.38677      0.0132   0.0043
2458088.38804      0.0145   0.0044
2458088.38933      0.0122   0.0044
2458088.39061      0.0103   0.0044
2458088.39188      0.0112   0.0043
2458088.39313      0.0109   0.0044
2458088.39441      0.0146   0.0044
2458088.39568      0.0126   0.0043
2458088.39695      0.0111   0.0043
2458088.39822      0.0130   0.0042
2458088.39950      0.0149   0.0042
2458088.40078      0.0133   0.0042
2458088.40204      0.0106   0.0042
2458088.40331      0.0104   0.0042
2458088.40458      0.0095   0.0042
2458088.40585      0.0062   0.0042
2458088.40712      0.0093   0.0043
2458088.40839      0.0071   0.0043
2458088.40967      0.0050   0.0042
2458088.41094      0.0058   0.0042
2458088.41221      0.0039   0.0043
2458088.41350     -0.0049   0.0042
2458088.41477     -0.0043   0.0042
2458088.41604     -0.0056   0.0042
2458088.41732     -0.0085   0.0042
2458088.41859     -0.0077   0.0042
2458088.41986     -0.0106   0.0042
2458088.42114     -0.0093   0.0043
2458088.42241     -0.0151   0.0042
2458088.42368     -0.0140   0.0042
2458088.42495     -0.0180   0.0042
2458088.42623     -0.0151   0.0042
2458088.42749     -0.0150   0.0042
2458088.42875     -0.0160   0.0041
