epoch,depth,error
2457127.7603684,-0.44456,0.02176
2457127.7625451,-0.49619,0.04831
2457127.7633019,-0.51784,0.05730
2457127.7640584,-0.46954,0.06779
2457127.7648150,-0.48320,0.08064
2457127.7655716,-0.53530,0.05250
2457127.7663281,-0.47146,0.06991
2457127.7670849,-0.51610,0.03920
2457127.7678414,-0.47835,0.05232
2457127.7685980,-0.49136,0.02749
2457127.7693547,-0.56639,0.05712
2457127.7701111,-0.52673,0.04900
2457127.7708677,-0.47939,0.02598
2457127.7716243,-0.48021,0.01722
2457127.7723808,-0.49597,0.02028
2457127.7731374,-0.48807,0.02339
2457127.7738939,-0.49312,0.01821
2457127.7746505,-0.47521,0.01971
2457127.7754071,-0.49193,0.01605
2457127.7761636,-0.45622,0.01736
2457127.7769202,-0.49804,0.01939
2457127.7776768,-0.52054,0.02252
2457127.7784335,-0.45904,0.02132
2457127.7791899,-0.51048,0.02472
2457127.7799464,-0.50512,0.02672
2457127.7807031,-0.48983,0.02194
2457127.7814600,-0.49112,0.01761
2457127.7822166,-0.50182,0.01370
2457127.7829730,-0.48978,0.01459
2457127.7837296,-0.50281,0.01567
2457127.7844861,-0.48582,0.01413
2457127.7852427,-0.47500,0.01261
2457127.7859991,-0.48211,0.01247
2457127.7867556,-0.48629,0.01045
2457127.7875122,-0.47013,0.00937
2457127.7882688,-0.48227,0.00766
2457127.7890253,-0.48104,0.00675
2457127.7897819,-0.47933,0.00621
2457127.7912950,-0.48548,0.00542
2457127.7920514,-0.47753,0.00574
2457127.7928080,-0.47737,0.00577
2457127.7935645,-0.47999,0.00556
2457127.7943209,-0.47358,0.00521
2457127.7950776,-0.47621,0.00670
2457127.7958342,-0.47014,0.00730
2457127.7965908,-0.50118,0.01099
2457127.7973474,-0.48922,0.00924
2457127.7981039,-0.47506,0.01780
2457127.7988605,-0.46866,0.00959
2457127.7996170,-0.46289,0.01374
2457127.8003738,-0.46801,0.01775
2457127.8011304,-0.46636,0.01260
2457127.8018869,-0.48434,0.00829
2457127.8026435,-0.46965,0.01445
2457127.8034000,-0.45723,0.01914
2457127.8041566,-0.46240,0.01601
2457127.8049132,-0.47058,0.00853
2457127.8056697,-0.47823,0.01188
2457127.8064263,-0.47352,0.01059
2457127.8071829,-0.46984,0.01676
2457127.8079394,-0.46785,0.00842
2457127.8086960,-0.46702,0.02094
2457127.8094526,-0.48353,0.01490
2457127.8102091,-0.48073,0.01817
2457127.8109657,-0.47573,0.00914
2457127.8117222,-0.46064,0.00640
2457127.8124789,-0.46862,0.00722
2457127.8132355,-0.48975,0.00771
2457127.8139921,-0.47719,0.00975
2457127.8147486,-0.49940,0.01154
2457127.8155052,-0.47327,0.00774
2457127.8162620,-0.48285,0.00631
2457127.8170185,-0.46534,0.00671
2457127.8177751,-0.46260,0.00527
2457127.8185316,-0.47094,0.00394
2457127.8192882,-0.47238,0.00399
2457127.8200448,-0.47230,0.00374
2457127.8208013,-0.47419,0.00458
2457127.8215579,-0.46484,0.00468
2457127.8223143,-0.45434,0.00476
2457127.8230709,-0.45857,0.00433
2457127.8238274,-0.45723,0.00365
2457127.8245840,-0.46860,0.00326
2457127.8253404,-0.46175,0.00349
2457127.8260970,-0.47059,0.00290
2457127.8268535,-0.47817,0.00337
2457127.8276101,-0.46431,0.00295
2457127.8283667,-0.47219,0.00281
2457127.8291232,-0.46891,0.00282
2457127.8298800,-0.46516,0.00284
2457127.8306365,-0.47305,0.00285
2457127.8313933,-0.46467,0.00283
2457127.8321498,-0.46815,0.00297
2457127.8329063,-0.46775,0.00299
2457127.8336629,-0.46683,0.00286
2457127.8344195,-0.47640,0.00287
2457127.8351760,-0.46772,0.00278
2457127.8359326,-0.47169,0.00278
2457127.8366890,-0.47533,0.00278
2457127.8374455,-0.47082,0.00272
2457127.8382021,-0.45963,0.00268
2457127.8389588,-0.47096,0.00271
2457127.8397154,-0.46539,0.00267
2457127.8404720,-0.47070,0.00275
2457127.8412284,-0.46297,0.00270
2457127.8419849,-0.46636,0.00255
2457127.8427412,-0.47075,0.00256
2457127.8434978,-0.47044,0.00257
2457127.8442543,-0.46880,0.00256
2457127.8450109,-0.46637,0.00254
2457127.8457677,-0.47140,0.00252
2457127.8465244,-0.46551,0.00250
2457127.8472810,-0.47029,0.00250
2457127.8480377,-0.46326,0.00247
2457127.8487943,-0.46550,0.00247
2457127.8495507,-0.46254,0.00253
2457127.8503070,-0.47601,0.00250
2457127.8510638,-0.46774,0.00253
2457127.8518202,-0.46450,0.00249
2457127.8525767,-0.46946,0.00247
2457127.8533332,-0.46549,0.00247
2457127.8540898,-0.47034,0.00244
2457127.8548463,-0.46872,0.00242
2457127.8556029,-0.47201,0.00237
2457127.8563594,-0.47035,0.00241
2457127.8571160,-0.47047,0.00238
2457127.8578726,-0.46367,0.00236
2457127.8586291,-0.47144,0.00235
2457127.8593857,-0.46820,0.00236
2457127.8601425,-0.47159,0.00237
2457127.8608990,-0.46589,0.00235
2457127.8616556,-0.46381,0.00237
2457127.8624125,-0.46700,0.00236
2457127.8631693,-0.46798,0.00236
