JDHEL V-C s1 HELCOR AIRMASS
Aperture: 3, Filter: Clear, JD: heliocentric
2457127.7603684 -1.16871 0.01266 0.0008920 2.0880
2457127.7625451 99.99999 9.99999 0.0008921 2.0608
2457127.7633019 99.99999 9.99999 0.0008921 2.0515
2457127.7640584 99.99999 9.99999 0.0008921 2.0423
2457127.7648150 99.99999 9.99999 0.0008922 2.0332
2457127.7655716 99.99999 9.99999 0.0008922 2.0242
2457127.7663281 99.99999 9.99999 0.0008922 2.0152
2457127.7670849 99.99999 9.99999 0.0008923 2.0063
2457127.7678414 99.99999 9.99999 0.0008923 1.9975
2457127.7685980 99.99999 9.99999 0.0008924 1.9888
2457127.7693547 99.99999 9.99999 0.0008924 1.9801
2457127.7701111 99.99999 9.99999 0.0008924 1.9716
2457127.7708677 99.99999 9.99999 0.0008925 1.9631
2457127.7716243 -1.17853 0.01067 0.0008925 1.9546
2457127.7723808 99.99999 9.99999 0.0008925 1.9463
2457127.7731374 99.99999 9.99999 0.0008926 1.9380
2457127.7738939 -1.17774 0.01084 0.0008926 1.9298
2457127.7746505 99.99999 9.99999 0.0008926 1.9217
2457127.7754071 -1.18773 0.00985 0.0008927 1.9136
2457127.7761636 -1.17638 0.01142 0.0008927 1.9056
2457127.7769202 -1.18563 0.01268 0.0008927 1.8977
2457127.7776768 -1.18683 0.01357 0.0008928 1.8898
2457127.7784335 99.99999 9.99999 0.0008928 1.8820
2457127.7791899 99.99999 9.99999 0.0008929 1.8743
2457127.7799464 99.99999 9.99999 0.0008929 1.8666
2457127.7807031 99.99999 9.99999 0.0008929 1.8591
2457127.7814600 -1.19138 0.01054 0.0008930 1.8515
2457127.7822166 -1.19070 0.00824 0.0008930 1.8441
2457127.7829730 -1.18547 0.00939 0.0008930 1.8367
2457127.7837296 -1.19881 0.00964 0.0008931 1.8293
2457127.7844861 99.99999 9.99999 0.0008931 1.8221
2457127.7852427 -1.19677 0.00761 0.0008931 1.8149
2457127.7859991 -1.19366 0.00716 0.0008932 1.8077
2457127.7867556 -1.18621 0.00634 0.0008932 1.8006
2457127.7875122 -1.19229 0.00555 0.0008932 1.7936
2457127.7882688 -1.18187 0.00466 0.0008933 1.7866
2457127.7890253 -1.17089 0.00469 0.0008933 1.7797
2457127.7897819 -1.17995 0.00402 0.0008934 1.7729
2457127.7912950 -1.18339 0.00345 0.0008934 1.7593
2457127.7920514 -1.18020 0.00365 0.0008935 1.7527
2457127.7928080 -1.18050 0.00367 0.0008935 1.7460
2457127.7935645 99.99999 9.99999 0.0008935 1.7395
2457127.7943209 -1.17278 0.00330 0.0008936 1.7330
2457127.7950776 -1.17473 0.00424 0.0008936 1.7265
2457127.7958342 -1.17668 0.00444 0.0008936 1.7201
2457127.7965908 -1.15316 0.00635 0.0008937 1.7137
2457127.7973474 -1.16208 0.00554 0.0008937 1.7074
2457127.7981039 99.99999 9.99999 0.0008938 1.7012
2457127.7988605 -1.15650 0.00581 0.0008938 1.6950
