epoch,depth,error
2457127.7603684,-0.70821,0.03648
2457127.7716243,-0.77157,0.03297
2457127.7738939,-0.77158,0.02967
2457127.7754071,-0.76620,0.02981
2457127.7761636,-0.74245,0.03137
2457127.7769202,-0.78253,0.08148
2457127.7776768,-0.77904,0.14569
2457127.7814600,-0.79301,0.03117
2457127.7822166,-0.77369,0.02396
2457127.7829730,-0.76819,0.02660
2457127.7837296,-0.78046,0.02609
2457127.7852427,-0.76202,0.01951
2457127.7859991,-0.75733,0.01964
2457127.7867556,-0.74271,0.01766
2457127.7875122,-0.73999,0.01496
2457127.7882688,-0.74085,0.01122
2457127.7890253,-0.74590,0.01091
2457127.7897819,-0.74198,0.00969
2457127.7912950,-0.74505,0.00842
2457127.7920514,-0.74850,0.00912
2457127.7928080,-0.74258,0.00869
2457127.7943209,-0.73287,0.00811
2457127.7950776,-0.73255,0.01069
2457127.7958342,-0.74131,0.01162
2457127.7965908,-0.71414,0.01611
2457127.7973474,-0.72370,0.01402
2457127.7988605,-0.71998,0.01523
2457127.7996170,-0.73270,0.02432
2457127.8003738,-0.80171,0.03674
2457127.8011304,-0.74891,0.02199
2457127.8018869,-0.74405,0.01389
2457127.8034000,-0.72564,0.03567
2457127.8041566,-0.73794,0.02818
2457127.8049132,-0.74190,0.01398
2457127.8056697,-0.76523,0.02054
2457127.8064263,-0.75020,0.01699
2457127.8071829,-0.74522,0.02678
2457127.8079394,-0.73421,0.01325
2457127.8086960,-0.73593,0.03614
2457127.8102091,-0.73339,0.03108
2457127.8109657,-0.73075,0.01472
2457127.8117222,-0.73943,0.00970
2457127.8124789,-0.74929,0.01148
2457127.8132355,-0.76217,0.01167
2457127.8139921,-0.74035,0.01605
2457127.8147486,-0.75024,0.01747
2457127.8155052,-0.74410,0.01159
2457127.8170185,-0.73264,0.01032
2457127.8177751,-0.74013,0.00773
2457127.8185316,-0.73836,0.00572
2457127.8192882,-0.72728,0.00561
2457127.8200448,-0.73302,0.00545
2457127.8208013,-0.72692,0.00653
2457127.8215579,-0.72964,0.00692
2457127.8223143,-0.72051,0.00716
2457127.8230709,-0.72862,0.00643
2457127.8238274,-0.72834,0.00532
2457127.8253404,-0.73070,0.00510
2457127.8276101,-0.72626,0.00414
2457127.8283667,-0.73491,0.00398
2457127.8291232,-0.72944,0.00394
2457127.8298800,-0.72784,0.00389
2457127.8306365,-0.73407,0.00396
2457127.8313933,-0.73136,0.00405
2457127.8321498,-0.73525,0.00430
2457127.8329063,-0.72888,0.00433
2457127.8336629,-0.72556,0.00405
2457127.8344195,-0.73210,0.00395
2457127.8351760,-0.73838,0.00389
2457127.8359326,-0.72779,0.00383
2457127.8366890,-0.73053,0.00384
2457127.8374455,-0.73198,0.00372
2457127.8382021,-0.72239,0.00365
2457127.8389588,-0.72482,0.00370
2457127.8397154,-0.72251,0.00366
2457127.8404720,-0.73083,0.00374
2457127.8412284,-0.72844,0.00363
2457127.8419849,-0.73040,0.00350
2457127.8427412,-0.72703,0.00338
2457127.8434978,-0.72919,0.00346
2457127.8442543,-0.72848,0.00341
2457127.8457677,-0.73125,0.00335
2457127.8465244,-0.72601,0.00327
2457127.8480377,-0.72277,0.00337
2457127.8487943,-0.72332,0.00330
2457127.8503070,-0.73293,0.00332
2457127.8518202,-0.70348,0.00327
2457127.8525767,-0.70832,0.00320
2457127.8533332,-0.70102,0.00323
2457127.8540898,-0.70089,0.00317
2457127.8548463,-0.70257,0.00318
2457127.8556029,-0.70400,0.00304
2457127.8563594,-0.70676,0.00303
2457127.8571160,-0.72624,0.00303
2457127.8578726,-0.72520,0.00308
2457127.8586291,-0.73024,0.00306
2457127.8593857,-0.71964,0.00305
2457127.8601425,-0.72267,0.00301
2457127.8608990,-0.72080,0.00300
2457127.8616556,-0.72089,0.00301
2457127.8624125,-0.72518,0.00299
2457127.8631693,-0.72185,0.00300
2457127.8639255,-0.71730,0.00298
2457127.8646823,-0.72169,0.00296
2457127.8654390,-0.72181,0.00296
2457127.8661956,-0.72084,0.00294
2457127.8669522,-0.72414,0.00295
2457127.8677087,-0.71886,0.00291
2457127.8684653,-0.72143,0.00297
2457127.8692217,-0.72336,0.00283
2457127.8699782,-0.72165,0.00290
2457127.8707348,-0.72080,0.00287
2457127.8714915,-0.73124,0.00281
2457127.8722481,-0.72584,0.00287
2457127.8730049,-0.72492,0.00285
2457127.8737611,-0.72536,0.00282
2457127.8745177,-0.72938,0.00283
2457127.8752743,-0.72620,0.00291
2457127.8760308,-0.72572,0.00285
2457127.8767879,-0.72162,0.00277
2457127.8775445,-0.72883,0.00279
2457127.8783011,-0.72580,0.00283
2457127.8790576,-0.73201,0.00277
2457127.8798140,-0.73062,0.00280
2457127.8805706,-0.72439,0.00281
2457127.8813272,-0.72266,0.00275
2457127.8820837,-0.72628,0.00280
2457127.8828403,-0.72645,0.00278
2457127.8835968,-0.72643,0.00276
2457127.8843533,-0.72578,0.00279
2457127.8851099,-0.72629,0.00274
2457127.8858664,-0.72168,0.00276
2457127.8866230,-0.72804,0.00273
2457127.8873796,-0.72189,0.00273
2457127.8881361,-0.73003,0.00274
2457127.8888929,-0.72653,0.00276
2457127.8896494,-0.73001,0.00274
2457127.8904060,-0.72535,0.00276
2457127.8911626,-0.72895,0.00274
2457127.8919193,-0.72615,0.00274
2457127.8926759,-0.73106,0.00280
2457127.8934328,-0.72760,0.00279
2457127.8941896,-0.72025,0.00283
2457127.8949459,-0.72540,0.00288
2457127.8957024,-0.73246,0.00286
2457127.8964590,-0.73230,0.00284
2457127.8972154,-0.73998,0.00296
2457127.8979719,-0.73338,0.00302
2457127.8987285,-0.74223,0.00299
2457127.8994851,-0.73807,0.00307
2457127.9002416,-0.74290,0.00309
2457127.9009984,-0.74251,0.00314
2457127.9017549,-0.74268,0.00322
2457127.9025115,-0.74290,0.00328
2457127.9032681,-0.74265,0.00330
2457127.9040248,-0.74018,0.00324
2457127.9047814,-0.73970,0.00349
2457127.9055376,-0.74451,0.00367
2457127.9062941,-0.74090,0.00361
2457127.9070507,-0.74102,0.00377
2457127.9078074,-0.73658,0.00381
2457127.9085638,-0.73790,0.00392
2457127.9093202,-0.73933,0.00412
2457127.9100768,-0.74400,0.00427
2457127.9108333,-0.74232,0.00449
2457127.9115899,-0.73571,0.00493
2457127.9123465,-0.74703,0.00514
2457127.9131030,-0.74227,0.00512
2457127.9138596,-0.74577,0.00552
2457127.9146160,-0.74777,0.00574
2457127.9153725,-0.75047,0.00589
2457127.9161291,-0.74291,0.00581
2457127.9168859,-0.73648,0.00621
2457127.9176423,-0.74332,0.00562
2457127.9183988,-0.74832,0.00525
2457127.9191556,-0.73831,0.00570
