JDHEL V-C s1 HELCOR AIRMASS
Aperture: 7, Filter: Clear, JD: heliocentric
2457127.7603684 -0.70821 0.03648 0.0008920 2.0880
2457127.7625451 99.99999 9.99999 0.0008921 2.0608
2457127.7633019 99.99999 9.99999 0.0008921 2.0515
2457127.7640584 99.99999 9.99999 0.0008921 2.0423
2457127.7648150 99.99999 9.99999 0.0008922 2.0332
2457127.7655716 99.99999 9.99999 0.0008922 2.0242
2457127.7663281 99.99999 9.99999 0.0008922 2.0152
2457127.7670849 99.99999 9.99999 0.0008923 2.0063
2457127.7678414 99.99999 9.99999 0.0008923 1.9975
2457127.7685980 99.99999 9.99999 0.0008924 1.9888
2457127.7693547 99.99999 9.99999 0.0008924 1.9801
2457127.7701111 99.99999 9.99999 0.0008924 1.9716
2457127.7708677 99.99999 9.99999 0.0008925 1.9631
2457127.7716243 -0.77157 0.03297 0.0008925 1.9546
2457127.7723808 99.99999 9.99999 0.0008925 1.9463
2457127.7731374 99.99999 9.99999 0.0008926 1.9380
2457127.7738939 -0.77158 0.02967 0.0008926 1.9298
2457127.7746505 99.99999 9.99999 0.0008926 1.9217
2457127.7754071 -0.76620 0.02981 0.0008927 1.9136
2457127.7761636 -0.74245 0.03137 0.0008927 1.9056
2457127.7769202 -0.78253 0.08148 0.0008927 1.8977
2457127.7776768 -0.77904 0.14569 0.0008928 1.8898
2457127.7784335 99.99999 9.99999 0.0008928 1.8820
2457127.7791899 99.99999 9.99999 0.0008929 1.8743
2457127.7799464 99.99999 9.99999 0.0008929 1.8666
2457127.7807031 99.99999 9.99999 0.0008929 1.8591
2457127.7814600 -0.79301 0.03117 0.0008930 1.8515
2457127.7822166 -0.77369 0.02396 0.0008930 1.8441
2457127.7829730 -0.76819 0.02660 0.0008930 1.8367
2457127.7837296 -0.78046 0.02609 0.0008931 1.8293
2457127.7844861 99.99999 9.99999 0.0008931 1.8221
2457127.7852427 -0.76202 0.01951 0.0008931 1.8149
2457127.7859991 -0.75733 0.01964 0.0008932 1.8077
2457127.7867556 -0.74271 0.01766 0.0008932 1.8006
2457127.7875122 -0.73999 0.01496 0.0008932 1.7936
2457127.7882688 -0.74085 0.01122 0.0008933 1.7866
2457127.7890253 -0.74590 0.01091 0.0008933 1.7797
2457127.7897819 -0.74198 0.00969 0.0008934 1.7729
2457127.7912950 -0.74505 0.00842 0.0008934 1.7593
2457127.7920514 -0.74850 0.00912 0.0008935 1.7527
2457127.7928080 -0.74258 0.00869 0.0008935 1.7460
2457127.7935645 99.99999 9.99999 0.0008935 1.7395
2457127.7943209 -0.73287 0.00811 0.0008936 1.7330
2457127.7950776 -0.73255 0.01069 0.0008936 1.7265
2457127.7958342 -0.74131 0.01162 0.0008936 1.7201
2457127.7965908 -0.71414 0.01611 0.0008937 1.7137
2457127.7973474 -0.72370 0.01402 0.0008937 1.7074
2457127.7981039 99.99999 9.99999 0.0008938 1.7012
2457127.7988605 -0.71998 0.01523 0.0008938 1.6950
2457127.7996170 -0.73270 0.02432 0.0008938 1.6889
2457127.8003738 -0.80171 0.03674 0.0008939 1.6828
2457127.8011304 -0.74891 0.02199 0.0008939 1.6767
2457127.8018869 -0.74405 0.01389 0.0008939 1.6707
2457127.8026435 99.99999 9.99999 0.0008940 1.6648
2457127.8034000 -0.72564 0.03567 0.0008940 1.6589
2457127.8041566 -0.73794 0.02818 0.0008940 1.6531
2457127.8049132 -0.74190 0.01398 0.0008941 1.6473
2457127.8056697 -0.76523 0.02054 0.0008941 1.6415
2457127.8064263 -0.75020 0.01699 0.0008941 1.6358
2457127.8071829 -0.74522 0.02678 0.0008942 1.6302
2457127.8079394 -0.73421 0.01325 0.0008942 1.6245
2457127.8086960 -0.73593 0.03614 0.0008943 1.6190
2457127.8094526 99.99999 9.99999 0.0008943 1.6135
2457127.8102091 -0.73339 0.03108 0.0008943 1.6080
2457127.8109657 -0.73075 0.01472 0.0008944 1.6026
2457127.8117222 -0.73943 0.00970 0.0008944 1.5972
2457127.8124789 -0.74929 0.01148 0.0008944 1.5918
2457127.8132355 -0.76217 0.01167 0.0008945 1.5865
2457127.8139921 -0.74035 0.01605 0.0008945 1.5813
2457127.8147486 -0.75024 0.01747 0.0008945 1.5761
2457127.8155052 -0.74410 0.01159 0.0008946 1.5709
2457127.8162620 99.99999 9.99999 0.0008946 1.5658
2457127.8170185 -0.73264 0.01032 0.0008946 1.5607
2457127.8177751 -0.74013 0.00773 0.0008947 1.5557
2457127.8185316 -0.73836 0.00572 0.0008947 1.5507
2457127.8192882 -0.72728 0.00561 0.0008948 1.5457
2457127.8200448 -0.73302 0.00545 0.0008948 1.5408
2457127.8208013 -0.72692 0.00653 0.0008948 1.5359
2457127.8215579 -0.72964 0.00692 0.0008949 1.5311
2457127.8223143 -0.72051 0.00716 0.0008949 1.5263
2457127.8230709 -0.72862 0.00643 0.0008949 1.5215
2457127.8238274 -0.72834 0.00532 0.0008950 1.5168
2457127.8245840 99.99999 9.99999 0.0008950 1.5121
2457127.8253404 -0.73070 0.00510 0.0008950 1.5074
2457127.8260970 99.99999 9.99999 0.0008951 1.5028
2457127.8268535 99.99999 9.99999 0.0008951 1.4982
2457127.8276101 -0.72626 0.00414 0.0008952 1.4937
2457127.8283667 -0.73491 0.00398 0.0008952 1.4892
2457127.8291232 -0.72944 0.00394 0.0008952 1.4847
2457127.8298800 -0.72784 0.00389 0.0008953 1.4803
2457127.8306365 -0.73407 0.00396 0.0008953 1.4759
2457127.8313933 -0.73136 0.00405 0.0008953 1.4715
2457127.8321498 -0.73525 0.00430 0.0008954 1.4672
2457127.8329063 -0.72888 0.00433 0.0008954 1.4629
2457127.8336629 -0.72556 0.00405 0.0008954 1.4587
2457127.8344195 -0.73210 0.00395 0.0008955 1.4545
2457127.8351760 -0.73838 0.00389 0.0008955 1.4503
2457127.8359326 -0.72779 0.00383 0.0008955 1.4461
2457127.8366890 -0.73053 0.00384 0.0008956 1.4420
2457127.8374455 -0.73198 0.00372 0.0008956 1.4379
2457127.8382021 -0.72239 0.00365 0.0008957 1.4338
2457127.8389588 -0.72482 0.00370 0.0008957 1.4298
2457127.8397154 -0.72251 0.00366 0.0008957 1.4258
2457127.8404720 -0.73083 0.00374 0.0008958 1.4219
2457127.8412284 -0.72844 0.00363 0.0008958 1.4179
2457127.8419849 -0.73040 0.00350 0.0008958 1.4141
2457127.8427412 -0.72703 0.00338 0.0008959 1.4102
2457127.8434978 -0.72919 0.00346 0.0008959 1.4064
2457127.8442543 -0.72848 0.00341 0.0008959 1.4026
2457127.8450109 99.99999 9.99999 0.0008960 1.3988
2457127.8457677 -0.73125 0.00335 0.0008960 1.3950
2457127.8465244 -0.72601 0.00327 0.0008960 1.3913
2457127.8472810 99.99999 9.99999 0.0008961 1.3876
2457127.8480377 -0.72277 0.00337 0.0008961 1.3840
2457127.8487943 -0.72332 0.00330 0.0008962 1.3804
2457127.8495507 99.99999 9.99999 0.0008962 1.3768
2457127.8503070 -0.73293 0.00332 0.0008962 1.3732
2457127.8510638 99.99999 9.99999 0.0008963 1.3697
2457127.8518202 -0.70348 0.00327 0.0008963 1.3662
2457127.8525767 -0.70832 0.00320 0.0008963 1.3627
2457127.8533332 -0.70102 0.00323 0.0008964 1.3592
2457127.8540898 -0.70089 0.00317 0.0008964 1.3558
2457127.8548463 -0.70257 0.00318 0.0008964 1.3524
2457127.8556029 -0.70400 0.00304 0.0008965 1.3490
2457127.8563594 -0.70676 0.00303 0.0008965 1.3457
2457127.8571160 -0.72624 0.00303 0.0008966 1.3424
2457127.8578726 -0.72520 0.00308 0.0008966 1.3391
2457127.8586291 -0.73024 0.00306 0.0008966 1.3358
2457127.8593857 -0.71964 0.00305 0.0008967 1.3326
2457127.8601425 -0.72267 0.00301 0.0008967 1.3294
2457127.8608990 -0.72080 0.00300 0.0008967 1.3262
2457127.8616556 -0.72089 0.00301 0.0008968 1.3230
2457127.8624125 -0.72518 0.00299 0.0008968 1.3199
2457127.8631693 -0.72185 0.00300 0.0008968 1.3168
2457127.8639255 -0.71730 0.00298 0.0008969 1.3137
2457127.8646823 -0.72169 0.00296 0.0008969 1.3107
2457127.8654390 -0.72181 0.00296 0.0008969 1.3076
2457127.8661956 -0.72084 0.00294 0.0008970 1.3046
2457127.8669522 -0.72414 0.00295 0.0008970 1.3016
2457127.8677087 -0.71886 0.00291 0.0008971 1.2987
2457127.8684653 -0.72143 0.00297 0.0008971 1.2957
2457127.8692217 -0.72336 0.00283 0.0008971 1.2928
2457127.8699782 -0.72165 0.00290 0.0008972 1.2899
2457127.8707348 -0.72080 0.00287 0.0008972 1.2871
2457127.8714915 -0.73124 0.00281 0.0008972 1.2842
2457127.8722481 -0.72584 0.00287 0.0008973 1.2814
2457127.8730049 -0.72492 0.00285 0.0008973 1.2786
2457127.8737611 -0.72536 0.00282 0.0008973 1.2759
2457127.8745177 -0.72938 0.00283 0.0008974 1.2731
2457127.8752743 -0.72620 0.00291 0.0008974 1.2704
2457127.8760308 -0.72572 0.00285 0.0008974 1.2677
2457127.8767879 -0.72162 0.00277 0.0008975 1.2650
2457127.8775445 -0.72883 0.00279 0.0008975 1.2623
2457127.8783011 -0.72580 0.00283 0.0008976 1.2597
2457127.8790576 -0.73201 0.00277 0.0008976 1.2571
