MAGNITUD DIFERENCIAL

F. JULIANA GEO.       C1B    +/-  
-------------  ----------  -------
2455932.39696     -0.0187   0.0086
2455932.39935     -0.0156   0.0085
2455932.40277     -0.0225   0.0086
2455932.40527     -0.0139   0.0087
2455932.40777     -0.0180   0.0087
2455932.41028     -0.0129   0.0087
2455932.41279     -0.0233   0.0087
2455932.41529     -0.0132   0.0087
2455932.41780     -0.0074   0.0087
2455932.42030     -0.0142   0.0089
2455932.42281     -0.0166   0.0090
2455932.42531     -0.0096   0.0087
2455932.42782     -0.0120   0.0087
2455932.43032     -0.0159   0.0087
2455932.43285     -0.0151   0.0086
2455932.43535     -0.0016   0.0087
2455932.43785     -0.0147   0.0086
2455932.44035     -0.0100   0.0087
2455932.44285     -0.0164   0.0087
2455932.44534     -0.0054   0.0086
2455932.44785      0.0102   0.0085
2455932.45035      0.0030   0.0086
2455932.45285      0.0016   0.0085
2455932.45536      0.0153   0.0085
2455932.45786      0.0079   0.0084
2455932.46038      0.0035   0.0084
2455932.46289      0.0093   0.0086
2455932.46539      0.0177   0.0086
2455932.46789      0.0242   0.0086
2455932.47041      0.0256   0.0086
2455932.47293      0.0188   0.0086
2455932.47543      0.0180   0.0086
2455932.47793      0.0202   0.0085
2455932.48043      0.0207   0.0085
2455932.48293      0.0162   0.0085
2455932.48545      0.0174   0.0085
2455932.49047      0.0185   0.0086
2455932.40277     -0.0225   0.0086
2455932.40527     -0.0139   0.0087
2455932.40777     -0.0180   0.0087
2455932.41028     -0.0129   0.0087
2455932.41279     -0.0233   0.0087
2455932.41529     -0.0132   0.0087
2455932.41780     -0.0074   0.0087
2455932.42030     -0.0142   0.0089
2455932.42281     -0.0166   0.0090
2455932.42531     -0.0096   0.0087
2455932.42782     -0.0120   0.0087
2455932.43032     -0.0159   0.0087
2455932.43285     -0.0151   0.0086
2455932.43535     -0.0016   0.0087
2455932.43785     -0.0147   0.0086
2455932.44035     -0.0100   0.0087
2455932.44285     -0.0164   0.0087
2455932.44534     -0.0054   0.0086
2455932.44785      0.0102   0.0085
2455932.45035      0.0030   0.0086
2455932.45285      0.0016   0.0085
2455932.45536      0.0153   0.0085
2455932.45786      0.0079   0.0084
2455932.46038      0.0035   0.0084
2455932.46289      0.0093   0.0086
2455932.46539      0.0177   0.0086
2455932.46789      0.0242   0.0086
2455932.47041      0.0256   0.0086
2455932.49537      0.0224   0.0105
2455932.40277     -0.0225   0.0086
2455932.49709      0.0129   0.0104
2455932.49867      0.0187   0.0104
2455932.50024      0.0173   0.0104
2455932.40277     -0.0225   0.0086
2455932.40527     -0.0139   0.0087
2455932.40777     -0.0180   0.0087
2455932.41028     -0.0129   0.0087
2455932.41279     -0.0233   0.0087
2455932.41529     -0.0132   0.0087
2455932.41780     -0.0074   0.0087
2455932.42030     -0.0142   0.0089
2455932.42281     -0.0166   0.0090
2455932.42531     -0.0096   0.0087
2455932.42782     -0.0120   0.0087
2455932.43032     -0.0159   0.0087
2455932.43285     -0.0151   0.0086
2455932.43535     -0.0016   0.0087
2455932.43785     -0.0147   0.0086
2455932.44035     -0.0100   0.0087
2455932.44285     -0.0164   0.0087
2455932.44534     -0.0054   0.0086
2455932.44785      0.0102   0.0085
2455932.45035      0.0030   0.0086
2455932.45285      0.0016   0.0085
2455932.45536      0.0153   0.0085
2455932.45786      0.0079   0.0084
2455932.46038      0.0035   0.0084
2455932.46289      0.0093   0.0086
2455932.46539      0.0177   0.0086
2455932.46789      0.0242   0.0086
2455932.47041      0.0256   0.0086
2455932.47293      0.0188   0.0086
2455932.47543      0.0180   0.0086
2455932.47793      0.0202   0.0085
2455932.48043      0.0207   0.0085
2455932.48293      0.0162   0.0085
2455932.48545      0.0174   0.0085
2455932.49047      0.0185   0.0086
2455932.50182      0.0167   0.0104
2455932.50339      0.0188   0.0104
2455932.50497      0.0281   0.0104
2455932.50654      0.0219   0.0104
2455932.50811      0.0223   0.0105
2455932.50969      0.0152   0.0104
2455932.51127      0.0265   0.0104
2455932.51285      0.0200   0.0104
2455932.51442      0.0240   0.0104
2455932.51600      0.0162   0.0105
2455932.51802      0.0164   0.0086
2455932.52042      0.0205   0.0086
2455932.52281      0.0103   0.0085
2455932.52521      0.0093   0.0085
2455932.52760      0.0073   0.0085
2455932.53000      0.0022   0.0085
2455932.53240      0.0042   0.0085
2455932.53720     -0.0015   0.0084
2455932.53959     -0.0045   0.0084
2455932.54199     -0.0082   0.0084
2455932.54437     -0.0064   0.0084
2455932.54677      0.0046   0.0084
2455932.54917     -0.0050   0.0084
2455932.55159     -0.0029   0.0084
2455932.55398     -0.0059   0.0083
2455932.55639      0.0014   0.0084
2455932.55878      0.0011   0.0084
2455932.56118     -0.0108   0.0082
2455932.56356     -0.0112   0.0082
2455932.56836     -0.0073   0.0082
2455932.57075     -0.0145   0.0081
2455932.57315     -0.0056   0.0081
2455932.57794     -0.0045   0.0083
2455932.58034     -0.0054   0.0086
2455932.58274     -0.0073   0.0083
2455932.58514     -0.0101   0.0081
2455932.58753     -0.0095   0.0082
2455932.58993     -0.0168   0.0091
2455932.59233     -0.0153   0.0091
2455932.59472     -0.0094   0.0084
2455932.59712     -0.0094   0.0083
2455932.59950     -0.0170   0.0086

FotoDif (29/11/2009) Pruebas, yaaaaaaaaa
