JD V-C s1 AIRMASS ALTITUDE
Aperture: 6, Filter: IR-UV, JD: geocentric
2458526.3220370 1.67332 0.00286 1.5696 39.49
2458526.3234954 1.67272 0.00296 1.5643 39.65
2458526.3249421 1.67566 0.00295 1.5592 39.81
2458526.3264005 1.67347 0.00284 1.5542 39.96
2458526.3293056 1.67144 0.00290 1.5447 40.26
2458526.3307870 1.67220 0.00275 1.5402 40.40
2458526.3322338 1.67033 0.00281 1.5359 40.54
2458526.3336921 1.67045 0.00277 1.5317 40.68
2458526.3351389 1.67357 0.00285 1.5277 40.80
2458526.3365972 1.67207 0.00286 1.5239 40.93
2458526.3380440 1.67741 0.00277 1.5202 41.05
2458526.3395023 1.67481 0.00282 1.5166 41.17
2458526.3409491 99.99999 9.99999 1.5132 41.28
2458526.3424074 1.67368 0.00267 1.5100 41.39
2458526.3438542 1.66909 0.00278 1.5069 41.49
2458526.3453472 1.68023 0.00284 1.5039 41.60
2458526.3468403 1.67257 0.00279 1.5010 41.70
2458526.3482870 1.68001 0.00273 1.4983 41.79
2458526.3497454 1.67830 0.00276 1.4958 41.87
2458526.3512269 1.67429 0.00283 1.4934 41.96
2458526.3526736 1.67227 0.00292 1.4912 42.03
2458526.3541319 1.68329 0.00279 1.4890 42.11
2458526.3555787 1.67658 0.00280 1.4871 42.18
2458526.3570370 1.68765 0.00281 1.4853 42.24
2458526.3584838 1.68112 0.00276 1.4836 42.30
2458526.3599769 1.67097 0.00277 1.4820 42.36
2458526.3614236 1.68396 0.00271 1.4806 42.41
2458526.3628819 1.68336 0.00274 1.4793 42.45
2458526.3643403 1.68344 0.00276 1.4781 42.49
2458526.3657870 1.68873 0.00270 1.4771 42.53
2458526.3672454 1.69648 0.00290 1.4762 42.56
2458526.3686921 1.69850 0.00281 1.4754 42.59
2458526.3701505 1.69858 0.00279 1.4748 42.61
2458526.3716204 1.69400 0.00270 1.4743 42.63
2458526.3731134 1.69305 0.00282 1.4739 42.64
2458526.3746065 1.70006 0.00282 1.4737 42.65
2458526.3760995 1.69136 0.00273 1.4736 42.66
2458526.3775810 1.69668 0.00269 1.4736 42.66
2458526.3790741 1.70281 0.00272 1.4738 42.65
2458526.3805324 1.69900 0.00277 1.4741 42.64
2458526.3819792 1.69566 0.00274 1.4745 42.62
2458526.3834375 1.69958 0.00281 1.4750 42.60
2458526.3848843 1.69242 0.00268 1.4757 42.58
2458526.3863426 1.69791 0.00269 1.4766 42.55
