#HJD          dMag   Err    Fil
2456874.62200 1.1132 0.0019 I 
2456874.62213 1.1058 0.0019 I 
2456874.62227 1.1061 0.0019 I 
2456874.62241 1.1056 0.0019 I 
2456874.62255 1.1021 0.0019 I 
2456874.62269 1.1083 0.0019 I 
2456874.62283 1.1082 0.0019 I 
2456874.62296 1.1009 0.0019 I 
2456874.62310 1.1031 0.0019 I 
2456874.62323 1.1091 0.0019 I 
2456874.62337 1.1081 0.0019 I 
2456874.62351 1.1120 0.0020 I 
2456874.62365 1.1127 0.0020 I 
2456874.62379 1.1122 0.0020 I 
2456874.62392 1.1155 0.0020 I 
2456874.62406 1.1128 0.0020 I 
2456874.62420 1.1293 0.0022 I 
2456874.62434 1.1193 0.0022 I 
2456874.62448 1.1172 0.0021 I 
2456874.62461 1.1197 0.0021 I 
2456874.62475 1.1150 0.0020 I 
2456874.62489 1.1068 0.0020 I 
2456874.62503 1.1215 0.0021 I 
2456874.62517 1.1095 0.0022 I 
2456874.62531 1.1193 0.0021 I 
2456874.62545 1.1255 0.0021 I 
2456874.62558 1.1129 0.0021 I 
2456874.62572 1.1151 0.0020 I 
2456874.62586 1.1061 0.0020 I 
2456874.62600 1.1097 0.0020 I 
2456874.62614 1.1098 0.0020 I 
2456874.62627 1.1077 0.0021 I 
2456874.62641 1.1124 0.0020 I 
2456874.62655 1.1075 0.0020 I 
2456874.62669 1.1159 0.0020 I 
2456874.62683 1.1123 0.0020 I 
2456874.62697 1.1087 0.0020 I 
2456874.62711 1.1068 0.0020 I 
2456874.62725 1.1142 0.0020 I 
2456874.62739 1.1125 0.0020 I 
2456874.62752 1.1101 0.0020 I 
2456874.62766 1.1161 0.0021 I 
2456874.62780 1.1174 0.0021 I 
2456874.62794 1.1185 0.0021 I 
2456874.62808 1.1246 0.0020 I 
2456874.62821 1.1039 0.0020 I 
2456874.62835 1.1151 0.0020 I 
2456874.62850 1.1072 0.0021 I 
2456874.62863 1.1108 0.0020 I 
2456874.62877 1.1073 0.0020 I 
2456874.62891 1.1150 0.0019 I 
2456874.62905 1.1134 0.0020 I 
2456874.62919 1.1063 0.0019 I 
2456874.62933 1.1034 0.0019 I 
2456874.62946 1.1023 0.0019 I 
2456874.62960 1.1064 0.0019 I 
2456874.62974 1.1045 0.0019 I 
2456874.62988 1.1036 0.0019 I 
2456874.63002 1.1018 0.0019 I 
2456874.63014 1.1045 0.0019 I 
2456874.63030 1.1110 0.0020 I 
2456874.63044 1.1126 0.0020 I 
2456874.63057 1.1079 0.0019 I 
2456874.63071 1.1056 0.0020 I 
2456874.63085 1.1130 0.0020 I 
2456874.63099 1.1152 0.0020 I 
2456874.63113 1.1151 0.0020 I 
2456874.63127 1.1063 0.0020 I 
2456874.63141 1.1125 0.0020 I 
2456874.63154 1.1177 0.0020 I 
2456874.63168 1.1159 0.0020 I 
2456874.63182 1.1093 0.0020 I 
2456874.63196 1.1116 0.0020 I 
2456874.63210 1.1102 0.0020 I 
2456874.63224 1.1130 0.0020 I 
2456874.63237 1.1052 0.0020 I 
2456874.63251 1.1106 0.0021 I 
2456874.63265 1.1102 0.0020 I 
2456874.63279 1.1104 0.0020 I 
2456874.63293 1.1025 0.0020 I 
2456874.63307 1.1146 0.0020 I 
2456874.63320 1.1160 0.0020 I 
2456874.63334 1.1087 0.0020 I 
2456874.63348 1.1130 0.0020 I 
2456874.63362 1.1171 0.0021 I 
2456874.63376 1.1136 0.0020 I 
2456874.63390 1.1180 0.0020 I 
2456874.63404 1.1127 0.0020 I 
2456874.63417 1.1153 0.0020 I 
2456874.63431 1.1143 0.0020 I 
2456874.63445 1.1124 0.0020 I 
2456874.63459 1.1053 0.0020 I 
2456874.63473 1.1135 0.0020 I 
2456874.63487 1.1049 0.0020 I 
2456874.63501 1.1054 0.0020 I 
2456874.63514 1.1108 0.0020 I 
2456874.63528 1.1131 0.0020 I 
2456874.63542 1.1128 0.0019 I 
2456874.63556 1.1148 0.0019 I 
2456874.63570 1.1076 0.0019 I 
2456874.63584 1.1123 0.0020 I 
2456874.63597 1.1071 0.0019 I 
2456874.63611 1.1088 0.0019 I 
2456874.63625 1.1063 0.0019 I 
2456874.63639 1.1029 0.0019 I 
2456874.63653 1.1115 0.0020 I 
2456874.63667 1.1094 0.0020 I 
