JD V-C s1
Aperture: 8, Filter: V, JD: geocentric
2457772.22896 0.04059 0.00162
2457772.22752 0.04273 0.00175
2457772.22606 0.04102 0.00189
2457772.23041 0.04099 0.00150
2457772.23185 0.04298 0.00143
2457772.23330 0.04043 0.00138
2457772.23475 0.04118 0.00133
2457772.23619 0.04286 0.00129
2457772.23764 0.04225 0.00125
2457772.23909 0.04306 0.00125
2457772.24054 0.04306 0.00124
2457772.24198 0.04256 0.00123
2457772.24343 0.04277 0.00122
2457772.24488 0.04214 0.00122
2457772.24922 0.04783 0.00120
2457772.25067 0.05153 0.00119
2457772.25212 0.05417 0.00120
2457772.25501 0.05843 0.00118
2457772.25646 0.06326 0.00119
2457772.25791 0.06556 0.00118
2457772.25936 0.06529 0.00118
2457772.26080 0.06813 0.00118
2457772.26225 0.06944 0.00117
2457772.26370 0.06956 0.00117
2457772.26514 0.07217 0.00116
2457772.26659 0.07393 0.00118
2457772.26804 0.07475 0.00116
2457772.26949 0.07274 0.00117
2457772.27093 0.07547 0.00117
2457772.27238 0.07425 0.00118
2457772.27383 0.07231 0.00118
2457772.27528 0.07428 0.00117
2457772.27672 0.07437 0.00116
2457772.27817 0.07507 0.00117
2457772.27961 0.07318 0.00118
2457772.28251 0.07613 0.00117
2457772.28395 0.07540 0.00117
2457772.28540 0.07418 0.00117
2457772.28685 0.07396 0.00116
2457772.28829 0.07414 0.00116
2457772.28974 0.07451 0.00116
2457772.29118 0.07720 0.00118
2457772.29263 99.99999 9.99999
2457772.29408 0.07686 0.00116
2457772.29552 0.07466 0.00115
2457772.29697 0.07238 0.00116
2457772.29842 0.07697 0.00117
2457772.29987 0.07443 0.00117
2457772.30131 0.07433 0.00117
2457772.30276 0.07531 0.00117
2457772.30566 0.07220 0.00116
2457772.30710 99.99999 9.99999
2457772.30855 99.99999 9.99999
2457772.31000 0.07542 0.00116
2457772.31144 0.07375 0.00114
2457772.31289 0.07450 0.00116
2457772.31434 0.07311 0.00116
2457772.31579 0.07301 0.00117
2457772.31723 0.07437 0.00116
2457772.31868 0.07213 0.00117
2457772.32013 0.07401 0.00116
2457772.32158 99.99999 9.99999
2457772.32302 0.07178 0.00116
2457772.32447 0.07188 0.00117
2457772.32592 0.07054 0.00116
2457772.32736 0.07215 0.00116
2457772.32881 0.07075 0.00116
2457772.33026 0.07137 0.00115
2457772.33315 0.07103 0.00117
2457772.33460 0.07060 0.00118
2457772.33605 99.99999 9.99999
2457772.33749 0.06966 0.00118
2457772.33894 0.07118 0.00117
2457772.34039 0.06802 0.00119
2457772.34184 0.07014 0.00119
2457772.34328 0.06864 0.00118
2457772.34473 0.06819 0.00117
2457772.34618 99.99999 9.99999
2457772.34763 99.99999 9.99999
2457772.35053 0.06707 0.00118
2457772.35199 99.99999 9.99999
2457772.35344 0.06608 0.00118
2457772.35489 0.06356 0.00118
2457772.35634 99.99999 9.99999
2457772.35779 0.06154 0.00120
2457772.35923 0.05855 0.00118
2457772.36068 0.05652 0.00119
2457772.36213 99.99999 9.99999
2457772.36358 0.05272 0.00118
2457772.36502 0.04854 0.00120
2457772.36647 0.04642 0.00120
2457772.36792 0.04535 0.00120
2457772.36936 0.04125 0.00120
2457772.37081 0.03855 0.00121
2457772.37371 0.03645 0.00123
2457772.37516 99.99999 9.99999
2457772.37660 0.03771 0.00122
2457772.37805 0.03739 0.00122
2457772.37950 0.03712 0.00122
2457772.38094 0.03584 0.00123
2457772.38239 0.03615 0.00124
2457772.38384 0.03549 0.00126
2457772.38529 0.03586 0.00122
2457772.38674 99.99999 9.99999
2457772.38819 0.03590 0.00125
2457772.38964 0.03719 0.00125
2457772.39109 0.03404 0.00122
2457772.39253 0.03449 0.00124
2457772.39398 0.03696 0.00125
2457772.39543 0.03629 0.00126
2457772.39687 0.03687 0.00125
2457772.39832 0.03806 0.00125
