JDHEL V-C s1
Aperture: 5, Filter: Green, JD: heliocentric
2458447.3196064 -0.19643 0.00116
2458447.3210647 -0.19732 0.00116
2458447.3225230 -0.19556 0.00118
2458447.3240161 -0.19663 0.00119
2458447.3254744 -0.19436 0.00120
2458447.3269327 -0.19454 0.00119
2458447.3283910 -0.19015 0.00117
2458447.3298840 -0.19241 0.00119
2458447.3313770 -0.19214 0.00131
2458447.3328353 -0.19173 0.00123
2458447.3342936 -0.19326 0.00121
2458447.3357403 -0.19232 0.00120
2458447.3371986 -0.19327 0.00119
2458447.3386569 -0.18908 0.00120
2458447.3401152 -0.19339 0.00119
2458447.3415619 -0.19461 0.00119
2458447.3430665 -0.19530 0.00118
2458447.3445595 -0.19529 0.00119
2458447.3460063 -0.19587 0.00122
2458447.3474993 -0.18931 0.00119
2458447.3489923 -0.19544 0.00119
2458447.3504506 -0.19303 0.00118
2458447.3519089 -0.19518 0.00119
2458447.3533672 -0.19107 0.00119
2458447.3548139 -0.18661 0.00117
2458447.3562722 -0.18220 0.00118
2458447.3577305 -0.18166 0.00119
2458447.3591888 -0.18057 0.00118
2458447.3606818 -0.17925 0.00121
2458447.3621748 -0.17714 0.00121
2458447.3636216 -0.17523 0.00121
2458447.3650799 -0.17280 0.00119
2458447.3665382 -0.16876 0.00120
2458447.3679965 -0.17127 0.00120
2458447.3694547 -0.16776 0.00145
2458447.3709015 -0.16540 0.00260
2458447.3738528 -0.16508 0.00277
2458447.3753458 -0.15975 0.00165
2458447.3768504 -0.16869 0.00160
2458447.3783434 -0.16300 0.00283
2458447.3798364 -0.16321 0.00328
2458447.3812832 -0.16777 0.00475
2458447.3827415 -0.16671 0.00344
2458447.3842345 -0.16310 0.00403
2458447.3857275 -0.16269 0.00485
2458447.3871858 -0.17097 0.00269
2458447.3886441 -0.17239 0.00300
2458447.3901603 -0.16200 0.00306
2458447.3916533 -0.16573 0.00418
2458447.3931116 -0.16379 0.00635
2458447.3945699 -0.16010 0.00399
2458447.3960629 -0.16437 0.00152
2458447.3975212 -0.15968 0.00169
2458447.3989679 -0.16713 0.00155
2458447.4004609 -0.15873 0.00169
2458447.4063983 -0.16639 0.00154
2458447.4078566 -0.17282 0.00279
2458447.4093149 -0.16479 0.00259
2458447.4108079 -0.16821 0.00137
2458447.4122546 -0.16846 0.00120
2458447.4137823 -0.16835 0.00121
2458447.4152291 -0.17267 0.00121
2458447.4167337 -0.16426 0.00133
2458447.4181804 -0.17099 0.00123
2458447.4196387 -0.17024 0.00126
2458447.4210970 -0.16551 0.00127
2458447.4225437 -0.16718 0.00132
2458447.4240020 -0.16623 0.00149
2458447.4254603 -0.16981 0.00152
2458447.4269186 -0.16712 0.00162
2458447.4283769 -0.16700 0.00178
2458447.4298352 -0.16636 0.00201
2458447.4312935 -0.16531 0.00148
2458447.4327402 -0.16381 0.00182
2458447.4341985 -0.16546 0.00333
2458447.4356568 -0.16850 0.00243
2458447.4371382 -0.16635 0.00322
2458447.4385850 -0.17050 0.00395
2458447.4415016 -0.17255 0.00424
2458447.4429599 -0.17037 0.00472
2458447.4444066 -0.16985 0.00522
2458447.4458649 -0.16468 0.00661
2458447.4473232 -0.16716 0.00620
2458447.4487815 -0.16914 0.00509
2458447.4502282 -0.17763 0.00276
2458447.4516865 -0.16603 0.00259
2458447.4546031 -0.16674 0.00619
2458447.4560498 -0.17043 0.00537
2458447.4589664 -0.16320 0.00257
2458447.4604479 -0.17570 0.00343
2458447.4618946 -0.17082 0.00403
2458447.4633529 -0.18027 0.00369
2458447.4648112 -0.17949 0.00303
2458447.4662695 -0.18112 0.00249
2458447.4677162 -0.18699 0.00212
2458447.4691745 -0.18893 0.00176
2458447.4706328 -0.19126 0.00178
2458447.4720795 -0.19452 0.00197
2458447.4735841 -0.19001 0.00161
2458447.4750308 -0.19320 0.00180
2458447.4764891 -0.19417 0.00146
2458447.4779474 -0.19664 0.00186
2458447.4793941 -0.19777 0.00146
2458447.4808524 -0.19090 0.00171
2458447.4823455 -0.19135 0.00173
2458447.4838269 -0.19066 0.00187
2458447.4852852 -0.19373 0.00227
2458447.4867435 -0.19275 0.00223
2458447.4881902 -0.19271 0.00249
2458447.4896485 -0.19510 0.00212
2458447.4911068 -0.19542 0.00182
2458447.4925535 -0.19305 0.00161
2458447.4940118 -0.19713 0.00134
2458447.4954701 -0.19202 0.00128
2458447.4969168 -0.19373 0.00123
2458447.4984099 -0.19913 0.00135
2458447.4998682 -0.19621 0.00153
2458447.5013265 -0.19293 0.00182
2458447.5027848 -0.19922 0.00138
2458447.5042315 -0.19510 0.00127
2458447.5056898 -0.19786 0.00120
2458447.5071481 -0.19519 0.00120
2458447.5086064 -0.20104 0.00121
