JD V-C s1 AIRMASS ALTITUDE
Aperture: 8, Filter: Green, JD: geocentric
2458505.3772801 -0.19382 0.00193 1.2196 55.02
2458505.3787384 -0.19633 0.00193 1.2248 54.67
2458505.3801968 -0.18931 0.00195 1.2301 54.32
2458505.3816435 -0.19644 0.00191 1.2354 53.98
2458505.3831019 -0.19198 0.00192 1.2409 53.63
2458505.3845833 -0.19504 0.00191 1.2466 53.28
2458505.3860417 -0.19654 0.00190 1.2522 52.93
2458505.3874884 -0.20230 0.00193 1.2579 52.59
2458505.3889468 -0.19531 0.00188 1.2637 52.24
2458505.3904051 -0.19671 0.00192 1.2697 51.90
2458505.3918866 -0.18868 0.00194 1.2758 51.55
2458505.3933333 -0.19198 0.00190 1.2819 51.21
2458505.3948264 -0.19383 0.00193 1.2882 50.85
2458505.3963194 -0.19087 0.00186 1.2947 50.50
2458505.3977778 -0.19205 0.00190 1.3011 50.16
2458505.3992708 -0.18560 0.00188 1.3078 49.81
2458505.4007639 -0.19258 0.00191 1.3146 49.46
2458505.4022569 -0.18443 0.00192 1.3214 49.11
2458505.4037500 -0.18531 0.00193 1.3284 48.76
2458505.4052083 -0.18113 0.00192 1.3354 48.42
2458505.4066551 -0.18069 0.00192 1.3424 48.08
2458505.4081134 -0.17792 0.00198 1.3496 47.74
2458505.4095718 -0.17718 0.00197 1.3568 47.41
2458505.4110185 -0.16662 0.00200 1.3642 47.07
2458505.4124769 -0.17189 0.00200 1.3717 46.73
2458505.4139236 -0.17379 0.00203 1.3793 46.40
2458505.4153819 -0.17193 0.00202 1.3870 46.06
2458505.4168403 -0.16879 0.00206 1.3949 45.73
2458505.4183102 -0.17168 0.00203 1.4029 45.39
2458505.4197685 -0.16408 0.00207 1.4111 45.05
2458505.4212269 -0.16915 0.00210 1.4193 44.72
2458505.4226736 -0.16376 0.00213 1.4276 44.39
2458505.4241319 -0.15383 0.00211 1.4361 44.06
2458505.4255903 -0.16840 0.00211 1.4448 43.72
2458505.4271065 -0.16991 0.00218 1.4539 43.38
2458505.4285648 -0.17595 0.00221 1.4629 43.05
2458505.4300231 -0.15889 0.00220 1.4719 42.72
2458505.4314699 -0.16977 0.00214 1.4811 42.39
2458505.4329282 -0.16089 0.00220 1.4904 42.06
2458505.4343750 -0.15647 0.00224 1.4999 41.73
2458505.4358333 -0.15804 0.00228 1.5095 41.41
2458505.4372917 -0.16233 0.00227 1.5194 41.08
2458505.4387731 -0.15836 0.00224 1.5295 40.75
2458505.4402199 -0.15876 0.00229 1.5396 40.42
2458505.4416782 -0.16241 0.00232 1.5499 40.10
2458505.4431250 -0.15948 0.00234 1.5602 39.78
2458505.4445833 -0.17336 0.00235 1.5709 39.45
2458505.4460417 -0.16291 0.00241 1.5817 39.13
2458505.4474884 -0.16799 0.00243 1.5926 38.81
2458505.4489468 -0.15529 0.00243 1.6037 38.49
2458505.4504051 -0.16485 0.00239 1.6151 38.17
2458505.4518519 -0.15912 0.00239 1.6265 37.85
2458505.4533102 -0.16718 0.00246 1.6382 37.53
2458505.4547685 -0.16983 0.00249 1.6502 37.21
2458505.4562153 -0.16197 0.00244 1.6622 36.89
2458505.4576736 -0.15370 0.00243 1.6745 36.58
2458505.4591551 -0.16291 0.00251 1.6872 36.26
2458505.4606366 -0.16214 0.00250 1.7001 35.93
2458505.4620833 -0.15901 0.00255 1.7129 35.62
2458505.4635417 -0.16864 0.00256 1.7261 35.31
2458505.4650000 -0.15276 0.00257 1.7395 34.99
2458505.4664815 -0.16009 0.00258 1.7533 34.68
2458505.4679745 -0.16266 0.00260 1.7674 34.36
2458505.4694329 -0.17066 0.00259 1.7815 34.05
2458505.4708796 -0.15360 0.00263 1.7957 33.74
2458505.4723380 -0.15619 0.00270 1.8103 33.43
2458505.4737963 -0.16143 0.00265 1.8251 33.12
2458505.4752431 -0.16473 0.00262 1.8400 32.82
2458505.4767014 -0.16815 0.00273 1.8553 32.51
2458505.4781481 -0.16270 0.00270 1.8708 32.21
2458505.4796296 -0.15541 0.00268 1.8869 31.90
2458505.4810880 -0.16231 0.00268 1.9030 31.59
2458505.4839931 -0.16526 0.00279 1.9360 30.99
2458505.4854514 -0.15584 0.00280 1.9530 30.69
2458505.4869444 -0.15809 0.00288 1.9707 30.38
2458505.4884375 -0.15911 0.00285 1.9887 30.07
2458505.4898843 -0.17305 0.00284 2.0065 29.78
2458505.4913426 -0.17149 0.00285 2.0247 29.48
2458505.4928241 -0.16079 0.00284 2.0436 29.18
2458505.4942824 -0.16202 0.00292 2.0625 28.88
2458505.4957292 -0.16062 0.00293 2.0816 28.59
2458505.4971875 -0.15754 0.00298 2.1012 28.30
2458505.4986458 -0.16508 0.00304 2.1212 28.01
2458505.5001157 -0.17767 0.00304 2.1417 27.71
2458505.5015741 -0.15916 0.00303 2.1624 27.42
2458505.5030324 -0.16270 0.00322 2.1835 27.13
2458505.5044792 -0.16470 0.00317 2.2048 26.84
2458505.5059375 -0.16924 0.00329 2.2267 26.56
2458505.5074306 -0.15656 0.00334 2.2495 26.26
2458505.5089236 -0.15682 0.00340 2.2728 25.97
2458505.5103704 -0.16387 0.00331 2.2957 25.69
